,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,Anomaly,Anomaly_Score,deposit
7057,31,management,8629,yes,no,cellular,nov,1,184,failure,0,4.3109565,yes
1300,28,blue-collar,708,yes,no,unknown,jun,5,-1,unknown,0,1.7650975,no
6335,27,admin.,1293,yes,no,cellular,apr,3,-1,unknown,0,2.4895947,yes
6624,62,retired,3,no,no,cellular,aug,1,-1,unknown,0,2.2010872,no
3139,52,technician,152,no,no,cellular,aug,6,-1,unknown,0,1.8514829,yes
6741,51,blue-collar,50,yes,yes,unknown,may,1,-1,unknown,0,2.1050231,no
474,37,unemployed,48,no,no,cellular,jul,10,-1,unknown,0,5.2027793,no
4234,37,management,62,yes,no,cellular,aug,2,272,success,0,3.9316683,yes
5692,41,technician,5372,yes,no,cellular,jan,3,-1,unknown,0,4.5016866,yes
3360,31,management,533,no,no,telephone,may,1,90,success,0,5.474338,yes
4207,30,management,1541,no,no,cellular,aug,8,-1,unknown,0,2.107823,yes
6086,36,management,-115,yes,no,cellular,apr,4,182,other,0,4.5373044,yes
5694,47,technician,335,no,no,cellular,feb,1,-1,unknown,0,2.9917915,yes
1521,30,management,46,no,no,cellular,aug,3,-1,unknown,0,0.5114332,no
6006,50,admin.,4855,no,no,cellular,aug,2,-1,unknown,0,2.977315,yes
2880,28,blue-collar,-197,yes,no,unknown,may,2,-1,unknown,0,1.1958783,yes
1679,60,services,4256,yes,no,cellular,nov,1,92,success,0,5.2288995,yes
788,36,technician,4596,yes,no,cellular,oct,2,175,success,0,4.573765,yes
2056,25,blue-collar,389,no,no,cellular,jun,1,-1,unknown,0,3.8093593,yes
2784,35,management,4348,yes,no,cellular,apr,3,217,failure,0,3.4101496,no
2742,25,blue-collar,-289,yes,no,telephone,may,2,-1,unknown,0,4.513509,no
2572,78,retired,4807,no,no,telephone,oct,4,-1,unknown,0,5.5843596,yes
3860,32,technician,696,no,yes,cellular,aug,4,105,failure,0,4.802187,no
2209,30,admin.,10,yes,no,cellular,jul,2,-1,unknown,0,2.4376855,yes
2105,37,services,278,yes,no,unknown,jun,3,-1,unknown,0,2.8828633,yes
5496,48,technician,-205,yes,yes,cellular,jul,1,-1,unknown,0,3.0235908,no
58,50,admin.,-194,yes,no,cellular,apr,2,-1,unknown,0,3.036272,no
6608,46,admin.,659,yes,no,telephone,jul,11,-1,unknown,0,5.2544827,yes
2647,42,management,266,no,yes,cellular,jan,1,-1,unknown,0,4.2854176,no
83,60,retired,2060,no,no,cellular,jun,4,95,failure,0,5.3644195,no
3522,39,services,322,yes,no,cellular,may,1,350,failure,0,4.293166,no
3536,47,technician,736,no,no,cellular,jul,2,-1,unknown,0,2.2066572,no
2900,49,services,320,no,no,telephone,feb,4,-1,unknown,0,5.385738,yes
2142,31,blue-collar,292,yes,yes,unknown,may,18,-1,unknown,0,5.5243964,no
5239,44,blue-collar,1371,no,no,cellular,may,3,363,other,0,4.647401,no
4037,60,blue-collar,2879,yes,no,cellular,aug,1,-1,unknown,0,3.0686116,no
1668,52,housemaid,3923,yes,no,unknown,may,3,-1,unknown,0,5.065661,yes
7258,39,services,52,no,no,telephone,feb,3,-1,unknown,0,5.389932,yes
4633,59,services,-22,yes,no,unknown,may,3,-1,unknown,0,2.6211307,yes
1341,28,services,168,no,no,cellular,jan,1,194,other,0,6.439072,yes
7019,30,blue-collar,103,yes,no,cellular,apr,2,317,other,0,4.3484864,no
6323,54,retired,309,no,no,cellular,aug,2,-1,unknown,0,2.1479013,yes
1084,46,management,1329,no,no,cellular,jul,2,-1,unknown,0,2.2151618,yes
2801,30,blue-collar,35,yes,no,cellular,jul,2,-1,unknown,0,1.8783398,no
3668,32,technician,1307,yes,no,unknown,may,2,-1,unknown,0,0.5464542,no
5421,32,blue-collar,70,yes,no,unknown,may,6,-1,unknown,0,1.6035621,no
312,28,self-employed,4579,no,no,cellular,jan,2,-1,unknown,0,6.559325,yes
5952,26,services,1140,yes,no,cellular,feb,2,-1,unknown,0,4.7504125,yes
810,31,blue-collar,228,no,no,cellular,aug,1,88,other,0,5.3265805,yes
952,32,management,4945,no,no,cellular,jun,1,119,other,0,5.1102834,yes
1538,33,services,339,yes,no,unknown,may,4,-1,unknown,0,1.1526304,no
5882,35,blue-collar,4963,yes,no,cellular,may,1,300,failure,0,2.8796391,yes
4984,31,technician,95,no,no,cellular,nov,6,-1,unknown,0,2.9468882,no
408,64,retired,4833,no,no,cellular,oct,1,181,failure,0,5.0099206,yes
3037,28,blue-collar,1020,yes,no,unknown,may,1,-1,unknown,0,0.5348632,no
2236,67,retired,1341,no,no,cellular,feb,1,-1,unknown,0,4.210931,yes
1997,27,management,178,yes,no,unknown,jun,2,-1,unknown,0,2.621717,yes
2083,44,self-employed,163,yes,no,cellular,aug,1,100,success,0,5.218011,no
2290,32,technician,765,yes,yes,cellular,apr,2,-1,unknown,0,3.6916165,yes
4396,30,admin.,4168,no,no,cellular,jun,1,-1,unknown,0,3.7449443,no
6480,31,blue-collar,92,yes,no,unknown,may,1,-1,unknown,0,1.1349838,yes
694,27,technician,2781,yes,no,cellular,may,1,389,failure,0,3.738631,yes
3567,49,blue-collar,102,no,no,cellular,aug,2,-1,unknown,0,2.2095978,no
6499,51,technician,1533,no,no,unknown,jun,2,-1,unknown,0,2.0531845,no
3108,42,blue-collar,-68,yes,yes,unknown,may,1,-1,unknown,0,1.5683198,no
4081,35,management,109,no,yes,cellular,aug,2,-1,unknown,0,3.2911005,no
4722,38,technician,1221,yes,yes,cellular,aug,7,-1,unknown,0,3.3528483,no
2794,40,entrepreneur,2998,yes,no,cellular,jul,3,-1,unknown,0,3.885768,yes
6616,38,management,165,yes,no,cellular,apr,1,260,other,0,4.4613414,yes
6589,32,technician,29,no,no,cellular,aug,2,-1,unknown,0,0.50505996,no
4243,32,student,64,no,no,cellular,jun,4,105,failure,0,5.580846,yes
1249,57,management,350,no,no,telephone,may,3,-1,unknown,0,4.39646,no
3366,25,student,253,no,no,cellular,may,1,-1,unknown,0,3.7576907,yes
4699,33,technician,370,yes,no,cellular,aug,4,-1,unknown,0,2.1290863,no
5236,54,technician,4582,yes,no,unknown,may,1,-1,unknown,0,1.9103683,no
3870,53,blue-collar,1004,no,no,cellular,may,1,84,other,0,4.5811086,yes
4802,42,technician,757,no,no,cellular,feb,1,-1,unknown,0,2.8712373,yes
2085,27,management,13,no,no,cellular,jan,3,-1,unknown,0,3.6878142,yes
6380,30,technician,426,yes,no,telephone,nov,4,111,failure,0,5.6899886,no
6623,34,admin.,36,no,no,cellular,aug,6,-1,unknown,0,2.9851317,no
1646,44,technician,135,yes,no,cellular,may,3,-1,unknown,0,2.289904,no
1469,45,management,1,no,no,cellular,aug,2,-1,unknown,0,1.135784,yes
2678,35,management,53,yes,no,cellular,nov,1,-1,unknown,0,2.013781,no
6887,52,services,-336,no,yes,unknown,jun,8,-1,unknown,0,4.168098,no
3126,35,management,2326,yes,yes,cellular,sep,1,-1,unknown,0,5.3572063,yes
6308,39,technician,206,no,no,cellular,oct,2,195,success,0,4.2407546,yes
670,48,blue-collar,623,yes,no,cellular,feb,2,-1,unknown,0,3.9076917,yes
2996,19,student,394,no,no,cellular,apr,3,-1,unknown,0,4.6777577,yes
5102,28,management,6784,no,no,cellular,oct,1,115,other,0,6.0467615,yes
2785,54,admin.,976,yes,no,unknown,jun,3,-1,unknown,0,2.722052,no
6159,47,management,60,no,no,unknown,jun,7,-1,unknown,0,2.4887674,no
2614,51,technician,0,yes,no,unknown,may,2,-1,unknown,0,1.0158905,no
4071,49,services,1114,no,no,cellular,nov,1,-1,unknown,0,4.5013304,no
5394,47,blue-collar,2749,yes,no,cellular,apr,2,164,failure,0,4.2367463,yes
622,55,management,86,no,no,telephone,jun,1,-1,unknown,0,4.9437428,no
7225,50,entrepreneur,2731,no,no,cellular,aug,2,-1,unknown,0,4.6759763,no
945,29,management,53,yes,no,cellular,jul,17,-1,unknown,0,4.9899325,no
2740,30,technician,526,yes,yes,unknown,jun,3,-1,unknown,0,4.0633125,yes
4545,31,management,78,yes,no,cellular,jul,2,-1,unknown,0,1.3649402,no
10,23,student,1234,no,no,cellular,feb,1,91,success,0,5.1038275,yes
2772,20,blue-collar,76,yes,no,cellular,may,2,-1,unknown,0,1.9331884,yes
3511,35,technician,1227,no,no,cellular,jul,5,134,success,0,4.5311604,yes
5673,38,management,595,yes,no,cellular,nov,1,-1,unknown,0,2.023367,no
1053,33,management,679,no,no,cellular,aug,2,-1,unknown,0,1.0043471,yes
5727,43,unemployed,210,yes,no,unknown,may,5,-1,unknown,0,4.6707616,no
5295,43,admin.,132,no,no,cellular,mar,1,-1,unknown,0,4.157929,yes
3495,33,technician,801,no,no,cellular,aug,5,-1,unknown,0,1.3951018,yes
2452,41,services,2399,yes,no,cellular,may,2,351,failure,0,4.3453918,no
7006,49,admin.,228,yes,no,cellular,mar,1,-1,unknown,0,4.578018,yes
6883,56,management,-45,yes,no,unknown,may,6,-1,unknown,0,1.9909272,no
6131,57,unemployed,3754,no,no,cellular,feb,2,-1,unknown,0,4.6884375,yes
2289,33,management,816,yes,no,cellular,oct,2,503,failure,0,5.9379478,yes
4893,32,technician,211,yes,yes,unknown,may,4,-1,unknown,0,3.2575724,no
2321,37,services,50,no,no,cellular,nov,1,154,other,0,5.710761,no
6267,32,technician,562,yes,no,unknown,may,3,-1,unknown,0,2.1774356,yes
3106,40,retired,1400,no,no,unknown,jun,7,-1,unknown,0,4.383848,no
2032,28,self-employed,159,no,no,cellular,nov,2,33,success,0,5.636463,yes
1221,43,self-employed,14144,yes,no,cellular,nov,1,-1,unknown,0,6.1376414,yes
5108,31,technician,2388,no,no,cellular,aug,1,-1,unknown,0,0.9468084,no
6785,42,technician,2625,no,no,cellular,jul,2,-1,unknown,0,2.232408,yes
6280,35,admin.,3854,yes,no,cellular,may,1,-1,unknown,0,2.3215249,no
1330,46,blue-collar,640,yes,no,cellular,sep,2,129,failure,0,5.9245157,yes
6352,45,management,22815,no,no,cellular,aug,8,-1,unknown,0,6.4104395,no
6260,63,blue-collar,180,no,no,cellular,jul,2,182,success,0,4.8674355,yes
2237,50,entrepreneur,2410,no,no,cellular,nov,1,-1,unknown,0,4.6827793,no
5422,57,retired,9367,no,no,cellular,feb,1,90,success,0,5.1382475,yes
6537,47,unemployed,2500,no,no,cellular,jan,1,-1,unknown,0,6.5644603,no
7333,52,management,583,no,no,cellular,nov,1,91,failure,0,4.2137218,yes
4673,23,student,0,no,no,cellular,aug,1,-1,unknown,0,4.1482253,yes
2325,27,technician,931,yes,no,cellular,feb,1,-1,unknown,0,2.9935856,yes
3273,31,blue-collar,726,no,no,cellular,jul,2,-1,unknown,0,2.1840038,yes
6649,42,management,11891,no,no,cellular,apr,1,-1,unknown,0,3.9200118,yes
6968,29,services,19,yes,no,cellular,jul,6,-1,unknown,0,2.4689977,no
5146,43,management,373,yes,no,unknown,may,1,-1,unknown,0,0.75760984,no
3994,46,blue-collar,640,yes,no,cellular,mar,1,182,success,0,6.0393233,yes
6187,33,entrepreneur,114,no,yes,cellular,jul,3,-1,unknown,0,3.9878967,no
6565,35,self-employed,353,no,no,cellular,aug,1,-1,unknown,0,3.8928802,yes
1432,43,management,0,yes,no,cellular,jul,1,-1,unknown,0,1.1575987,no
5566,37,management,5,no,no,cellular,aug,2,-1,unknown,0,0.4900695,no
113,29,blue-collar,162,yes,no,cellular,jul,3,-1,unknown,0,1.7264119,no
1490,50,technician,3176,no,no,cellular,aug,1,-1,unknown,0,1.6451445,yes
4201,31,management,676,no,no,cellular,aug,1,-1,unknown,0,1.3112218,yes
6873,34,management,0,yes,yes,cellular,may,2,98,other,0,5.269619,no
3104,47,technician,568,yes,no,telephone,jul,2,-1,unknown,0,4.4204617,no
610,57,management,854,no,no,cellular,aug,4,92,failure,0,4.36459,yes
120,47,admin.,1358,yes,no,cellular,may,4,-1,unknown,0,2.325118,no
4014,36,technician,35,no,no,cellular,aug,2,-1,unknown,0,0.48865223,no
4476,34,management,747,no,no,cellular,aug,2,98,failure,0,4.3138323,no
2324,46,blue-collar,219,yes,no,cellular,nov,1,-1,unknown,0,2.91504,yes
960,53,management,-601,yes,no,unknown,may,2,-1,unknown,0,1.1186395,no
5184,52,housemaid,256,no,no,cellular,aug,1,-1,unknown,0,4.6721687,no
3699,52,technician,-38,no,no,unknown,jun,1,-1,unknown,0,2.2930655,no
3908,46,management,361,yes,no,unknown,may,7,-1,unknown,0,1.8385348,no
3545,48,blue-collar,8990,no,no,telephone,feb,2,-1,unknown,0,5.6252856,yes
2660,39,technician,681,yes,no,unknown,jun,1,-1,unknown,0,2.2930655,no
7,36,technician,911,yes,yes,cellular,may,2,21,failure,0,4.57063,yes
7078,58,admin.,1947,no,no,telephone,oct,1,-1,unknown,0,5.4851284,yes
5188,26,admin.,2509,no,no,cellular,may,3,97,success,0,4.3300934,yes
4949,52,management,48,no,no,unknown,jun,2,-1,unknown,0,2.056928,no
4619,52,management,40,no,no,cellular,nov,3,-1,unknown,0,2.205971,yes
3563,57,retired,34,no,yes,cellular,jan,1,-1,unknown,0,5.7182717,no
82,25,student,469,no,no,cellular,aug,1,86,other,0,5.6314173,yes
6740,33,blue-collar,0,yes,no,cellular,nov,2,-1,unknown,0,2.4381547,no
2499,23,services,279,yes,no,cellular,may,1,370,failure,0,4.5051622,yes
2042,39,management,2981,no,no,cellular,mar,1,-1,unknown,0,2.205517,yes
832,46,blue-collar,-396,no,yes,cellular,aug,1,-1,unknown,0,3.6745062,no
1272,29,admin.,488,yes,no,cellular,jun,1,-1,unknown,0,3.7683024,no
2525,39,blue-collar,29,yes,no,unknown,may,2,-1,unknown,0,0.3928655,no
6314,31,management,141,yes,no,cellular,feb,2,238,other,0,4.9702725,yes
659,31,admin.,690,no,no,cellular,may,4,87,failure,0,3.9331582,no
2224,45,admin.,67,no,no,cellular,feb,2,-1,unknown,0,4.00834,no
3978,51,services,65,no,yes,cellular,jul,1,-1,unknown,0,3.4330332,yes
6038,33,management,250,no,no,cellular,mar,6,-1,unknown,0,2.7250912,yes
7351,60,retired,1690,no,no,unknown,jun,4,-1,unknown,0,3.6572156,yes
3253,33,unemployed,438,yes,yes,unknown,may,1,-1,unknown,0,5.386173,no
1424,34,management,123,no,no,cellular,feb,3,-1,unknown,0,2.141601,yes
3259,55,technician,0,no,no,cellular,jul,2,-1,unknown,0,2.450695,no
3693,60,housemaid,517,no,no,unknown,jun,3,-1,unknown,0,3.4559045,no
3531,29,technician,2178,no,no,cellular,oct,2,139,other,0,5.9369493,yes
1315,37,self-employed,1549,yes,no,unknown,jun,7,-1,unknown,0,4.452562,no
431,38,blue-collar,2467,no,no,cellular,jun,1,-1,unknown,0,3.7527854,yes
2510,52,self-employed,2289,yes,yes,cellular,nov,1,-1,unknown,0,5.442636,no
3295,71,retired,1236,yes,no,cellular,sep,4,-1,unknown,0,5.9213543,yes
637,42,management,783,yes,no,cellular,nov,2,128,failure,0,3.7135475,no
3182,48,blue-collar,113,no,no,cellular,aug,13,-1,unknown,0,3.885327,no
6322,46,technician,332,yes,no,unknown,may,1,-1,unknown,0,2.1648054,yes
6146,42,admin.,437,yes,no,cellular,aug,3,190,failure,0,4.3728633,no
3820,32,technician,930,yes,no,unknown,may,1,-1,unknown,0,0.5249431,no
5695,40,blue-collar,1808,yes,no,cellular,may,1,-1,unknown,0,1.4825827,yes
4029,44,management,-1636,yes,yes,cellular,may,1,-1,unknown,0,3.5108802,no
1891,56,retired,-1206,yes,no,cellular,jun,2,-1,unknown,0,4.5310636,yes
3361,36,technician,556,yes,no,cellular,nov,3,189,failure,0,3.8896885,no
4082,41,blue-collar,2823,yes,no,unknown,may,1,-1,unknown,0,1.1908106,yes
471,38,admin.,0,no,no,unknown,jun,1,-1,unknown,0,2.58156,no
6838,40,blue-collar,737,yes,yes,unknown,may,1,-1,unknown,0,1.4822571,no
1233,30,management,726,yes,no,cellular,apr,1,342,failure,0,3.6332486,no
6969,35,technician,0,yes,no,telephone,aug,2,-1,unknown,0,4.8595552,no
5493,59,technician,7766,yes,no,cellular,feb,1,461,failure,0,5.603862,yes
4041,30,unemployed,330,no,no,cellular,apr,1,-1,unknown,0,4.857654,yes
2686,69,retired,2473,no,no,cellular,jul,3,-1,unknown,0,4.3034205,yes
4684,42,technician,13410,no,yes,cellular,aug,2,-1,unknown,0,4.6489377,no
5404,40,services,160,no,no,cellular,jul,3,-1,unknown,0,2.205283,no
3999,37,technician,265,yes,yes,cellular,feb,1,366,failure,0,4.9896364,yes
7150,35,management,431,no,no,cellular,aug,2,397,failure,0,4.3927584,yes
6113,38,services,1315,no,no,unknown,jun,12,-1,unknown,0,4.325981,no
4833,48,management,1167,yes,yes,cellular,jan,4,50,other,0,6.5904713,no
5709,53,technician,1982,yes,yes,cellular,nov,1,-1,unknown,0,4.0152726,yes
3651,56,technician,6619,yes,no,telephone,nov,1,-1,unknown,0,5.1973844,yes
195,30,blue-collar,297,no,no,cellular,apr,4,-1,unknown,0,2.7498078,yes
3977,77,retired,699,no,no,cellular,aug,2,-1,unknown,0,2.310673,yes
1944,60,admin.,3735,no,no,cellular,mar,1,90,success,0,5.137737,yes
5495,34,management,275,no,no,cellular,aug,2,455,other,0,5.2514043,yes
4542,32,management,937,no,no,cellular,may,1,190,failure,0,3.8165212,no
3641,35,management,592,no,yes,unknown,may,1,-1,unknown,0,3.6833668,no
491,51,admin.,176,no,no,cellular,jan,1,183,failure,0,5.450918,no
2421,24,blue-collar,174,yes,yes,cellular,may,1,-1,unknown,0,3.20337,yes
3928,58,self-employed,-364,yes,no,unknown,may,1,-1,unknown,0,4.1393914,no
2486,58,self-employed,9994,no,no,cellular,jul,1,-1,unknown,0,5.090041,no
5946,74,retired,1714,no,no,telephone,feb,1,-1,unknown,0,4.6713676,yes
6015,45,management,904,yes,yes,unknown,jun,9,-1,unknown,0,4.231112,no
6854,34,blue-collar,1454,yes,no,cellular,feb,2,297,failure,0,4.630484,yes
4607,33,admin.,920,no,no,cellular,apr,1,-1,unknown,0,2.2012439,yes
3217,39,management,1914,no,no,cellular,aug,4,-1,unknown,0,0.82677263,no
5812,53,blue-collar,111,no,no,unknown,jun,3,-1,unknown,0,1.4265921,no
6987,51,entrepreneur,0,no,no,unknown,may,3,-1,unknown,0,4.053509,no
2132,50,admin.,133,no,no,cellular,jul,4,-1,unknown,0,2.695733,yes
3258,49,self-employed,599,no,no,cellular,aug,1,-1,unknown,0,3.3694556,no
1089,60,management,544,no,no,cellular,jun,7,357,failure,0,5.388661,yes
638,49,entrepreneur,687,no,no,cellular,aug,6,-1,unknown,0,4.7817507,no
293,58,technician,786,yes,no,unknown,may,3,-1,unknown,0,1.5582592,no
1660,34,technician,-259,yes,no,unknown,may,2,-1,unknown,0,0.5666572,no
5599,25,technician,505,no,yes,cellular,nov,2,-1,unknown,0,4.1201096,yes
2602,28,blue-collar,-185,yes,yes,unknown,may,1,-1,unknown,0,2.0804346,no
1007,42,management,0,yes,no,cellular,nov,1,-1,unknown,0,2.1650686,yes
881,35,technician,300,yes,no,unknown,may,4,-1,unknown,0,0.87270844,no
6870,52,technician,7,no,yes,unknown,may,1,-1,unknown,0,3.6390991,no
1444,44,unemployed,0,yes,no,cellular,feb,1,272,failure,0,5.5222664,yes
4843,49,entrepreneur,159,yes,no,unknown,may,3,-1,unknown,0,4.016302,no
2396,35,unemployed,154,no,no,cellular,jul,4,181,failure,0,5.2695775,yes
387,49,technician,808,yes,no,cellular,jan,1,-1,unknown,0,4.285658,yes
3206,45,blue-collar,-184,yes,no,cellular,may,3,170,failure,0,2.9115086,yes
2803,31,technician,304,no,no,cellular,feb,2,-1,unknown,0,3.0025876,no
5575,37,technician,3068,yes,yes,cellular,nov,2,195,other,0,5.7474155,yes
5369,32,technician,0,no,no,cellular,aug,4,-1,unknown,0,0.7727595,no
4920,59,retired,1026,no,no,unknown,nov,1,-1,unknown,0,5.0255075,yes
3625,34,self-employed,1261,yes,no,cellular,apr,2,-1,unknown,0,4.9321637,no
4965,57,blue-collar,0,no,no,unknown,jun,2,-1,unknown,0,1.6024767,no
6255,49,services,306,yes,no,cellular,aug,7,-1,unknown,0,3.8895636,no
4113,60,technician,-71,yes,yes,cellular,jan,1,-1,unknown,0,5.1979504,yes
894,37,management,156,no,no,cellular,nov,3,-1,unknown,0,2.3271909,yes
6188,27,admin.,2855,no,no,cellular,jan,1,301,failure,0,5.951856,yes
7343,32,technician,253,yes,no,cellular,nov,1,170,failure,0,3.9226668,no
824,76,retired,3324,no,no,cellular,nov,1,92,success,0,4.873196,yes
2891,55,management,42,yes,no,telephone,may,2,-1,unknown,0,4.3617206,no
5174,56,unemployed,1770,no,no,cellular,feb,3,-1,unknown,0,4.8546047,no
5625,40,services,473,yes,no,cellular,jul,3,-1,unknown,0,2.3534033,yes
999,42,housemaid,314,no,no,unknown,jun,2,-1,unknown,0,3.3642874,no
1817,39,blue-collar,34,yes,no,unknown,may,1,-1,unknown,0,0.3768991,no
5675,41,blue-collar,138,yes,no,cellular,jul,3,-1,unknown,0,2.048981,yes
3561,20,student,215,no,no,cellular,aug,4,183,other,0,5.8069787,yes
618,72,retired,2304,no,no,telephone,may,4,-1,unknown,0,4.7193885,yes
5000,37,services,319,yes,no,unknown,jun,3,-1,unknown,0,2.8832557,yes
5075,25,blue-collar,303,no,no,cellular,mar,1,-1,unknown,0,4.1328135,yes
2094,33,technician,2044,yes,no,cellular,may,3,-1,unknown,0,2.2110224,yes
1336,36,technician,4136,yes,no,unknown,may,3,-1,unknown,0,2.392081,yes
7353,32,unemployed,2996,yes,no,unknown,may,1,-1,unknown,0,4.697996,no
3857,29,unemployed,25,no,no,cellular,apr,2,-1,unknown,0,4.8729258,yes
4743,33,management,191,no,yes,cellular,feb,4,209,failure,0,4.7800384,no
6442,34,self-employed,1943,yes,no,cellular,apr,2,-1,unknown,0,4.9566555,no
4268,39,management,0,yes,no,unknown,jun,2,-1,unknown,0,2.1629782,no
1324,34,admin.,79,yes,no,cellular,jul,3,-1,unknown,0,2.1372876,no
3613,38,services,0,no,yes,cellular,jul,6,-1,unknown,0,3.2126834,no
1321,27,management,1720,no,no,cellular,jun,1,224,success,0,4.284274,yes
562,43,entrepreneur,0,no,no,unknown,jun,7,-1,unknown,0,4.417059,yes
6393,35,self-employed,2251,no,no,cellular,aug,8,-1,unknown,0,4.109041,no
3461,39,management,4314,yes,no,cellular,nov,4,-1,unknown,0,2.1831217,no
1678,37,technician,1435,no,no,cellular,aug,16,-1,unknown,0,3.721608,yes
6866,33,technician,256,yes,no,cellular,nov,1,-1,unknown,0,2.724883,no
5144,48,technician,1000,no,no,cellular,nov,2,-1,unknown,0,2.4640222,no
4162,29,blue-collar,79,yes,no,unknown,may,2,-1,unknown,0,0.45203862,no
5858,42,technician,446,no,no,cellular,aug,3,-1,unknown,0,0.72346145,no
2622,47,management,274,no,yes,cellular,feb,2,-1,unknown,0,3.7784548,no
6862,33,blue-collar,498,no,no,cellular,apr,1,-1,unknown,0,2.4917846,yes
7206,39,technician,834,yes,yes,cellular,apr,1,-1,unknown,0,3.8319407,no
2512,51,management,1573,no,no,cellular,aug,18,-1,unknown,0,4.3379083,no
2927,39,management,1241,yes,no,cellular,jun,2,-1,unknown,0,3.1359742,no
3307,28,management,1633,no,no,cellular,jun,1,-1,unknown,0,2.458957,yes
114,43,management,1336,yes,yes,cellular,may,2,309,failure,0,3.8081264,no
4819,35,blue-collar,105,yes,no,unknown,may,2,-1,unknown,0,0.4210115,no
5825,42,housemaid,0,no,yes,cellular,jul,2,-1,unknown,0,4.798111,no
6778,34,blue-collar,479,no,no,cellular,jul,1,-1,unknown,0,2.145278,no
3483,43,technician,1358,no,no,cellular,mar,3,-1,unknown,0,3.9402118,yes
1483,34,management,291,no,no,cellular,aug,2,-1,unknown,0,0.4509995,no
3707,32,technician,491,no,no,cellular,jul,7,-1,unknown,0,2.8028147,yes
3510,48,blue-collar,430,no,no,cellular,may,3,371,failure,0,2.946507,no
1565,38,blue-collar,622,yes,no,unknown,may,2,-1,unknown,0,0.8052942,yes
5113,49,services,114,yes,no,unknown,may,2,-1,unknown,0,1.0883844,no
4156,25,technician,139,no,yes,cellular,oct,1,-1,unknown,0,5.059829,yes
1512,48,services,-110,no,yes,unknown,jun,2,-1,unknown,0,3.6608355,no
929,39,technician,1270,yes,no,unknown,may,4,-1,unknown,0,0.9504965,no
1834,34,services,544,yes,no,unknown,may,2,-1,unknown,0,0.5665739,no
2985,35,blue-collar,-1489,yes,yes,unknown,may,1,-1,unknown,0,1.9804938,no
4072,46,admin.,2196,no,no,cellular,jul,5,-1,unknown,0,2.6802394,yes
3915,50,entrepreneur,199,no,no,cellular,may,2,363,failure,0,6.288085,no
2818,48,blue-collar,-314,yes,no,cellular,may,5,-1,unknown,0,1.8238403,no
6686,44,admin.,262,yes,no,cellular,jul,1,-1,unknown,0,2.19171,no
4010,40,unemployed,1744,yes,no,unknown,may,11,-1,unknown,0,5.5602446,no
4107,53,entrepreneur,162,yes,no,cellular,may,2,-1,unknown,0,3.909119,no
1472,70,retired,0,no,no,cellular,sep,1,-1,unknown,0,5.6092315,yes
3665,49,technician,486,no,no,telephone,jul,5,-1,unknown,0,4.420437,no
283,29,blue-collar,-565,yes,no,unknown,jun,3,-1,unknown,0,1.6896117,no
563,30,management,398,no,no,cellular,apr,2,-1,unknown,0,1.2643198,yes
4468,42,management,1272,yes,no,cellular,may,1,169,failure,0,3.6362913,no
1108,43,blue-collar,576,yes,yes,unknown,may,1,-1,unknown,0,1.5232102,no
3318,55,technician,264,yes,yes,cellular,jul,5,-1,unknown,0,3.2637038,yes
7136,46,management,244,yes,no,unknown,may,1,-1,unknown,0,0.7890481,no
2296,61,retired,77,no,no,cellular,aug,4,-1,unknown,0,2.155292,yes
512,52,blue-collar,2087,yes,no,cellular,aug,1,474,failure,0,4.655909,yes
6577,30,admin.,915,yes,no,unknown,apr,1,-1,unknown,0,4.1271124,yes
193,36,technician,341,no,no,cellular,feb,2,183,success,0,4.2980366,yes
1544,58,management,2155,no,yes,cellular,feb,2,92,success,0,5.2316303,yes
334,49,services,1830,yes,no,cellular,aug,1,179,success,0,4.848796,yes
3988,39,housemaid,109,yes,no,unknown,may,3,-1,unknown,0,4.621365,no
4504,30,entrepreneur,-346,yes,yes,cellular,jul,1,-1,unknown,0,4.129646,no
2517,49,technician,523,yes,no,cellular,jun,1,60,failure,0,4.7023506,yes
5989,29,admin.,514,no,no,cellular,feb,1,-1,unknown,0,3.9944906,no
4547,57,management,3287,no,no,cellular,mar,2,337,success,0,5.6100116,yes
3072,41,entrepreneur,663,no,no,cellular,jul,1,-1,unknown,0,3.7192366,yes
6491,36,technician,2511,yes,no,cellular,apr,5,-1,unknown,0,2.554546,yes
4830,30,admin.,419,no,no,cellular,sep,2,-1,unknown,0,4.7635584,no
237,50,management,1396,no,no,cellular,aug,6,-1,unknown,0,1.5877111,yes
3951,27,student,25,no,no,unknown,aug,1,-1,unknown,0,5.3896556,no
570,40,management,402,yes,no,unknown,may,3,-1,unknown,0,0.7444476,no
7196,40,management,143,no,no,cellular,aug,6,-1,unknown,0,0.985965,no
2668,47,blue-collar,3630,yes,no,unknown,may,4,-1,unknown,0,1.3555666,no
2872,58,management,1257,no,no,cellular,aug,1,-1,unknown,0,2.0521839,yes
3836,48,management,657,no,yes,cellular,jan,2,-1,unknown,0,4.315206,no
1627,37,management,1027,yes,no,cellular,mar,1,152,success,0,4.9999676,yes
355,67,management,361,no,no,cellular,oct,2,-1,unknown,0,4.4088974,yes
4266,19,student,134,no,no,cellular,mar,2,-1,unknown,0,6.7006145,yes
3672,34,admin.,2064,yes,no,unknown,may,2,-1,unknown,0,0.78670925,no
