,job,balance,housing,loan,contact,campaign,pdays,poutcome,education,default,duration,previous,deposit
2304,technician,3572,yes,no,cellular,2,-1,unknown,secondary,no,85,0,0
2317,admin.,-97,yes,no,unknown,2,-1,unknown,secondary,no,1528,0,1
7081,technician,275,no,no,cellular,1,-1,unknown,secondary,no,1077,0,1
7096,management,456,yes,no,cellular,4,-1,unknown,secondary,no,734,0,1
3262,admin.,1143,yes,yes,telephone,1,-1,unknown,secondary,no,106,0,0
5835,self-employed,138,no,no,unknown,3,-1,unknown,secondary,no,182,0,0
5930,technician,-888,no,yes,cellular,1,-1,unknown,tertiary,no,298,0,0
2488,self-employed,9994,no,no,cellular,1,-1,unknown,secondary,no,400,0,0
2208,admin.,10,yes,no,cellular,2,-1,unknown,secondary,no,658,0,1
2093,management,655,no,no,cellular,6,-1,unknown,tertiary,no,167,0,0
1944,admin.,3735,no,no,cellular,1,90,success,secondary,no,248,10,1
1936,student,620,no,no,cellular,1,94,success,secondary,no,223,1,1
4232,unknown,2235,no,no,telephone,3,-1,unknown,unknown,no,300,0,1
411,blue-collar,3064,yes,no,cellular,2,-1,unknown,primary,no,2453,0,1
5376,retired,303,yes,no,unknown,2,-1,unknown,secondary,no,593,0,0
4608,technician,816,yes,no,unknown,1,-1,unknown,secondary,no,179,0,1
7193,technician,6831,no,no,cellular,2,-1,unknown,secondary,no,1130,0,1
4648,blue-collar,-312,yes,yes,cellular,2,-1,unknown,secondary,no,130,0,0
2446,admin.,1076,yes,no,cellular,2,391,other,secondary,no,77,2,0
1049,entrepreneur,781,no,yes,cellular,2,126,failure,secondary,no,652,2,1
1754,retired,2302,no,no,telephone,1,87,failure,secondary,no,110,2,0
5789,self-employed,270,yes,no,unknown,2,-1,unknown,tertiary,no,470,0,0
6944,self-employed,1633,no,no,cellular,2,-1,unknown,secondary,no,629,0,1
2607,blue-collar,240,yes,no,cellular,1,370,other,primary,no,259,2,0
6004,management,904,yes,yes,unknown,9,-1,unknown,tertiary,no,14,0,0
1808,admin.,370,yes,no,unknown,1,-1,unknown,secondary,no,160,0,0
2254,management,135,no,no,cellular,2,-1,unknown,secondary,no,112,0,0
6419,unemployed,309,no,no,cellular,1,-1,unknown,primary,no,578,0,1
4508,student,110,yes,no,unknown,3,-1,unknown,secondary,no,169,0,0
2437,management,838,yes,no,unknown,3,-1,unknown,unknown,no,619,0,0
6826,admin.,1487,no,no,unknown,2,-1,unknown,primary,no,332,0,0
478,services,311,yes,yes,cellular,1,301,failure,secondary,no,238,3,0
6304,management,141,yes,no,cellular,2,238,other,tertiary,no,572,7,1
990,admin.,127,yes,no,cellular,6,368,other,secondary,no,16,1,0
4830,admin.,1085,no,no,cellular,7,-1,unknown,secondary,no,101,0,1
3827,services,278,yes,no,cellular,1,366,other,secondary,no,51,1,0
5910,management,349,no,no,cellular,4,88,success,tertiary,no,466,3,1
6080,blue-collar,-29,yes,no,unknown,1,-1,unknown,primary,no,322,0,0
4264,management,705,no,no,cellular,2,-1,unknown,tertiary,no,164,0,0
6259,services,658,no,no,cellular,1,-1,unknown,secondary,no,100,0,0
3245,blue-collar,252,no,no,cellular,4,-1,unknown,primary,no,727,0,1
218,management,2485,yes,no,cellular,2,-1,unknown,tertiary,no,91,0,0
705,entrepreneur,66,no,no,cellular,2,-1,unknown,tertiary,no,1164,0,1
1508,self-employed,1216,yes,no,cellular,1,521,failure,secondary,no,296,1,1
6412,retired,1021,no,no,telephone,1,-1,unknown,primary,no,37,0,0
3399,management,8929,no,no,cellular,1,-1,unknown,tertiary,no,126,0,1
2218,blue-collar,1388,no,no,cellular,4,-1,unknown,primary,no,139,0,0
2246,admin.,1096,yes,no,cellular,1,303,failure,secondary,no,609,5,0
3799,retired,2626,no,no,cellular,2,-1,unknown,secondary,no,140,0,1
6411,blue-collar,5,no,no,cellular,2,-1,unknown,primary,no,600,0,1
6687,unemployed,330,no,no,cellular,1,80,success,tertiary,no,264,1,1
4813,blue-collar,1660,yes,no,cellular,1,-1,unknown,secondary,no,342,0,0
4972,blue-collar,1796,yes,yes,cellular,2,-1,unknown,primary,no,232,0,0
5016,blue-collar,429,yes,no,cellular,1,370,failure,secondary,no,110,1,0
1228,technician,606,yes,no,cellular,1,-1,unknown,tertiary,no,551,0,0
6952,blue-collar,140,yes,no,unknown,9,-1,unknown,primary,no,7,0,0
1737,management,9407,no,no,cellular,6,-1,unknown,tertiary,no,267,0,1
3807,technician,930,yes,no,unknown,1,-1,unknown,secondary,no,122,0,0
3189,technician,615,yes,no,cellular,1,-1,unknown,tertiary,no,373,0,1
5918,retired,121,no,no,telephone,1,-1,unknown,secondary,no,330,0,1
5973,blue-collar,4660,no,no,cellular,3,-1,unknown,primary,no,82,0,0
7025,blue-collar,1954,no,no,cellular,2,-1,unknown,secondary,no,1107,0,1
5571,blue-collar,25,yes,no,unknown,2,-1,unknown,primary,no,188,0,0
3528,management,552,yes,no,cellular,2,-1,unknown,tertiary,no,648,0,0
3371,blue-collar,4830,yes,no,unknown,1,-1,unknown,primary,no,350,0,0
2032,blue-collar,603,yes,yes,cellular,1,-1,unknown,primary,no,1080,0,1
253,technician,473,no,yes,cellular,3,-1,unknown,secondary,no,292,0,1
3855,unemployed,518,no,no,cellular,2,-1,unknown,primary,no,1917,0,1
1997,blue-collar,0,no,yes,cellular,21,-1,unknown,secondary,no,11,0,0
6113,technician,726,no,no,cellular,2,-1,unknown,secondary,no,445,0,1
1368,blue-collar,-35,yes,no,cellular,3,-1,unknown,primary,no,194,0,0
3963,technician,6822,no,no,cellular,2,-1,unknown,tertiary,no,797,0,1
3869,technician,508,yes,yes,cellular,2,-1,unknown,tertiary,no,1103,0,1
1133,blue-collar,955,no,yes,cellular,2,134,success,secondary,no,301,4,1
5728,technician,11262,no,no,cellular,1,-1,unknown,primary,no,323,0,1
5003,management,536,no,no,cellular,1,-1,unknown,tertiary,no,309,0,1
164,technician,100,no,no,cellular,4,-1,unknown,secondary,no,205,0,0
4580,blue-collar,456,yes,yes,unknown,1,-1,unknown,primary,no,289,0,0
2084,management,2840,no,no,cellular,5,-1,unknown,secondary,no,227,0,1
5838,blue-collar,80,yes,yes,cellular,1,337,failure,secondary,no,145,4,0
3101,retired,1400,no,no,unknown,7,-1,unknown,secondary,no,20,0,0
6322,self-employed,467,yes,yes,unknown,2,-1,unknown,secondary,no,90,0,0
2620,management,9324,yes,no,cellular,8,-1,unknown,tertiary,no,138,0,0
4654,services,6170,no,no,cellular,4,-1,unknown,secondary,no,838,0,1
6532,technician,0,yes,yes,cellular,1,-1,unknown,secondary,no,199,0,0
3583,management,428,no,no,cellular,2,-1,unknown,tertiary,no,293,0,1
5708,management,8103,no,no,cellular,3,-1,unknown,tertiary,no,473,0,1
6090,admin.,476,no,no,unknown,3,-1,unknown,secondary,no,489,0,0
911,self-employed,567,no,no,cellular,10,-1,unknown,secondary,no,142,0,0
6473,blue-collar,-27,yes,no,cellular,1,-1,unknown,secondary,no,254,0,0
3388,admin.,1544,yes,no,unknown,1,-1,unknown,secondary,no,609,0,0
4010,technician,146,yes,no,cellular,3,-1,unknown,secondary,no,419,0,1
1276,self-employed,2857,no,no,cellular,1,-1,unknown,tertiary,no,446,0,1
2195,services,209,yes,no,cellular,2,-1,unknown,secondary,no,319,0,0
6570,management,203,no,no,cellular,1,88,success,tertiary,no,255,1,1
2227,admin.,1734,no,no,cellular,1,-1,unknown,tertiary,no,366,0,0
6205,blue-collar,467,yes,no,unknown,1,-1,unknown,primary,no,379,0,0
6183,technician,4,yes,yes,unknown,2,-1,unknown,secondary,no,625,0,1
7213,admin.,1504,yes,no,unknown,3,-1,unknown,secondary,no,395,0,0
563,management,398,no,no,cellular,2,-1,unknown,tertiary,no,235,0,1
7227,self-employed,7602,no,no,cellular,1,-1,unknown,tertiary,no,222,0,0
3920,management,396,yes,no,unknown,3,-1,unknown,primary,no,72,0,0
4295,services,339,no,no,cellular,1,-1,unknown,secondary,no,182,0,1
314,management,1812,no,no,cellular,1,-1,unknown,tertiary,no,461,0,1
3097,blue-collar,1206,no,yes,telephone,5,-1,unknown,primary,no,201,0,0
1664,blue-collar,0,yes,no,cellular,2,-1,unknown,primary,no,83,0,0
1102,admin.,1130,yes,no,cellular,5,-1,unknown,secondary,no,236,0,0
1260,blue-collar,625,no,no,cellular,1,-1,unknown,primary,no,133,0,0
5020,blue-collar,2188,no,no,unknown,8,-1,unknown,unknown,no,193,0,0
3114,housemaid,491,no,no,cellular,4,-1,unknown,unknown,no,503,0,0
3961,services,65,no,yes,cellular,1,-1,unknown,secondary,no,881,0,1
5154,management,1,no,no,cellular,5,-1,unknown,tertiary,no,396,0,1
6715,blue-collar,2095,yes,yes,cellular,4,-1,unknown,primary,no,438,0,0
1089,self-employed,137,yes,yes,unknown,1,-1,unknown,tertiary,no,246,0,0
4492,admin.,3957,yes,no,telephone,3,334,other,secondary,no,58,3,0
2069,blue-collar,1461,yes,no,unknown,2,-1,unknown,primary,no,554,0,1
3801,management,27,no,no,cellular,6,-1,unknown,tertiary,no,165,0,0
5228,management,1304,yes,no,cellular,2,-1,unknown,tertiary,no,536,0,1
1038,technician,2489,yes,no,telephone,2,-1,unknown,tertiary,no,342,0,1
4068,management,572,no,no,cellular,1,-1,unknown,tertiary,no,224,0,1
5490,blue-collar,111,yes,no,cellular,11,-1,unknown,primary,no,14,0,0
5718,blue-collar,3576,yes,no,cellular,1,308,other,secondary,no,124,2,0
5947,management,-11,yes,no,cellular,2,-1,unknown,tertiary,no,164,0,0
6653,retired,2714,no,no,cellular,1,287,failure,secondary,no,165,2,1
665,management,0,no,no,cellular,2,-1,unknown,tertiary,no,360,0,0
1612,unemployed,219,yes,no,unknown,1,-1,unknown,secondary,no,357,0,0
3999,admin.,869,no,no,unknown,1,-1,unknown,secondary,no,1677,0,1
4808,technician,501,yes,no,unknown,5,-1,unknown,secondary,no,579,0,1
2391,management,2171,yes,yes,telephone,1,-1,unknown,tertiary,no,1034,0,1
4083,management,149,yes,no,unknown,2,-1,unknown,tertiary,no,662,0,1
711,housemaid,3680,no,no,unknown,1,-1,unknown,primary,no,131,0,0
7005,services,608,no,no,cellular,3,-1,unknown,secondary,no,380,0,0
7266,admin.,190,no,no,cellular,1,-1,unknown,secondary,no,514,0,1
486,admin.,983,yes,no,cellular,2,-1,unknown,secondary,no,189,0,1
165,management,119,no,no,cellular,1,165,failure,tertiary,no,200,2,0
2818,student,151,yes,no,unknown,1,-1,unknown,secondary,no,97,0,0
6528,management,7668,no,no,cellular,1,-1,unknown,tertiary,no,124,0,0
6573,unemployed,-35,no,no,cellular,3,-1,unknown,secondary,no,339,0,0
6466,retired,2850,no,no,cellular,1,144,failure,secondary,no,512,7,0
7034,management,1125,yes,no,unknown,1,-1,unknown,tertiary,no,301,0,0
2129,blue-collar,0,no,no,cellular,4,-1,unknown,primary,no,57,0,0
3794,technician,598,yes,no,cellular,1,288,failure,secondary,no,177,2,1
1572,housemaid,66,yes,no,cellular,2,-1,unknown,tertiary,no,1391,0,1
3316,admin.,817,yes,yes,cellular,1,-1,unknown,secondary,no,51,0,0
7109,technician,1629,no,no,cellular,4,-1,unknown,tertiary,no,653,0,1
7150,blue-collar,3728,yes,no,cellular,2,-1,unknown,secondary,no,1060,0,1
6299,technician,0,no,no,unknown,1,-1,unknown,secondary,yes,236,0,0
2866,technician,27,yes,no,cellular,1,260,success,secondary,no,631,2,1
1999,technician,2847,no,no,cellular,1,-1,unknown,secondary,no,327,0,1
3288,retired,0,no,no,cellular,3,-1,unknown,secondary,no,189,0,1
5378,management,1423,yes,no,telephone,3,-1,unknown,tertiary,no,733,0,1
1478,management,850,no,no,cellular,2,-1,unknown,secondary,no,507,0,1
537,management,2646,no,no,cellular,1,182,success,tertiary,no,169,10,1
7406,admin.,423,yes,yes,cellular,2,96,failure,secondary,no,139,7,0
3135,technician,3411,no,no,cellular,2,-1,unknown,tertiary,no,225,0,1
5511,management,215,no,no,cellular,4,-1,unknown,secondary,no,1141,0,1
2836,retired,11254,no,no,cellular,2,-1,unknown,tertiary,no,229,0,0
2722,technician,4654,yes,yes,cellular,1,128,failure,tertiary,no,276,2,1
936,blue-collar,120,yes,no,unknown,2,-1,unknown,secondary,no,245,0,0
3264,management,0,yes,no,unknown,1,-1,unknown,tertiary,no,161,0,0
485,management,968,no,yes,cellular,10,-1,unknown,tertiary,no,95,0,0
4985,management,7067,no,no,unknown,3,-1,unknown,tertiary,no,82,0,0
4703,technician,337,yes,no,cellular,4,-1,unknown,secondary,no,687,0,0
6287,management,1387,yes,no,cellular,2,-1,unknown,tertiary,no,256,0,1
2498,technician,0,yes,no,cellular,1,424,success,tertiary,no,140,8,1
5506,self-employed,655,no,no,cellular,4,184,success,tertiary,no,272,1,1
4307,self-employed,362,no,yes,cellular,6,-1,unknown,primary,no,816,0,1
2947,management,619,yes,no,unknown,4,-1,unknown,tertiary,no,460,0,1
4026,services,1649,yes,no,unknown,1,-1,unknown,secondary,no,206,0,0
2922,management,573,yes,yes,unknown,4,-1,unknown,tertiary,no,190,0,0
2322,blue-collar,172,yes,no,cellular,1,-1,unknown,tertiary,no,1176,0,1
215,management,1,yes,yes,unknown,8,-1,unknown,tertiary,no,28,0,0
2403,self-employed,44,yes,yes,telephone,1,-1,unknown,secondary,no,79,0,0
4721,services,653,no,no,cellular,2,-1,unknown,secondary,no,317,0,0
648,admin.,0,yes,no,unknown,1,-1,unknown,secondary,no,121,0,0
1641,self-employed,1612,yes,no,cellular,1,-1,unknown,tertiary,no,423,0,1
2275,management,756,yes,no,unknown,1,-1,unknown,tertiary,no,268,0,0
7210,management,12857,yes,no,cellular,1,92,success,tertiary,no,158,1,1
744,housemaid,2290,no,no,cellular,1,-1,unknown,tertiary,no,54,0,0
4075,technician,2133,no,no,cellular,1,-1,unknown,tertiary,no,176,0,0
7200,admin.,292,yes,yes,cellular,6,-1,unknown,secondary,no,164,0,0
4427,self-employed,454,no,yes,cellular,1,-1,unknown,tertiary,no,134,0,0
5230,blue-collar,-701,yes,yes,cellular,3,-1,unknown,secondary,no,531,0,0
7402,retired,1129,no,no,cellular,1,-1,unknown,secondary,no,186,0,1
1269,management,3473,yes,no,cellular,2,-1,unknown,tertiary,no,306,0,0
1289,services,313,yes,no,cellular,2,-1,unknown,secondary,no,155,0,0
1938,management,0,no,no,unknown,8,-1,unknown,tertiary,no,205,0,0
2920,technician,-92,yes,no,cellular,1,-1,unknown,secondary,no,1393,0,1
6165,admin.,225,no,no,cellular,4,-1,unknown,secondary,no,1126,0,1
3449,management,4314,yes,no,cellular,4,-1,unknown,secondary,no,141,0,0
600,technician,3308,no,no,cellular,1,91,success,unknown,no,171,2,1
4156,services,315,no,no,cellular,1,-1,unknown,secondary,no,149,0,0
2108,services,278,yes,no,unknown,3,-1,unknown,secondary,no,1045,0,1
2809,blue-collar,62,yes,no,cellular,3,-1,unknown,secondary,no,877,0,1
3401,management,2904,yes,no,unknown,2,-1,unknown,tertiary,no,984,0,1
3067,entrepreneur,663,no,no,cellular,1,-1,unknown,secondary,no,1204,0,1
2118,self-employed,-341,no,yes,cellular,2,-1,unknown,tertiary,no,920,0,0
628,blue-collar,4121,yes,yes,cellular,1,-1,unknown,primary,no,177,0,0
4024,unemployed,330,no,no,cellular,1,-1,unknown,tertiary,no,111,0,1
3627,services,80,yes,no,unknown,2,-1,unknown,secondary,no,185,0,0
4318,services,6904,no,no,telephone,2,-1,unknown,primary,no,114,0,0
5934,management,2486,yes,no,cellular,1,-1,unknown,tertiary,no,265,0,0
6659,blue-collar,-84,yes,no,cellular,1,-1,unknown,secondary,no,426,0,0
3748,self-employed,1196,no,no,cellular,5,-1,unknown,tertiary,no,552,0,1
6980,self-employed,562,yes,yes,cellular,1,363,failure,tertiary,no,196,1,1
4073,technician,1081,no,no,cellular,5,261,failure,tertiary,no,202,2,1
2320,management,562,no,no,cellular,2,-1,unknown,tertiary,no,303,0,0
2636,technician,4,yes,no,cellular,5,-1,unknown,secondary,no,17,0,0
7027,technician,791,yes,no,unknown,2,-1,unknown,secondary,no,783,0,1
2493,management,1058,yes,no,unknown,2,-1,unknown,tertiary,no,864,0,1
5238,self-employed,94,yes,no,cellular,2,-1,unknown,tertiary,no,955,0,1
6841,blue-collar,218,yes,no,cellular,6,-1,unknown,secondary,no,619,0,1
1166,blue-collar,205,yes,yes,cellular,7,312,failure,secondary,no,1313,1,1
6324,retired,1050,no,no,cellular,3,181,failure,secondary,no,562,2,1
3546,services,65,yes,no,cellular,3,-1,unknown,secondary,no,15,0,0
7228,student,10,yes,no,cellular,4,-1,unknown,tertiary,no,857,0,1
7350,retired,1690,no,no,unknown,4,-1,unknown,secondary,no,1467,0,1
2641,self-employed,290,no,yes,cellular,3,-1,unknown,tertiary,no,303,0,0
4060,unemployed,3511,no,no,cellular,2,-1,unknown,tertiary,no,439,0,1
3997,management,3463,no,yes,cellular,1,-1,unknown,tertiary,no,96,0,1
5627,technician,289,yes,no,cellular,4,-1,unknown,secondary,no,1184,0,1
3469,housemaid,1230,no,no,cellular,6,181,success,primary,no,288,3,1
2546,unemployed,234,no,no,cellular,1,-1,unknown,secondary,no,735,0,1
5400,services,2478,yes,no,cellular,1,230,failure,secondary,no,347,1,0
4862,technician,67,yes,no,unknown,4,-1,unknown,unknown,no,328,0,0
5244,management,5359,no,no,cellular,1,-1,unknown,tertiary,no,147,0,1
1556,technician,2400,no,no,cellular,3,-1,unknown,secondary,no,262,0,0
3674,management,2578,no,no,cellular,4,107,failure,tertiary,no,299,2,0
2357,technician,15474,no,no,cellular,1,92,other,secondary,no,89,2,0
5137,admin.,-33,yes,yes,cellular,1,-1,unknown,secondary,no,961,0,1
4532,services,179,yes,yes,cellular,4,-1,unknown,primary,no,333,0,0
4547,technician,616,yes,no,cellular,7,-1,unknown,secondary,no,118,0,0
6163,services,49,yes,no,unknown,2,-1,unknown,secondary,no,619,0,1
6015,technician,676,no,no,cellular,2,-1,unknown,tertiary,no,1138,0,1
1706,management,-92,no,yes,cellular,3,-1,unknown,tertiary,no,196,0,0
5267,unemployed,2616,no,no,cellular,1,185,other,secondary,no,374,2,1
2973,services,530,yes,no,unknown,7,-1,unknown,secondary,no,51,0,0
2424,management,1909,no,no,cellular,2,-1,unknown,tertiary,no,191,0,0
6108,entrepreneur,73,yes,no,cellular,1,135,failure,unknown,no,158,1,0
83,retired,2060,no,no,cellular,4,95,failure,secondary,no,135,4,0
706,admin.,1314,yes,no,cellular,4,210,failure,secondary,no,118,3,1
3616,management,2,no,no,cellular,1,-1,unknown,tertiary,no,269,0,0
1329,blue-collar,640,yes,no,cellular,2,129,failure,secondary,no,108,2,1
6734,blue-collar,50,yes,yes,unknown,1,-1,unknown,secondary,no,121,0,0
4522,management,937,no,no,cellular,1,190,failure,tertiary,no,61,1,0
5027,admin.,36,yes,no,unknown,1,-1,unknown,secondary,no,428,0,0
1725,admin.,47,yes,no,cellular,5,-1,unknown,secondary,no,288,0,1
6277,services,719,yes,no,cellular,3,368,failure,secondary,no,1359,3,1
85,management,7177,no,no,unknown,2,-1,unknown,tertiary,no,89,0,0
5195,services,1989,no,no,cellular,2,281,failure,secondary,no,336,2,1
6177,admin.,106,no,no,cellular,1,-1,unknown,secondary,no,186,0,1
3667,admin.,653,no,no,cellular,1,-1,unknown,tertiary,no,84,0,1
5473,blue-collar,388,yes,no,cellular,2,-1,unknown,primary,no,171,0,0
2121,retired,3417,no,no,cellular,1,-1,unknown,secondary,no,134,0,1
5264,management,1624,no,no,cellular,3,97,success,tertiary,no,166,7,1
967,blue-collar,2008,yes,no,cellular,1,-1,unknown,secondary,no,354,0,0
2515,management,320,yes,no,cellular,1,-1,unknown,tertiary,no,239,0,0
5140,self-employed,20,yes,no,cellular,2,-1,unknown,tertiary,no,218,0,0
809,retired,173,no,no,cellular,3,-1,unknown,secondary,no,87,0,0
4116,retired,1385,no,no,telephone,4,-1,unknown,primary,no,160,0,0
1079,admin.,529,yes,no,cellular,1,149,other,secondary,no,234,2,0
2383,housemaid,275,yes,no,cellular,2,-1,unknown,primary,no,196,0,0
7255,blue-collar,40,yes,no,unknown,4,-1,unknown,secondary,no,617,0,1
2871,retired,1423,yes,no,unknown,2,-1,unknown,primary,no,584,0,0
6371,housemaid,10,yes,no,unknown,2,-1,unknown,tertiary,no,658,0,0
1113,management,7702,no,no,cellular,1,95,success,unknown,no,460,2,1
3441,entrepreneur,3469,yes,no,cellular,1,147,success,tertiary,no,583,1,1
1879,management,4152,yes,no,cellular,2,164,other,tertiary,no,750,4,1
3231,services,1820,yes,no,cellular,1,-1,unknown,secondary,no,1027,0,1
6917,technician,309,no,yes,cellular,5,-1,unknown,primary,no,25,0,0
5282,blue-collar,2071,no,yes,telephone,2,-1,unknown,secondary,no,1148,0,0
1890,blue-collar,3623,no,no,unknown,1,378,success,secondary,no,71,1,1
5492,blue-collar,249,yes,no,cellular,3,262,failure,secondary,no,235,5,0
3317,management,405,no,no,cellular,6,-1,unknown,tertiary,no,82,0,0
204,management,300,yes,no,cellular,2,-1,unknown,secondary,no,562,0,1
2548,blue-collar,-454,yes,no,cellular,1,-1,unknown,secondary,no,558,0,1
6125,management,4291,no,no,cellular,9,-1,unknown,tertiary,no,1321,0,1
2181,services,628,no,no,cellular,1,-1,unknown,secondary,no,266,0,0
4645,retired,8648,no,no,cellular,3,176,failure,secondary,no,731,1,1
5306,admin.,3006,no,no,cellular,2,-1,unknown,secondary,no,388,0,1
4887,technician,13,no,yes,cellular,4,-1,unknown,primary,no,977,0,0
7172,unemployed,1212,no,no,cellular,1,92,failure,primary,no,241,1,0
3817,blue-collar,-190,no,yes,cellular,3,-1,unknown,secondary,no,808,0,1
395,blue-collar,781,yes,no,cellular,3,270,failure,primary,no,112,2,0
7136,blue-collar,790,yes,no,unknown,2,-1,unknown,secondary,no,356,0,0
4207,blue-collar,704,yes,yes,telephone,10,-1,unknown,primary,no,88,0,0
2619,student,307,no,no,cellular,2,-1,unknown,tertiary,no,597,0,0
4208,management,3951,no,no,cellular,1,91,success,tertiary,no,134,1,1
5284,management,9447,no,no,cellular,1,100,other,tertiary,no,113,2,0
365,admin.,1138,yes,yes,cellular,8,-1,unknown,secondary,no,73,0,0
1672,housemaid,3923,yes,no,unknown,3,-1,unknown,secondary,no,942,0,1
6540,blue-collar,2039,yes,no,cellular,1,-1,unknown,secondary,no,729,0,1
1878,management,145,no,yes,unknown,1,-1,unknown,primary,yes,163,0,0
6291,services,323,no,no,cellular,2,188,failure,secondary,no,874,6,1
5809,entrepreneur,1238,yes,no,telephone,2,-1,unknown,secondary,no,50,0,0
2079,retired,1468,no,no,cellular,3,-1,unknown,primary,no,330,0,1
5074,admin.,-1,yes,no,unknown,1,-1,unknown,secondary,no,136,0,0
6878,admin.,1332,no,no,cellular,1,-1,unknown,tertiary,no,156,0,1
2787,management,15,no,no,unknown,5,-1,unknown,tertiary,no,13,0,0
5050,technician,44,no,no,cellular,1,-1,unknown,secondary,no,217,0,1
1365,technician,2916,no,no,cellular,2,-1,unknown,secondary,no,174,0,0
5144,retired,93,no,no,unknown,2,-1,unknown,secondary,no,193,0,0
301,technician,1824,yes,no,cellular,2,324,other,secondary,no,112,2,0
4236,management,1742,no,no,unknown,2,-1,unknown,tertiary,no,231,0,0
3216,blue-collar,1454,yes,no,cellular,1,182,success,secondary,no,323,4,1
6062,management,1529,no,no,cellular,1,-1,unknown,tertiary,no,160,0,0
1904,blue-collar,273,no,no,unknown,1,-1,unknown,secondary,no,315,0,0
7092,housemaid,211,no,no,cellular,2,186,failure,primary,no,443,3,1
4452,services,375,no,no,telephone,6,-1,unknown,secondary,no,172,0,0
5015,blue-collar,13,yes,no,unknown,1,-1,unknown,primary,no,178,0,0
4618,management,4148,yes,no,cellular,3,99,other,tertiary,no,316,9,1
5152,admin.,994,no,no,cellular,1,90,success,tertiary,no,211,6,1
514,blue-collar,773,yes,yes,unknown,8,-1,unknown,secondary,no,97,0,0
7337,student,154,no,no,cellular,1,183,success,secondary,no,382,3,1
3409,technician,863,yes,no,unknown,5,-1,unknown,secondary,no,1193,0,1
562,entrepreneur,0,no,no,unknown,7,-1,unknown,secondary,no,1025,0,1
2782,blue-collar,1257,yes,no,unknown,7,-1,unknown,secondary,no,109,0,0
2430,blue-collar,2263,no,no,cellular,2,-1,unknown,secondary,no,113,0,0
7231,management,3228,no,no,cellular,2,-1,unknown,tertiary,no,58,0,0
4867,blue-collar,306,no,no,unknown,8,-1,unknown,secondary,no,12,0,0
5142,management,2987,yes,no,cellular,1,-1,unknown,tertiary,no,307,0,1
27,technician,1684,no,yes,cellular,2,-1,unknown,secondary,no,412,0,1
366,services,8876,no,no,cellular,1,75,failure,secondary,no,280,1,0
1923,technician,480,no,no,unknown,2,-1,unknown,secondary,no,648,0,1
3069,management,390,no,no,cellular,2,104,failure,tertiary,no,120,2,1
1438,technician,4060,no,no,cellular,1,93,other,tertiary,no,179,1,1
4950,management,985,yes,no,cellular,2,-1,unknown,tertiary,no,396,0,1
4735,retired,353,no,no,cellular,4,-1,unknown,primary,no,395,0,0
5879,unemployed,890,no,no,cellular,4,-1,unknown,secondary,no,343,0,0
4451,retired,422,yes,no,cellular,4,-1,unknown,tertiary,no,647,0,1
6926,blue-collar,3196,no,no,cellular,4,-1,unknown,unknown,no,161,0,0
6558,management,363,yes,yes,cellular,1,-1,unknown,secondary,no,184,0,0
4726,management,232,yes,no,telephone,1,-1,unknown,tertiary,no,32,0,0
4930,management,48,no,no,unknown,2,-1,unknown,primary,no,135,0,0
2886,retired,2190,no,no,telephone,2,-1,unknown,primary,no,512,0,1
1305,blue-collar,3,no,yes,cellular,6,-1,unknown,primary,no,1439,0,1
446,entrepreneur,-164,no,no,cellular,1,-1,unknown,tertiary,no,87,0,0
3218,management,36,no,no,cellular,3,-1,unknown,tertiary,no,664,0,1
1344,management,0,yes,yes,cellular,3,352,failure,tertiary,no,117,3,0
6740,technician,1270,no,no,cellular,2,-1,unknown,secondary,no,342,0,0
3362,management,-155,yes,no,cellular,1,-1,unknown,primary,no,282,0,0
1311,technician,28,yes,no,cellular,1,358,failure,secondary,no,163,1,0
2674,services,-30,no,no,cellular,3,-1,unknown,secondary,no,1360,0,1
657,technician,1693,yes,no,cellular,1,-1,unknown,secondary,no,515,0,1
4745,services,130,yes,no,unknown,2,-1,unknown,primary,no,103,0,0
6988,self-employed,1070,yes,no,cellular,1,160,other,tertiary,no,381,2,1
1026,admin.,314,no,yes,cellular,4,-1,unknown,tertiary,no,142,0,1
6737,services,1595,no,no,unknown,1,-1,unknown,secondary,no,882,0,1
6206,blue-collar,1598,yes,yes,cellular,2,-1,unknown,secondary,no,1463,0,1
3438,blue-collar,526,yes,no,cellular,2,-1,unknown,primary,no,914,0,0
3005,technician,133,yes,no,cellular,2,-1,unknown,secondary,no,113,0,0
6292,admin.,66,no,no,cellular,1,-1,unknown,unknown,no,358,0,1
859,blue-collar,360,yes,no,unknown,2,-1,unknown,secondary,no,220,0,0
6883,blue-collar,175,no,no,cellular,1,365,other,secondary,no,17,2,0
2045,admin.,3644,yes,yes,telephone,9,-1,unknown,primary,no,1039,0,1
2529,blue-collar,29,yes,no,unknown,2,-1,unknown,secondary,no,214,0,0
4711,admin.,949,no,no,cellular,1,-1,unknown,secondary,no,1092,0,1
5530,student,608,no,no,cellular,1,93,success,primary,no,210,1,1
1851,housemaid,949,no,no,cellular,1,-1,unknown,secondary,no,182,0,0
6257,student,722,no,no,telephone,2,-1,unknown,unknown,no,623,0,1
2960,management,20,no,no,cellular,2,-1,unknown,tertiary,no,329,0,0
4896,blue-collar,2369,yes,no,cellular,1,-1,unknown,primary,no,87,0,0
2166,management,240,no,no,unknown,1,-1,unknown,tertiary,no,1123,0,1
