,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,default,day,duration,previous,deposit,prediction_label,prediction_score
1331,34,blue-collar,320,yes,no,cellular,nov,1,92,success,married,secondary,no,12,413,3,1,1,0.9661
5215,68,retired,2812,no,no,cellular,aug,4,181,success,married,tertiary,no,3,392,3,1,1,0.9845
6274,54,unemployed,380,no,no,cellular,nov,2,-1,unknown,single,secondary,no,17,696,0,1,1,0.8444
3846,37,blue-collar,-97,yes,no,unknown,jun,2,-1,unknown,married,secondary,no,5,135,0,0,0,0.9936
4867,41,management,0,no,no,cellular,aug,2,-1,unknown,divorced,secondary,no,6,438,0,0,1,0.5927
5860,42,services,115,yes,yes,cellular,apr,1,149,failure,married,secondary,no,17,161,2,0,0,0.9061
3908,39,technician,2266,no,no,cellular,feb,4,-1,unknown,married,secondary,no,18,208,0,1,1,0.9074
4303,31,technician,1081,no,no,cellular,apr,5,261,failure,single,tertiary,no,24,202,2,1,1,0.8421
1257,51,services,5801,yes,no,unknown,may,2,-1,unknown,married,unknown,no,29,147,0,0,0,0.9633
4647,40,blue-collar,746,yes,yes,cellular,feb,1,262,other,married,secondary,no,2,241,3,0,0,0.946
974,59,technician,1,no,no,cellular,oct,1,182,success,married,secondary,no,14,585,5,1,1,0.9856
5953,37,admin.,796,yes,no,telephone,jan,3,-1,unknown,single,secondary,no,29,143,0,0,0,0.9816
5402,52,retired,3687,yes,yes,unknown,jun,4,-1,unknown,divorced,tertiary,no,16,741,0,1,1,0.8149
4932,42,technician,13410,no,yes,cellular,aug,2,-1,unknown,married,tertiary,no,14,149,0,0,0,0.9387
1272,48,services,-361,yes,no,cellular,may,3,349,other,divorced,secondary,no,12,1062,3,1,1,0.9483
324,40,management,0,yes,no,cellular,feb,2,182,failure,single,tertiary,no,23,228,6,1,1,0.83
5613,26,blue-collar,396,yes,no,unknown,may,1,-1,unknown,single,secondary,no,28,302,0,0,0,0.976
3406,27,services,1820,yes,no,cellular,jul,1,-1,unknown,single,secondary,no,17,1027,0,1,1,0.9346
1821,45,entrepreneur,1273,yes,yes,cellular,nov,2,162,failure,divorced,tertiary,no,20,206,3,0,0,0.8943
6976,35,self-employed,2427,no,no,cellular,aug,3,31,success,married,tertiary,no,12,175,10,1,1,0.9285
7193,33,services,210,yes,no,cellular,may,2,-1,unknown,married,secondary,no,13,1207,0,1,1,0.8922
4979,38,admin.,100,yes,no,unknown,may,1,-1,unknown,single,secondary,no,7,786,0,1,1,0.8215
2788,44,blue-collar,2885,yes,no,unknown,may,3,-1,unknown,married,secondary,no,30,63,0,0,0,0.9925
1581,49,technician,229,no,no,cellular,aug,2,-1,unknown,divorced,secondary,no,8,219,0,0,0,0.8761
1342,26,self-employed,2857,no,no,cellular,jul,1,-1,unknown,single,tertiary,no,3,446,0,1,1,0.7707
6039,33,blue-collar,3576,yes,no,cellular,apr,1,308,other,married,secondary,no,2,124,2,0,0,0.8387
4014,47,admin.,295,yes,no,unknown,jun,2,-1,unknown,divorced,secondary,no,6,94,0,1,0,0.9715
5696,50,management,72,no,no,cellular,aug,13,-1,unknown,married,tertiary,yes,22,171,0,0,0,0.9882
5432,57,admin.,2120,no,no,cellular,aug,4,-1,unknown,married,secondary,no,19,687,0,1,1,0.8539
2833,37,management,3141,no,no,cellular,may,2,-1,unknown,single,tertiary,no,4,384,0,1,1,0.8616
7149,50,admin.,2405,yes,no,cellular,may,1,287,failure,divorced,secondary,yes,6,114,8,0,0,0.9469
7382,48,blue-collar,1000,yes,no,unknown,jun,2,-1,unknown,married,secondary,no,12,1268,0,1,1,0.8862
5991,32,self-employed,3271,no,no,cellular,may,3,-1,unknown,divorced,tertiary,no,4,949,0,1,1,0.936
6820,26,management,47,yes,no,cellular,may,1,-1,unknown,single,tertiary,no,18,63,0,0,0,0.9872
4776,31,blue-collar,43,yes,no,unknown,may,3,-1,unknown,married,secondary,no,19,405,0,0,0,0.9343
5956,37,entrepreneur,-170,yes,no,unknown,may,1,-1,unknown,married,secondary,no,28,39,0,0,0,0.9951
2125,37,unemployed,7620,no,no,telephone,feb,1,176,failure,married,tertiary,no,23,367,6,1,1,0.9235
3241,35,technician,33,no,no,cellular,aug,2,-1,unknown,single,tertiary,no,29,300,0,0,0,0.7671
5971,63,admin.,0,yes,no,cellular,aug,5,-1,unknown,married,secondary,no,31,253,0,1,0,0.8261
564,27,management,1137,yes,no,cellular,may,1,-1,unknown,single,tertiary,no,8,26,0,0,0,0.9892
6533,54,technician,3994,no,yes,cellular,oct,2,187,success,married,secondary,no,20,595,2,1,1,0.964
1271,36,technician,84,yes,no,unknown,may,1,-1,unknown,married,secondary,no,20,67,0,0,0,0.9641
5323,36,blue-collar,973,yes,yes,unknown,may,1,-1,unknown,married,primary,no,23,293,0,0,0,0.9791
328,31,management,1812,no,no,cellular,apr,1,-1,unknown,married,tertiary,no,30,461,0,1,1,0.8456
460,26,admin.,313,no,yes,cellular,jun,1,96,success,single,tertiary,no,2,199,2,1,1,0.973
3558,77,retired,639,no,no,telephone,apr,7,-1,unknown,divorced,primary,no,16,127,0,0,0,0.6382
2050,57,management,830,yes,yes,cellular,may,1,367,success,married,tertiary,no,8,662,1,1,1,0.9462
3668,59,admin.,92,yes,no,cellular,may,2,350,failure,married,secondary,no,12,139,1,0,0,0.9752
6346,51,management,1277,no,no,cellular,feb,5,294,failure,single,unknown,no,22,143,1,0,1,0.493
5517,44,blue-collar,1371,no,no,cellular,may,3,363,other,married,tertiary,no,13,788,4,0,1,0.7363
6026,50,blue-collar,204,yes,yes,unknown,may,1,-1,unknown,divorced,secondary,no,14,421,0,0,0,0.9069
2302,38,technician,4383,no,no,cellular,feb,4,-1,unknown,married,tertiary,no,4,1381,0,1,1,0.9206
1401,33,self-employed,658,yes,no,cellular,oct,1,208,success,single,tertiary,no,21,307,1,1,1,0.946
7152,34,management,362,yes,no,unknown,may,3,-1,unknown,married,tertiary,no,30,38,0,0,0,0.9895
1860,63,management,5112,no,no,telephone,nov,2,95,failure,married,tertiary,no,13,2184,3,1,1,0.8696
1193,52,blue-collar,955,no,yes,cellular,jun,2,134,success,married,secondary,no,17,301,4,1,1,0.9589
2496,30,admin.,69,yes,no,cellular,apr,1,-1,unknown,single,secondary,no,17,997,0,1,1,0.9607
1606,46,blue-collar,138,no,no,cellular,nov,1,-1,unknown,divorced,secondary,no,19,277,0,0,0,0.8036
1372,32,admin.,344,no,no,cellular,may,2,-1,unknown,single,secondary,no,26,530,0,1,1,0.8626
945,43,blue-collar,0,no,no,unknown,may,3,-1,unknown,single,primary,no,9,71,0,0,0,0.9956
960,33,services,1595,yes,no,unknown,may,1,-1,unknown,single,tertiary,no,26,296,0,0,0,0.9611
1167,43,blue-collar,576,yes,yes,unknown,may,1,-1,unknown,married,secondary,no,13,148,0,0,0,0.9912
4997,40,technician,275,no,no,cellular,aug,4,-1,unknown,divorced,secondary,no,13,409,0,0,1,0.5912
5101,38,management,6368,yes,no,cellular,may,4,-1,unknown,divorced,tertiary,no,4,922,0,1,1,0.8665
2007,35,management,68,no,no,unknown,jun,1,-1,unknown,single,tertiary,no,6,1085,0,1,1,0.9282
484,62,retired,2557,yes,no,cellular,nov,1,57,success,married,tertiary,no,10,404,8,1,1,0.9653
6441,34,admin.,0,no,no,cellular,jul,1,183,success,married,tertiary,no,30,292,2,1,1,0.9592
4789,35,management,2646,no,no,cellular,oct,1,182,success,single,tertiary,no,13,221,1,1,1,0.9896
1199,31,management,1343,yes,yes,unknown,may,1,-1,unknown,married,tertiary,no,21,85,0,0,0,0.9804
4364,33,blue-collar,285,no,yes,unknown,jul,1,-1,unknown,married,secondary,no,3,267,0,0,0,0.8865
511,39,unemployed,7005,yes,no,cellular,jul,2,184,success,married,primary,no,28,429,3,1,1,0.9567
1032,32,management,2458,yes,no,cellular,may,2,-1,unknown,married,tertiary,no,4,77,0,0,0,0.9212
4757,60,unemployed,0,no,no,cellular,jul,1,412,other,married,primary,no,22,1193,1,1,1,0.9729
4072,29,blue-collar,294,yes,no,unknown,may,2,-1,unknown,married,secondary,no,14,594,0,0,1,0.461
6428,48,admin.,476,no,no,unknown,jun,3,-1,unknown,married,secondary,no,5,489,0,0,1,0.5015
7663,44,technician,1139,yes,no,cellular,jan,1,-1,unknown,married,secondary,no,30,64,0,0,0,0.9861
2167,25,blue-collar,389,no,no,cellular,jun,1,-1,unknown,single,secondary,no,3,837,0,1,1,0.9252
4855,61,blue-collar,1428,yes,no,unknown,may,2,-1,unknown,divorced,primary,no,5,82,0,0,0,0.9898
4504,41,management,653,yes,no,telephone,nov,2,-1,unknown,married,tertiary,no,17,60,0,0,0,0.9926
929,26,admin.,3672,yes,no,unknown,may,5,-1,unknown,single,tertiary,no,29,360,0,0,0,0.9534
4164,41,technician,1788,no,no,cellular,aug,1,-1,unknown,married,secondary,no,28,222,0,0,1,0.4117
5313,37,admin.,36,yes,no,unknown,may,1,-1,unknown,married,secondary,no,13,428,0,0,0,0.8741
1228,26,unknown,3247,no,no,telephone,feb,3,-1,unknown,single,secondary,no,6,341,0,0,1,0.5853
2523,35,unemployed,154,no,no,cellular,jul,4,181,failure,single,tertiary,no,29,200,2,1,1,0.782
5873,35,blue-collar,855,yes,no,cellular,may,1,300,success,single,secondary,no,12,549,1,1,1,0.9086
5749,42,blue-collar,0,no,no,unknown,may,2,-1,unknown,married,unknown,no,26,270,0,0,0,0.982
691,33,management,191,no,no,cellular,aug,2,-1,unknown,married,tertiary,no,13,1148,0,1,1,0.8781
4636,47,blue-collar,-614,yes,no,unknown,may,2,-1,unknown,married,secondary,yes,26,118,0,0,0,0.994
5489,35,services,-504,no,no,cellular,jul,1,-1,unknown,divorced,secondary,no,10,228,0,0,0,0.8226
1795,32,self-employed,14522,no,no,cellular,nov,7,-1,unknown,married,tertiary,no,21,221,0,0,0,0.8179
6979,33,technician,303,yes,no,cellular,feb,1,301,success,married,secondary,no,3,355,5,1,1,0.8851
7534,31,management,1224,yes,yes,cellular,nov,2,119,success,married,tertiary,no,20,75,2,0,0,0.9036
1480,30,management,186,yes,no,cellular,nov,3,-1,unknown,single,secondary,no,20,235,0,0,0,0.9449
440,46,technician,792,no,no,unknown,jun,2,-1,unknown,married,secondary,no,5,170,0,0,0,0.9804
457,34,services,528,yes,no,cellular,sep,3,100,other,single,secondary,no,2,121,5,1,1,0.5506
5158,55,technician,169,no,yes,cellular,aug,2,-1,unknown,married,tertiary,no,5,618,0,1,1,0.883
4927,52,admin.,299,no,no,cellular,nov,4,-1,unknown,married,secondary,no,19,310,0,0,0,0.8812
2673,37,management,203,no,no,cellular,oct,1,90,success,married,tertiary,no,21,759,5,1,1,0.9882
6167,45,admin.,236,no,no,cellular,aug,2,-1,unknown,married,secondary,no,20,703,0,1,1,0.8479
7413,36,management,3770,yes,no,cellular,jul,4,-1,unknown,married,tertiary,no,31,150,0,0,0,0.9477
4290,26,blue-collar,941,no,no,cellular,jan,1,-1,unknown,single,primary,no,29,1165,0,1,1,0.8907
6336,45,management,904,yes,yes,unknown,jun,9,-1,unknown,married,tertiary,no,20,14,0,0,0,0.9968
688,55,management,-375,no,no,cellular,jul,2,-1,unknown,married,tertiary,no,30,814,0,1,1,0.8149
4326,37,blue-collar,292,no,no,unknown,sep,1,-1,unknown,single,secondary,no,8,9,0,0,0,0.932
998,26,blue-collar,895,yes,no,cellular,feb,3,-1,unknown,married,secondary,no,4,820,0,0,1,0.7663
3271,42,management,849,yes,no,cellular,oct,1,321,other,married,unknown,no,8,667,1,1,1,0.9042
5693,34,management,1778,no,no,cellular,nov,1,162,failure,married,tertiary,no,4,358,2,1,1,0.9067
135,60,admin.,7336,no,no,cellular,mar,1,-1,unknown,married,secondary,no,31,494,0,0,1,0.8773
6674,44,management,2422,yes,no,cellular,apr,2,269,failure,divorced,tertiary,no,16,399,2,0,0,0.8046
3387,46,management,2817,no,no,cellular,sep,1,-1,unknown,married,tertiary,no,17,543,0,1,1,0.9206
3536,47,services,1784,no,no,cellular,oct,2,-1,unknown,single,unknown,no,19,385,0,1,1,0.8265
3085,48,management,700,yes,no,cellular,aug,2,-1,unknown,divorced,tertiary,no,29,488,0,0,1,0.5055
3371,25,admin.,654,no,no,cellular,apr,1,-1,unknown,single,secondary,no,8,216,0,0,1,0.7298
5192,53,management,527,yes,no,cellular,jul,3,-1,unknown,married,unknown,no,23,71,0,0,0,0.993
5815,33,services,1697,no,no,cellular,nov,1,-1,unknown,married,secondary,no,3,179,0,1,1,0.8973
2451,39,services,326,yes,no,unknown,may,1,-1,unknown,single,secondary,no,27,115,0,0,0,0.9836
4942,60,housemaid,0,no,no,telephone,aug,2,181,failure,married,secondary,no,3,676,5,1,1,0.9196
5736,40,management,2487,no,no,cellular,apr,1,-1,unknown,married,tertiary,no,30,126,0,0,1,0.4986
4151,61,management,477,yes,no,cellular,oct,1,520,other,married,tertiary,no,29,377,1,1,1,0.9591
5795,59,blue-collar,337,no,no,unknown,jun,4,-1,unknown,married,unknown,no,18,100,0,0,0,0.9832
4350,26,technician,1066,no,no,cellular,apr,1,-1,unknown,single,tertiary,no,15,200,0,1,1,0.8773
2028,30,technician,317,yes,no,cellular,jul,5,-1,unknown,divorced,tertiary,no,25,67,0,0,0,0.9927
6454,36,technician,1466,yes,no,unknown,may,1,-1,unknown,married,secondary,no,29,441,0,0,0,0.8214
4966,33,blue-collar,925,no,no,cellular,nov,3,-1,unknown,married,primary,no,20,884,0,0,1,0.7503
4665,33,management,2885,no,no,cellular,aug,2,-1,unknown,divorced,tertiary,no,5,1051,0,1,1,0.9253
4195,55,blue-collar,1613,yes,no,cellular,apr,1,270,failure,divorced,secondary,no,3,296,3,1,1,0.4817
1134,41,management,5037,no,no,cellular,apr,9,185,other,divorced,tertiary,no,23,252,5,1,1,0.9312
6917,44,technician,2857,no,no,cellular,aug,2,-1,unknown,married,secondary,no,5,318,0,0,1,0.4849
2940,40,entrepreneur,2998,yes,no,cellular,jul,3,-1,unknown,divorced,secondary,no,18,623,0,1,1,0.7129
5343,38,management,0,no,no,cellular,sep,12,197,failure,married,tertiary,no,24,246,6,0,1,0.4749
3572,32,services,-1139,yes,no,cellular,jul,1,-1,unknown,single,secondary,no,7,201,0,0,0,0.9337
5179,36,management,926,no,no,cellular,apr,1,-1,unknown,married,tertiary,no,14,216,0,1,1,0.8594
4010,57,retired,3518,yes,no,cellular,aug,3,-1,unknown,married,primary,no,25,626,0,1,1,0.7994
4985,23,services,665,yes,no,unknown,may,1,-1,unknown,single,secondary,no,28,1183,0,1,1,0.9159
3614,54,management,195,no,yes,cellular,feb,1,265,other,married,tertiary,no,4,47,6,0,0,0.9817
1067,40,admin.,732,no,no,cellular,sep,1,139,success,married,secondary,no,9,71,4,0,0,0.7127
2187,27,services,139,no,no,cellular,jul,3,-1,unknown,single,secondary,no,25,165,0,0,0,0.9362
4191,47,management,288,no,no,cellular,oct,1,-1,unknown,married,tertiary,no,1,101,0,1,1,0.6012
716,29,blue-collar,213,yes,no,unknown,jun,3,-1,unknown,single,primary,no,6,2653,0,1,1,0.8919
315,29,management,224,yes,no,cellular,apr,2,81,failure,single,tertiary,no,24,65,3,1,0,0.7033
4028,30,blue-collar,971,yes,no,cellular,apr,1,317,other,single,secondary,no,17,283,2,0,0,0.7997
4896,36,admin.,980,no,no,cellular,jul,3,179,failure,single,tertiary,no,30,156,4,0,1,0.4767
2988,60,admin.,683,no,no,cellular,nov,1,-1,unknown,divorced,secondary,no,8,507,0,0,1,0.9318
7055,30,unemployed,330,no,no,cellular,jul,1,80,success,married,tertiary,no,3,264,1,1,1,0.9682
5,41,admin.,-76,yes,no,cellular,apr,1,-1,unknown,married,secondary,no,16,263,0,0,0,0.7889
7432,29,technician,1165,no,no,cellular,dec,2,184,success,single,secondary,no,3,244,1,1,1,0.9806
2508,55,admin.,2038,no,no,cellular,apr,1,-1,unknown,married,unknown,no,9,394,0,1,1,0.9156
99,32,technician,235,yes,no,telephone,aug,6,-1,unknown,married,secondary,no,28,688,0,0,1,0.6675
3504,41,entrepreneur,353,no,no,cellular,nov,2,-1,unknown,married,secondary,no,19,90,0,0,0,0.9635
7604,29,admin.,3794,no,no,cellular,apr,1,-1,unknown,single,secondary,no,30,249,0,0,1,0.8921
4525,25,blue-collar,-375,yes,no,cellular,jul,2,-1,unknown,single,secondary,no,14,61,0,0,0,0.9853
5868,37,management,5,no,no,cellular,aug,2,-1,unknown,married,tertiary,no,29,36,0,0,0,0.9951
7336,35,management,1471,yes,yes,cellular,aug,3,-1,unknown,married,tertiary,no,13,236,0,0,0,0.8517
5239,35,technician,399,yes,no,cellular,may,2,345,failure,single,secondary,no,13,496,3,1,1,0.7426
1295,30,management,726,yes,no,cellular,apr,1,342,failure,single,tertiary,no,16,39,3,0,0,0.9718
4079,50,management,6739,yes,no,cellular,jul,3,-1,unknown,married,tertiary,no,14,68,0,0,0,0.9844
58,44,management,0,yes,no,unknown,may,1,-1,unknown,married,tertiary,no,28,260,0,0,0,0.9864
2264,39,services,324,yes,no,cellular,may,2,312,failure,married,primary,no,8,340,4,0,0,0.8822
2473,46,self-employed,21,no,no,cellular,jul,2,-1,unknown,divorced,tertiary,no,30,566,0,1,1,0.7936
5420,22,student,549,no,no,cellular,sep,1,-1,unknown,single,unknown,no,2,154,0,0,1,0.6773
5513,32,blue-collar,889,yes,no,cellular,sep,1,99,success,married,secondary,no,10,185,5,1,1,0.9787
3531,53,self-employed,6,yes,no,unknown,may,2,-1,unknown,married,primary,no,27,233,0,0,0,0.9921
1803,38,blue-collar,292,yes,yes,unknown,jun,2,-1,unknown,married,secondary,no,6,84,0,0,0,0.9913
4383,82,retired,8603,no,no,cellular,oct,3,107,success,married,primary,no,22,306,1,1,1,0.9693
2280,55,services,0,no,no,cellular,sep,6,193,success,divorced,secondary,no,27,262,4,1,1,0.978
2427,53,technician,1776,no,no,unknown,jun,7,-1,unknown,married,secondary,no,18,443,0,0,0,0.6764
6294,31,admin.,131,yes,no,cellular,jun,1,-1,unknown,single,secondary,no,15,151,0,1,1,0.5542
7664,50,admin.,0,yes,no,unknown,jun,1,-1,unknown,divorced,secondary,no,20,174,0,0,0,0.9743
1838,33,blue-collar,-191,yes,yes,cellular,jul,4,-1,unknown,married,primary,no,9,1290,0,1,1,0.9035
6208,41,blue-collar,2157,yes,no,unknown,may,2,-1,unknown,married,secondary,no,14,154,0,0,0,0.9897
5720,44,admin.,1074,yes,no,cellular,jul,2,-1,unknown,married,secondary,no,11,911,0,1,1,0.9218
734,36,admin.,1224,yes,no,cellular,nov,1,374,success,divorced,secondary,no,12,482,1,1,1,0.9807
3870,74,retired,1843,no,no,cellular,sep,2,184,success,married,tertiary,no,15,251,3,1,1,0.9875
122,30,blue-collar,1131,yes,yes,cellular,nov,1,144,failure,married,secondary,no,18,189,5,0,0,0.9043
6130,40,blue-collar,475,yes,no,unknown,may,2,-1,unknown,married,secondary,no,5,332,0,0,0,0.9872
5225,47,blue-collar,3237,yes,no,unknown,may,3,-1,unknown,married,secondary,no,15,198,0,0,0,0.9854
2656,34,technician,559,no,no,cellular,aug,2,-1,unknown,single,secondary,no,22,259,0,0,0,0.7276
5187,18,student,108,no,no,cellular,feb,1,183,success,single,unknown,no,9,92,1,1,1,0.9661
3607,55,blue-collar,158,yes,no,unknown,may,18,-1,unknown,married,primary,no,15,176,0,0,0,0.9941
1719,48,blue-collar,-254,no,yes,cellular,aug,4,-1,unknown,married,primary,no,29,134,0,0,0,0.9942
2617,31,management,-201,yes,no,cellular,aug,4,-1,unknown,single,tertiary,no,22,81,0,0,0,0.9873
6488,67,unknown,7687,no,no,telephone,oct,3,-1,unknown,married,tertiary,no,30,70,0,0,0,0.8559
7265,60,admin.,4519,no,no,cellular,feb,1,-1,unknown,divorced,secondary,no,2,152,0,0,1,0.4895
7116,44,admin.,777,yes,no,cellular,may,3,350,failure,divorced,secondary,no,18,517,2,0,1,0.6612
5465,26,services,199,no,no,cellular,jul,6,-1,unknown,married,secondary,no,24,139,0,0,0,0.9803
1810,45,management,1300,no,no,cellular,jul,3,-1,unknown,married,tertiary,no,30,135,0,0,0,0.9816
5160,30,technician,-754,yes,yes,unknown,may,1,-1,unknown,single,secondary,no,26,974,0,0,1,0.8457
366,65,retired,2416,no,no,cellular,feb,2,-1,unknown,married,tertiary,no,17,221,0,1,1,0.9315
2062,31,technician,2807,no,no,unknown,nov,1,-1,unknown,single,tertiary,no,8,154,0,1,1,0.9459
2538,46,management,149,no,no,cellular,nov,2,-1,unknown,married,secondary,no,21,1222,0,1,1,0.8951
314,37,technician,1824,yes,no,cellular,jul,2,324,other,married,secondary,no,3,112,2,0,0,0.9447
1214,38,blue-collar,0,no,no,cellular,oct,1,75,failure,single,secondary,no,27,297,3,1,1,0.9287
2426,37,technician,197,no,no,cellular,nov,1,200,success,single,tertiary,no,16,175,1,1,1,0.9837
4233,30,services,268,no,no,unknown,jul,1,-1,unknown,single,secondary,no,24,86,0,0,0,0.9594
400,31,management,254,no,no,cellular,aug,8,-1,unknown,divorced,tertiary,no,18,1576,0,1,1,0.9605
7738,42,management,1146,yes,no,unknown,may,2,-1,unknown,single,tertiary,no,15,98,0,0,0,0.9929
1164,41,entrepreneur,406,no,no,unknown,jun,1,-1,unknown,married,primary,no,6,272,0,0,0,0.9856
1602,37,admin.,3221,no,no,cellular,jun,2,376,other,married,tertiary,no,15,379,13,1,1,0.9176
6498,50,self-employed,202,yes,no,cellular,apr,1,148,failure,married,tertiary,no,15,107,4,0,0,0.8476
239,38,services,1222,yes,no,unknown,jun,2,-1,unknown,single,tertiary,no,5,237,0,0,0,0.978
1033,42,blue-collar,402,no,no,cellular,may,7,330,failure,married,primary,no,13,31,17,0,0,0.993
3569,47,technician,-813,yes,yes,unknown,jun,25,-1,unknown,married,tertiary,yes,16,179,0,0,0,0.9894
2199,44,entrepreneur,121,no,no,cellular,nov,1,91,success,married,tertiary,no,9,248,1,1,1,0.9848
5155,34,management,828,no,yes,cellular,aug,3,-1,unknown,married,tertiary,no,11,1080,0,1,1,0.9098
491,42,admin.,12,yes,no,cellular,apr,4,-1,unknown,married,secondary,no,16,466,0,0,1,0.4908
3686,57,blue-collar,3495,no,yes,cellular,nov,3,-1,unknown,single,primary,no,19,362,0,0,0,0.7061
449,60,technician,367,no,no,cellular,aug,2,-1,unknown,divorced,secondary,no,16,318,0,1,1,0.5
1393,42,management,0,yes,no,cellular,nov,5,-1,unknown,divorced,primary,no,19,73,0,0,0,0.9969
2567,41,management,144,no,no,cellular,feb,3,-1,unknown,married,tertiary,no,27,123,0,0,1,0.7032
6144,34,management,133,yes,no,unknown,may,1,-1,unknown,married,tertiary,no,8,65,0,0,0,0.9739
3022,52,management,6,no,no,telephone,oct,1,-1,unknown,married,tertiary,no,19,57,0,0,0,0.9785
2206,33,technician,2044,yes,no,cellular,may,3,-1,unknown,married,secondary,no,4,532,0,1,1,0.7834
3033,24,student,23878,no,no,cellular,may,1,97,success,single,secondary,no,26,133,1,1,1,0.7872
931,26,admin.,255,no,no,cellular,apr,1,80,success,single,secondary,no,30,457,1,1,1,0.9788
5394,53,management,3634,no,no,cellular,may,4,88,success,married,tertiary,no,7,211,8,1,1,0.9392
663,31,technician,1819,yes,no,unknown,may,2,-1,unknown,single,secondary,no,15,226,0,0,0,0.9794
4770,56,retired,158,no,yes,cellular,jul,1,-1,unknown,divorced,tertiary,no,21,854,0,1,1,0.8953
1727,84,retired,639,no,no,telephone,may,3,-1,unknown,divorced,primary,no,18,353,0,1,1,0.8365
7465,54,technician,118,no,no,cellular,apr,1,-1,unknown,single,tertiary,no,5,280,0,1,1,0.8622
7460,56,blue-collar,-9,yes,yes,cellular,may,1,-1,unknown,divorced,primary,no,8,728,0,1,1,0.8279
6839,61,management,6016,no,no,cellular,feb,3,-1,unknown,married,tertiary,no,2,670,0,1,1,0.8365
5808,22,services,129,no,no,cellular,apr,2,181,success,single,secondary,no,15,218,1,1,1,0.97
7455,58,admin.,1947,no,no,telephone,oct,1,-1,unknown,divorced,secondary,no,26,228,0,1,1,0.9515
3940,28,blue-collar,61,yes,no,cellular,may,2,319,success,married,secondary,no,4,226,1,1,1,0.817
7160,30,management,5359,no,no,cellular,feb,1,191,success,single,tertiary,no,26,427,3,1,1,0.974
5520,33,management,1304,yes,no,cellular,may,2,-1,unknown,single,tertiary,no,18,536,0,1,1,0.7159
5989,31,management,5691,yes,no,cellular,jul,1,-1,unknown,single,tertiary,no,21,357,0,0,0,0.8031
664,26,technician,-211,yes,no,unknown,may,3,-1,unknown,single,secondary,no,23,164,0,0,0,0.98
6826,26,technician,915,no,no,cellular,jun,1,-1,unknown,married,secondary,no,2,384,0,1,1,0.949
1734,25,blue-collar,76,no,yes,cellular,jul,4,-1,unknown,single,secondary,no,28,50,0,0,0,0.9959
3745,57,retired,34,no,yes,cellular,jan,1,-1,unknown,married,tertiary,no,28,139,0,0,0,0.7227
6836,30,technician,3286,yes,no,cellular,apr,1,-1,unknown,single,secondary,no,9,743,0,1,1,0.8704
617,31,management,325,yes,no,cellular,jul,2,-1,unknown,married,tertiary,no,18,1139,0,1,1,0.8207
5397,33,admin.,82,yes,no,cellular,jul,1,-1,unknown,married,secondary,no,25,735,0,1,1,0.8147
2820,80,retired,997,no,no,cellular,jan,1,91,success,married,primary,no,28,151,3,1,1,0.878
7779,37,services,775,no,no,cellular,aug,2,-1,unknown,married,secondary,no,14,150,0,1,0,0.9268
7405,57,technician,126,no,no,telephone,jun,2,-1,unknown,divorced,tertiary,no,4,166,0,1,1,0.7118
7115,35,technician,0,no,no,cellular,jul,2,-1,unknown,married,secondary,no,14,125,0,0,0,0.9034
2467,47,technician,1013,no,no,cellular,sep,1,92,failure,divorced,secondary,no,15,170,3,1,1,0.8912
5620,43,blue-collar,3,yes,no,unknown,may,3,-1,unknown,single,secondary,no,9,929,0,1,1,0.8432
4305,54,technician,2133,no,no,cellular,nov,1,-1,unknown,divorced,tertiary,no,18,176,0,0,0,0.7586
7182,31,technician,23,no,no,cellular,aug,3,-1,unknown,single,tertiary,no,25,121,0,0,0,0.972
7783,42,admin.,947,no,no,cellular,jul,2,-1,unknown,married,secondary,no,30,158,0,0,0,0.9566
1423,30,blue-collar,128,yes,no,unknown,may,1,-1,unknown,married,secondary,no,14,273,0,0,0,0.986
4800,32,technician,4790,yes,no,cellular,jul,2,-1,unknown,married,secondary,no,22,314,0,0,0,0.8653
4310,37,services,241,yes,no,cellular,may,1,371,failure,divorced,secondary,no,14,189,1,0,0,0.9021
1329,43,unemployed,0,yes,no,cellular,jul,2,-1,unknown,divorced,secondary,no,24,229,0,0,0,0.9561
6815,37,services,981,no,no,cellular,jul,2,386,success,married,secondary,no,7,682,1,1,1,0.9775
4825,28,management,1240,no,no,cellular,aug,1,-1,unknown,married,tertiary,no,4,849,0,1,1,0.9209
6594,45,management,160,no,no,cellular,apr,1,-1,unknown,married,tertiary,no,30,619,0,1,1,0.8068
4133,38,management,327,yes,yes,cellular,jul,5,-1,unknown,married,tertiary,yes,9,556,0,1,1,0.5389
2286,46,technician,0,no,no,cellular,nov,1,167,failure,married,tertiary,no,20,531,1,1,1,0.9389
6509,37,services,49,yes,no,unknown,may,2,-1,unknown,divorced,secondary,no,16,619,0,1,1,0.4879
7253,61,admin.,1332,no,no,cellular,mar,1,-1,unknown,married,tertiary,no,12,156,0,1,1,0.9045
7683,54,admin.,0,no,no,cellular,jan,1,-1,unknown,married,secondary,no,27,565,0,1,1,0.8268
3645,35,blue-collar,0,yes,no,cellular,jul,1,-1,unknown,married,secondary,no,9,277,0,0,0,0.8025
6574,35,blue-collar,149,yes,no,cellular,apr,3,349,other,married,secondary,no,29,507,1,1,1,0.7775
