,age,job,balance,contact,campaign,pdays,poutcome,deposit
7426,57,retired,1044,telephone,1,192,success,yes
3012,35,blue-collar,147,cellular,1,337,failure,no
7306,53,management,50,cellular,1,337,failure,yes
4185,47,services,973,cellular,1,479,failure,yes
3926,67,retired,3810,cellular,1,-1,unknown,no
6671,47,entrepreneur,0,telephone,2,-1,unknown,no
3880,45,blue-collar,-243,cellular,2,-1,unknown,no
6911,59,retired,0,cellular,2,-1,unknown,yes
1299,29,blue-collar,-20,cellular,1,-1,unknown,yes
6899,34,entrepreneur,7279,cellular,1,-1,unknown,yes
3568,65,retired,20806,telephone,2,-1,unknown,yes
4004,35,blue-collar,0,cellular,1,-1,unknown,no
4893,30,admin.,523,cellular,3,101,success,no
7060,30,management,1221,telephone,4,-1,unknown,yes
5141,39,services,208,cellular,2,-1,unknown,no
4544,36,management,-508,cellular,2,-1,unknown,no
438,57,blue-collar,3109,cellular,2,-1,unknown,yes
3500,36,services,760,unknown,13,-1,unknown,no
3040,77,management,1780,cellular,2,182,success,yes
2882,25,blue-collar,-191,unknown,7,-1,unknown,yes
2451,39,services,326,unknown,1,-1,unknown,no
5313,37,admin.,36,unknown,1,-1,unknown,no
2739,51,management,4917,cellular,1,-1,unknown,yes
5926,35,management,71,cellular,2,-1,unknown,no
5363,22,admin.,-1,unknown,1,-1,unknown,no
6319,26,admin.,710,unknown,2,-1,unknown,yes
493,26,management,6840,unknown,2,-1,unknown,yes
1744,33,admin.,315,cellular,3,-1,unknown,yes
5037,31,technician,816,cellular,2,-1,unknown,no
6694,53,technician,6839,cellular,1,-1,unknown,no
3493,33,admin.,30,telephone,2,-1,unknown,no
3621,39,management,3261,unknown,17,-1,unknown,no
151,55,retired,2312,unknown,1,-1,unknown,no
5863,39,blue-collar,1403,cellular,8,326,failure,no
3140,35,blue-collar,-1489,unknown,1,-1,unknown,no
3407,35,technician,2201,telephone,1,-1,unknown,yes
7800,62,housemaid,2,cellular,1,-1,unknown,yes
1732,36,technician,911,cellular,3,-1,unknown,no
7421,33,admin.,2,unknown,1,-1,unknown,no
778,36,technician,125,cellular,3,-1,unknown,yes
399,48,management,313,cellular,1,-1,unknown,no
3410,36,admin.,3954,unknown,1,-1,unknown,no
2239,54,technician,876,cellular,3,541,success,yes
1552,28,management,203,cellular,2,-1,unknown,no
6024,32,technician,127,cellular,17,-1,unknown,no
3647,44,management,3091,unknown,4,-1,unknown,no
2780,39,technician,18508,cellular,4,-1,unknown,yes
5841,52,blue-collar,306,cellular,1,-1,unknown,yes
6395,54,management,-1415,cellular,1,-1,unknown,no
6716,39,unemployed,2245,cellular,2,-1,unknown,yes
1757,52,housemaid,3923,unknown,3,-1,unknown,yes
1838,33,blue-collar,-191,cellular,4,-1,unknown,yes
917,45,technician,44,unknown,4,-1,unknown,no
7366,56,retired,13094,cellular,1,-1,unknown,yes
7206,39,blue-collar,462,cellular,1,-1,unknown,yes
1032,32,management,2458,cellular,2,-1,unknown,no
1816,36,management,1133,cellular,1,181,other,yes
1874,40,blue-collar,2129,cellular,3,-1,unknown,no
2538,46,management,149,cellular,2,-1,unknown,yes
5246,29,blue-collar,2891,cellular,1,-1,unknown,no
2770,31,self-employed,2666,telephone,2,148,other,yes
60,45,blue-collar,154,unknown,1,-1,unknown,yes
3282,51,self-employed,95,cellular,4,-1,unknown,yes
1154,27,technician,501,telephone,4,-1,unknown,no
3653,23,blue-collar,105,unknown,2,-1,unknown,no
3017,34,management,0,unknown,1,-1,unknown,no
4044,45,blue-collar,640,cellular,1,-1,unknown,yes
3832,29,services,84,cellular,2,-1,unknown,yes
411,42,technician,994,cellular,3,93,success,yes
1247,47,technician,236,cellular,4,-1,unknown,no
436,24,unemployed,2573,cellular,2,-1,unknown,yes
6191,36,blue-collar,0,cellular,1,244,failure,no
3480,44,technician,643,cellular,1,143,failure,yes
1313,54,housemaid,1213,cellular,1,-1,unknown,yes
5904,43,services,130,unknown,1,-1,unknown,no
5902,38,blue-collar,362,unknown,5,-1,unknown,no
3589,35,management,331,cellular,2,-1,unknown,yes
1489,37,admin.,9,cellular,1,-1,unknown,no
6961,39,management,141,cellular,2,331,other,no
5466,26,admin.,2509,cellular,3,97,success,yes
5899,29,blue-collar,313,cellular,2,343,other,no
3319,32,blue-collar,567,cellular,2,342,other,no
1802,34,admin.,63,cellular,1,-1,unknown,yes
2210,43,admin.,664,cellular,1,-1,unknown,no
5255,46,technician,1167,cellular,2,-1,unknown,yes
7118,43,blue-collar,56,cellular,2,-1,unknown,no
3240,65,entrepreneur,2331,telephone,1,92,success,yes
3576,40,technician,4736,cellular,2,-1,unknown,yes
7036,34,technician,440,cellular,2,345,failure,no
5732,34,management,3031,cellular,6,-1,unknown,no
4067,27,technician,0,cellular,1,-1,unknown,no
3440,29,blue-collar,9,cellular,3,-1,unknown,no
605,55,management,0,cellular,3,187,failure,no
6687,21,unemployed,1333,cellular,1,-1,unknown,no
4508,52,admin.,361,cellular,1,-1,unknown,no
1847,61,retired,8729,cellular,1,-1,unknown,yes
5775,37,admin.,-261,cellular,1,-1,unknown,no
2744,48,blue-collar,7408,cellular,2,-1,unknown,no
4582,57,retired,1623,cellular,1,-1,unknown,no
7783,42,admin.,947,cellular,2,-1,unknown,no
1894,67,retired,1146,cellular,1,92,failure,yes
4170,55,admin.,139,cellular,1,-1,unknown,yes
3762,34,services,89,cellular,4,-1,unknown,yes
3994,33,services,114,unknown,1,-1,unknown,yes
3574,46,admin.,1544,unknown,1,-1,unknown,no
1396,21,entrepreneur,2077,cellular,1,-1,unknown,yes
3856,26,student,294,cellular,2,-1,unknown,yes
5010,34,management,5,cellular,2,-1,unknown,yes
6972,39,housemaid,2460,cellular,3,-1,unknown,no
655,55,management,86,telephone,1,-1,unknown,no
3089,63,self-employed,-39,cellular,2,-1,unknown,yes
1800,27,management,1840,cellular,1,28,other,yes
7008,37,technician,3665,cellular,3,-1,unknown,yes
2288,21,student,137,unknown,3,-1,unknown,no
7146,59,retired,0,cellular,4,-1,unknown,no
5562,31,unemployed,2616,cellular,1,185,other,yes
3987,34,admin.,-312,unknown,1,-1,unknown,no
2040,38,blue-collar,-56,unknown,2,-1,unknown,no
26,28,student,3733,cellular,5,91,success,no
2537,34,services,258,unknown,2,-1,unknown,no
3973,50,technician,2794,cellular,2,-1,unknown,yes
6697,44,management,0,unknown,1,-1,unknown,no
3126,31,blue-collar,2,unknown,2,-1,unknown,yes
4031,26,management,800,cellular,2,-1,unknown,no
6038,43,unemployed,210,unknown,5,-1,unknown,no
5735,35,technician,2047,cellular,1,-1,unknown,no
1412,28,services,1636,cellular,1,355,failure,no
103,45,unknown,356,cellular,2,-1,unknown,no
6351,60,management,366,cellular,1,-1,unknown,yes
219,27,admin.,0,cellular,1,-1,unknown,yes
1931,38,technician,0,cellular,1,-1,unknown,yes
1673,35,blue-collar,2200,cellular,1,-1,unknown,no
5779,31,management,1384,cellular,2,2,other,no
4785,31,management,78,cellular,2,-1,unknown,no
6305,36,management,565,cellular,1,-1,unknown,yes
1704,27,services,-195,cellular,1,-1,unknown,yes
2857,50,entrepreneur,78,telephone,1,-1,unknown,no
1088,36,management,255,cellular,2,92,other,yes
6536,25,admin.,507,cellular,1,367,failure,yes
7569,34,services,-538,unknown,1,-1,unknown,yes
7301,57,blue-collar,3196,cellular,4,-1,unknown,no
6311,52,management,7192,cellular,1,-1,unknown,yes
2718,34,student,1011,cellular,1,-1,unknown,yes
3242,48,admin.,660,cellular,1,561,success,yes
4429,38,management,-239,unknown,2,-1,unknown,no
7356,49,management,1350,cellular,1,-1,unknown,no
3111,35,technician,22,cellular,1,-1,unknown,no
3673,28,technician,1628,cellular,2,-1,unknown,yes
3022,52,management,6,telephone,1,-1,unknown,no
1365,26,blue-collar,-84,cellular,5,-1,unknown,no
2475,33,blue-collar,312,unknown,2,-1,unknown,no
5757,58,management,5701,cellular,1,87,success,yes
5578,43,admin.,132,cellular,1,-1,unknown,yes
5336,40,blue-collar,1841,cellular,4,-1,unknown,yes
1465,42,technician,-78,cellular,23,-1,unknown,no
7469,55,housemaid,10,cellular,3,-1,unknown,no
6053,50,technician,103,unknown,6,-1,unknown,no
5331,36,management,1989,unknown,2,-1,unknown,no
3776,51,housemaid,2337,cellular,2,266,other,yes
6232,51,retired,730,unknown,2,-1,unknown,no
7649,48,admin.,3756,cellular,10,-1,unknown,no
2058,59,retired,574,cellular,6,-1,unknown,no
2794,31,management,3,cellular,1,-1,unknown,yes
4741,32,technician,540,cellular,1,-1,unknown,yes
4131,41,blue-collar,732,unknown,1,-1,unknown,no
5884,33,blue-collar,263,unknown,3,-1,unknown,no
7480,41,management,456,cellular,4,-1,unknown,yes
6527,32,self-employed,3695,cellular,1,353,other,no
413,55,blue-collar,781,cellular,3,270,failure,no
4584,31,admin.,212,cellular,3,-1,unknown,no
362,48,blue-collar,559,unknown,2,-1,unknown,no
1708,36,blue-collar,219,cellular,2,347,failure,no
5259,59,retired,3400,cellular,3,-1,unknown,yes
3940,28,blue-collar,61,cellular,2,319,success,yes
5271,53,management,7067,unknown,3,-1,unknown,no
6255,32,student,1536,cellular,2,-1,unknown,yes
1053,67,management,405,cellular,2,95,success,yes
6809,47,services,1639,cellular,1,-1,unknown,yes
1870,46,management,4,cellular,4,-1,unknown,yes
6749,55,management,0,cellular,5,-1,unknown,yes
4084,27,technician,276,unknown,2,-1,unknown,no
1249,37,self-employed,0,unknown,1,-1,unknown,no
5673,38,technician,0,cellular,2,-1,unknown,no
7656,60,retired,935,cellular,17,-1,unknown,no
7648,24,technician,598,cellular,1,182,success,yes
3373,45,blue-collar,-184,cellular,3,170,failure,yes
1181,26,management,1004,unknown,2,-1,unknown,yes
5651,26,student,655,cellular,1,-1,unknown,yes
918,34,blue-collar,243,cellular,1,-1,unknown,yes
3550,27,self-employed,5214,unknown,1,-1,unknown,no
4414,44,management,421,cellular,1,-1,unknown,no
4524,31,management,81,cellular,2,-1,unknown,yes
7376,45,technician,1412,cellular,4,-1,unknown,no
6815,37,services,981,cellular,2,386,success,yes
6394,36,self-employed,353,cellular,2,181,success,yes
5997,45,entrepreneur,20138,cellular,5,-1,unknown,yes
3185,49,management,543,unknown,3,-1,unknown,no
385,60,retired,439,cellular,1,321,failure,yes
7739,60,retired,1690,unknown,4,-1,unknown,yes
5385,49,services,114,unknown,2,-1,unknown,no
4647,40,blue-collar,746,cellular,1,262,other,no
568,43,services,192,unknown,2,-1,unknown,no
3746,63,retired,0,cellular,1,181,success,yes
2667,61,retired,1257,cellular,1,-1,unknown,yes
911,37,management,698,cellular,2,-1,unknown,yes
839,56,admin.,4118,telephone,1,-1,unknown,yes
4542,31,admin.,162,unknown,1,-1,unknown,no
2804,29,blue-collar,0,cellular,6,-1,unknown,no
2486,37,management,0,unknown,6,-1,unknown,yes
4653,55,management,73,unknown,2,-1,unknown,no
5552,23,student,691,cellular,1,178,success,yes
3215,42,management,1064,cellular,2,-1,unknown,no
6524,30,entrepreneur,265,unknown,10,-1,unknown,no
3378,70,retired,3782,cellular,1,-1,unknown,no
4060,48,management,606,cellular,6,-1,unknown,no
7230,55,management,797,cellular,2,-1,unknown,no
1519,49,blue-collar,598,cellular,6,-1,unknown,no
5368,46,management,0,cellular,2,-1,unknown,yes
5143,22,student,691,cellular,1,-1,unknown,yes
4641,60,blue-collar,14,cellular,4,178,failure,no
2679,31,admin.,355,cellular,1,-1,unknown,yes
6248,43,management,3578,cellular,2,-1,unknown,no
3792,43,admin.,0,unknown,12,-1,unknown,no
5548,30,technician,655,cellular,2,-1,unknown,yes
5230,47,management,866,unknown,7,-1,unknown,no
3891,24,student,474,cellular,1,-1,unknown,yes
4247,60,retired,514,cellular,2,213,success,yes
2052,54,management,284,telephone,5,-1,unknown,no
4389,49,technician,1235,cellular,3,-1,unknown,yes
4255,24,blue-collar,9883,cellular,5,-1,unknown,yes
4101,38,management,4335,cellular,1,-1,unknown,no
5723,50,technician,3654,cellular,2,78,other,yes
1588,29,admin.,-309,unknown,1,-1,unknown,no
1542,42,services,1301,cellular,6,-1,unknown,no
2369,36,blue-collar,-206,unknown,2,-1,unknown,no
2942,55,services,-40,unknown,2,-1,unknown,no
6625,35,services,377,cellular,13,-1,unknown,no
1496,29,blue-collar,104,cellular,4,-1,unknown,yes
5569,32,admin.,0,unknown,1,-1,unknown,no
1918,36,self-employed,1354,cellular,1,356,success,yes
363,46,technician,111,cellular,3,183,other,no
266,43,management,693,unknown,3,-1,unknown,no
1390,40,admin.,419,cellular,1,369,failure,no
1212,49,technician,443,unknown,11,-1,unknown,no
5943,35,technician,2779,cellular,2,-1,unknown,yes
4652,34,admin.,21,cellular,1,92,failure,no
6102,44,technician,1818,cellular,1,92,failure,yes
1560,34,management,291,cellular,2,-1,unknown,no
6066,55,management,179,unknown,1,-1,unknown,no
3526,31,unknown,111,cellular,2,93,failure,yes
3145,45,blue-collar,603,cellular,1,-1,unknown,no
3364,95,retired,2282,telephone,17,-1,unknown,yes
966,48,admin.,112,cellular,5,-1,unknown,no
2524,38,blue-collar,132,cellular,2,-1,unknown,no
4419,31,management,676,cellular,1,-1,unknown,yes
1629,39,blue-collar,186,unknown,3,-1,unknown,no
331,27,technician,21,cellular,1,356,failure,no
3631,36,technician,3579,cellular,2,-1,unknown,no
5692,40,services,160,cellular,3,-1,unknown,no
947,35,admin.,2452,unknown,2,-1,unknown,no
2433,32,blue-collar,-1,unknown,1,-1,unknown,yes
1256,24,student,235,cellular,1,92,success,yes
3599,33,services,1117,cellular,1,-1,unknown,yes
6936,32,management,937,cellular,1,94,failure,no
5501,56,services,444,unknown,1,-1,unknown,no
7324,39,unemployed,270,unknown,1,-1,unknown,no
1853,36,blue-collar,403,unknown,1,-1,unknown,yes
1358,26,management,2786,cellular,2,72,success,yes
282,32,blue-collar,1504,cellular,2,-1,unknown,no
4985,23,services,665,unknown,1,-1,unknown,yes
3829,35,admin.,777,cellular,1,-1,unknown,no
6264,31,admin.,3540,cellular,1,-1,unknown,no
2148,31,student,46,cellular,1,-1,unknown,yes
1010,54,unemployed,1664,cellular,3,-1,unknown,yes
5238,34,technician,2733,cellular,1,-1,unknown,yes
7033,45,blue-collar,1794,unknown,2,-1,unknown,no
774,50,management,19,cellular,1,-1,unknown,no
1376,31,management,924,cellular,1,94,success,yes
5228,66,housemaid,3701,telephone,1,-1,unknown,yes
2025,58,self-employed,1636,cellular,1,-1,unknown,no
6495,20,student,755,cellular,1,-1,unknown,yes
6134,40,entrepreneur,1238,telephone,2,-1,unknown,no
7749,33,technician,-479,cellular,1,-1,unknown,no
3186,56,admin.,2087,unknown,1,-1,unknown,no
4597,33,admin.,3160,unknown,13,-1,unknown,no
4186,26,unemployed,632,cellular,3,181,success,yes
5499,50,blue-collar,888,telephone,3,-1,unknown,no
1740,36,management,8564,unknown,1,-1,unknown,no
6653,29,student,2929,cellular,1,89,other,yes
6520,27,admin.,2855,cellular,1,301,failure,yes
1713,34,management,0,cellular,1,99,success,yes
2702,75,retired,6027,cellular,2,94,failure,yes
5486,75,retired,3324,cellular,1,-1,unknown,no
6409,36,management,-115,cellular,4,182,other,yes
7499,39,services,304,unknown,1,-1,unknown,no
789,76,self-employed,4984,telephone,1,182,success,yes
5593,31,technician,31868,telephone,6,-1,unknown,no
893,34,services,-374,cellular,1,-1,unknown,yes
5511,46,unemployed,2551,cellular,2,-1,unknown,yes
3560,52,services,659,cellular,4,93,success,yes
1661,35,technician,432,cellular,8,-1,unknown,no
173,52,technician,475,cellular,3,-1,unknown,no
6814,54,retired,11,cellular,10,-1,unknown,no
5136,28,management,-227,unknown,2,-1,unknown,no
185,43,retired,860,telephone,1,-1,unknown,yes
432,24,management,1030,cellular,2,-1,unknown,yes
6954,44,services,191,cellular,1,-1,unknown,no
7081,57,management,123,cellular,2,-1,unknown,no
1792,36,management,-92,cellular,3,-1,unknown,no
4078,41,management,1468,cellular,3,-1,unknown,yes
3821,40,services,0,cellular,1,185,failure,no
3453,71,retired,5715,cellular,2,-1,unknown,yes
6724,42,services,473,cellular,1,-1,unknown,no
7262,39,services,702,cellular,1,300,failure,no
7509,59,retired,417,cellular,2,-1,unknown,no
1241,53,management,3591,cellular,2,181,other,yes
2879,48,admin.,1060,cellular,2,318,failure,no
1703,56,housemaid,61,cellular,1,-1,unknown,no
1572,37,management,332,cellular,2,84,failure,no
2970,35,management,648,cellular,2,-1,unknown,no
2948,35,admin.,0,cellular,11,-1,unknown,no
3850,49,technician,486,telephone,5,-1,unknown,no
697,26,entrepreneur,144,cellular,1,-1,unknown,no
6243,62,self-employed,6,cellular,1,183,success,yes
523,56,management,2037,cellular,1,91,failure,yes
972,48,technician,479,unknown,5,-1,unknown,no
2358,29,self-employed,123,cellular,1,184,success,yes
4906,25,student,1919,cellular,1,351,failure,no
7547,42,management,976,cellular,1,-1,unknown,yes
6456,42,management,187,cellular,1,-1,unknown,no
3476,57,retired,1841,telephone,1,-1,unknown,yes
7506,55,technician,3450,cellular,1,183,failure,yes
3898,32,services,6983,cellular,1,-1,unknown,yes
7618,39,management,0,cellular,3,-1,unknown,yes
3052,49,services,320,telephone,4,-1,unknown,yes
3512,46,admin.,0,cellular,2,259,failure,no
6458,57,unemployed,3754,cellular,2,-1,unknown,yes
7166,52,unemployed,2251,unknown,9,-1,unknown,no
6123,32,management,62,telephone,1,-1,unknown,no
4560,68,retired,2820,cellular,1,97,failure,yes
6763,30,admin.,482,cellular,1,-1,unknown,no
7222,25,admin.,894,unknown,1,-1,unknown,no
977,37,management,2283,cellular,2,98,failure,yes
6924,29,blue-collar,0,cellular,2,-1,unknown,no
5682,37,technician,6101,cellular,1,-1,unknown,yes
3993,40,admin.,1327,unknown,2,-1,unknown,no
6012,34,management,297,cellular,4,-1,unknown,no
2339,44,management,0,unknown,1,-1,unknown,no
2906,38,technician,11,unknown,3,-1,unknown,no
1845,33,blue-collar,1464,unknown,3,-1,unknown,yes
1064,51,technician,2323,cellular,10,-1,unknown,no
2786,25,blue-collar,543,cellular,1,-1,unknown,no
243,38,management,441,cellular,1,-1,unknown,no
4533,48,management,4415,cellular,3,141,failure,yes
3611,56,self-employed,411,unknown,4,-1,unknown,no
5827,31,technician,279,unknown,1,-1,unknown,no
7248,29,management,1445,cellular,2,143,success,yes
3638,39,management,4314,cellular,4,-1,unknown,no
6866,50,admin.,706,cellular,4,-1,unknown,yes
5671,29,services,-7,cellular,3,-1,unknown,yes
3295,43,management,2640,cellular,4,-1,unknown,yes
3881,60,housemaid,517,unknown,3,-1,unknown,no
3357,41,unemployed,79,telephone,1,390,success,yes
1254,33,management,2364,cellular,1,-1,unknown,yes
4527,38,services,0,cellular,2,-1,unknown,no
4966,33,blue-collar,925,cellular,3,-1,unknown,no
375,28,blue-collar,3430,unknown,6,-1,unknown,no
921,34,blue-collar,-745,cellular,2,-1,unknown,no
7760,45,technician,2657,cellular,3,-1,unknown,yes
1208,49,management,1904,cellular,2,-1,unknown,no
389,59,retired,5583,cellular,1,-1,unknown,yes
822,27,technician,204,cellular,2,-1,unknown,yes
5210,42,blue-collar,625,unknown,3,-1,unknown,yes
2626,32,management,506,cellular,2,-1,unknown,yes
6453,24,student,1809,cellular,1,95,success,yes
4052,32,student,1102,telephone,1,-1,unknown,yes
168,53,technician,100,cellular,4,-1,unknown,no
3895,46,blue-collar,781,unknown,1,-1,unknown,no
5003,67,retired,443,cellular,1,-1,unknown,yes
3674,33,technician,801,cellular,5,-1,unknown,yes
881,28,blue-collar,913,unknown,2,-1,unknown,no
4537,54,technician,0,telephone,2,106,success,no
3924,47,blue-collar,643,unknown,6,-1,unknown,no
552,29,services,196,cellular,2,-1,unknown,yes
1413,29,blue-collar,5903,unknown,1,-1,unknown,no
3091,39,blue-collar,3832,unknown,13,-1,unknown,no
3413,48,services,1573,cellular,1,-1,unknown,no
3008,36,management,490,cellular,8,98,failure,yes
1427,28,technician,558,cellular,1,-1,unknown,no
589,27,student,5169,cellular,1,466,success,yes
289,27,blue-collar,567,cellular,3,182,success,yes
6858,44,management,-411,unknown,4,-1,unknown,yes
2365,32,admin.,284,cellular,3,-1,unknown,yes
5697,46,admin.,70,cellular,2,-1,unknown,yes
292,34,unemployed,200,unknown,6,-1,unknown,no
3181,24,student,4126,cellular,4,185,failure,yes
7216,45,admin.,0,cellular,1,-1,unknown,no
7670,63,self-employed,661,cellular,2,-1,unknown,no
265,59,retired,1035,cellular,1,-1,unknown,no
2405,66,admin.,4041,cellular,2,-1,unknown,yes
5816,33,blue-collar,-81,cellular,2,-1,unknown,no
2635,38,admin.,4023,unknown,2,-1,unknown,no
7619,24,management,736,cellular,2,246,other,yes
7057,55,technician,240,cellular,3,277,success,yes
4424,35,technician,25,cellular,2,-1,unknown,no
2594,60,retired,2060,cellular,1,88,other,no
4902,59,blue-collar,6212,cellular,2,-1,unknown,no
3360,51,services,-467,unknown,5,-1,unknown,no
6369,43,services,519,cellular,6,-1,unknown,no
4545,46,housemaid,38,cellular,1,-1,unknown,yes
515,50,management,0,unknown,4,-1,unknown,no
3317,30,management,119,cellular,1,-1,unknown,no
6976,35,self-employed,2427,cellular,3,31,success,yes
171,42,services,154,telephone,5,372,other,no
338,39,services,7066,cellular,3,357,other,yes
482,28,self-employed,3290,cellular,2,-1,unknown,yes
1067,40,admin.,732,cellular,1,139,success,no
7658,33,management,1514,cellular,1,728,failure,yes
2268,42,admin.,-466,telephone,15,-1,unknown,no
5566,26,admin.,2532,cellular,1,-1,unknown,yes
2024,53,technician,480,unknown,2,-1,unknown,yes
7433,31,management,8629,cellular,1,184,failure,yes
2254,46,services,281,cellular,1,-1,unknown,no
4720,34,blue-collar,34,cellular,1,-1,unknown,no
3351,30,blue-collar,309,unknown,2,-1,unknown,yes
1553,42,entrepreneur,46,cellular,1,-1,unknown,no
5920,29,services,191,cellular,1,-1,unknown,no
5471,35,management,520,cellular,3,17,failure,yes
5782,32,blue-collar,388,cellular,2,-1,unknown,no
5595,54,self-employed,990,cellular,2,-1,unknown,yes
6288,31,technician,477,cellular,1,-1,unknown,no
1141,62,management,3371,cellular,1,178,success,yes
4470,45,unemployed,11,cellular,5,-1,unknown,yes
1074,46,management,461,cellular,2,-1,unknown,yes
216,33,technician,177,cellular,8,-1,unknown,no
2336,29,student,67,cellular,1,187,success,yes
4332,44,unemployed,-4,cellular,2,-1,unknown,yes
680,31,blue-collar,2194,cellular,2,357,other,no
1028,54,housemaid,962,cellular,3,-1,unknown,yes
2423,33,technician,3572,cellular,2,-1,unknown,no
315,29,management,224,cellular,2,81,failure,yes
1925,43,blue-collar,794,cellular,3,-1,unknown,no
7350,29,management,841,cellular,1,-1,unknown,no
4066,49,unemployed,518,cellular,2,-1,unknown,yes
4396,24,student,8165,cellular,1,-1,unknown,yes
6039,33,blue-collar,3576,cellular,1,308,other,no
353,33,blue-collar,697,cellular,2,-1,unknown,yes
1189,33,management,275,cellular,1,-1,unknown,no
3396,40,admin.,1248,unknown,2,-1,unknown,yes
5197,33,admin.,0,cellular,1,-1,unknown,no
5113,46,admin.,272,cellular,4,-1,unknown,no
2495,31,management,1761,telephone,3,440,failure,yes
7570,44,management,6203,unknown,1,-1,unknown,no
7477,55,management,204,cellular,2,-1,unknown,yes
3129,20,student,215,cellular,1,95,success,yes
1598,37,admin.,597,cellular,1,-1,unknown,yes
5620,43,blue-collar,3,unknown,3,-1,unknown,yes
6921,26,blue-collar,245,unknown,2,-1,unknown,no
2316,30,management,1466,cellular,4,-1,unknown,no
4521,49,blue-collar,2146,cellular,2,353,other,yes
1965,47,blue-collar,8229,cellular,2,-1,unknown,yes
3835,31,technician,53,cellular,1,-1,unknown,yes
6555,45,admin.,1206,telephone,1,446,failure,yes
1023,55,blue-collar,-473,unknown,1,-1,unknown,no
5386,25,blue-collar,52,unknown,2,-1,unknown,yes
4635,57,technician,0,unknown,8,-1,unknown,no
6097,29,blue-collar,940,cellular,1,-1,unknown,yes
1942,32,admin.,291,telephone,6,275,other,no
539,24,technician,-126,unknown,2,-1,unknown,no
3588,46,management,2904,unknown,2,-1,unknown,yes
3695,48,admin.,368,cellular,2,140,success,yes
6359,30,services,9,cellular,2,205,failure,no
1072,51,housemaid,289,unknown,5,-1,unknown,no
514,51,admin.,176,cellular,1,183,failure,no
5199,22,student,254,cellular,2,-1,unknown,yes
5619,45,management,854,cellular,1,-1,unknown,yes
6169,45,management,2813,cellular,1,-1,unknown,no
2126,53,admin.,1151,unknown,1,-1,unknown,no
7094,42,technician,-321,cellular,2,-1,unknown,no
2370,60,retired,364,unknown,2,-1,unknown,no
3205,21,admin.,524,cellular,1,-1,unknown,yes
6828,36,services,3740,cellular,1,-1,unknown,no
7319,37,technician,375,unknown,2,-1,unknown,no
18,31,technician,863,cellular,1,263,success,no
2351,36,blue-collar,1049,cellular,4,-1,unknown,yes
3269,42,blue-collar,-68,unknown,1,-1,unknown,no
954,58,entrepreneur,2920,unknown,1,-1,unknown,no
2264,39,services,324,cellular,2,312,failure,no
7390,30,blue-collar,103,cellular,2,317,other,no
3752,54,management,8295,cellular,2,119,success,yes
4014,47,admin.,295,unknown,2,-1,unknown,yes
4768,48,management,0,cellular,4,182,success,yes
843,26,admin.,96,cellular,1,70,failure,yes
732,44,technician,244,cellular,4,-1,unknown,yes
4598,55,management,568,cellular,10,-1,unknown,yes
2439,39,management,562,cellular,2,-1,unknown,no
1868,60,unemployed,957,cellular,1,184,success,yes
126,53,services,36,unknown,1,417,success,yes
6887,34,management,520,cellular,4,-1,unknown,yes
335,29,unemployed,70,cellular,1,-1,unknown,yes
1004,42,management,478,cellular,1,-1,unknown,no
6642,39,services,323,cellular,2,188,failure,yes
6941,25,services,12,cellular,6,-1,unknown,yes
6209,36,blue-collar,17,cellular,1,-1,unknown,no
7078,77,retired,0,cellular,1,-1,unknown,yes
6373,37,management,792,unknown,4,-1,unknown,yes
4398,42,technician,314,cellular,22,-1,unknown,no
4933,34,management,1494,cellular,1,182,other,yes
3801,31,self-employed,84,cellular,4,-1,unknown,no
435,32,technician,660,cellular,2,490,failure,yes
6588,29,blue-collar,482,cellular,3,-1,unknown,yes
3420,53,blue-collar,252,cellular,4,-1,unknown,yes
1061,56,management,830,unknown,1,-1,unknown,yes
639,46,admin.,660,cellular,2,-1,unknown,yes
2123,26,admin.,141,cellular,4,349,other,no
897,55,technician,517,cellular,3,263,failure,no
6402,34,admin.,-32,cellular,2,-1,unknown,yes
424,68,retired,2469,telephone,2,-1,unknown,yes
5154,57,admin.,658,cellular,1,-1,unknown,yes
2610,34,blue-collar,1759,cellular,1,-1,unknown,yes
5890,29,blue-collar,25,unknown,2,-1,unknown,no
3852,41,technician,1043,unknown,1,-1,unknown,no
3632,45,management,2671,cellular,4,-1,unknown,yes
5630,28,admin.,170,unknown,1,-1,unknown,no
4786,25,blue-collar,192,telephone,2,-1,unknown,no
2905,66,retired,203,cellular,1,195,success,yes
6247,82,retired,121,telephone,1,-1,unknown,yes
3905,50,blue-collar,4979,telephone,1,-1,unknown,yes
1111,21,student,123,telephone,1,91,success,yes
619,37,management,57,cellular,2,84,success,no
2271,35,blue-collar,0,cellular,3,280,other,no
6375,32,technician,705,cellular,2,35,failure,yes
5323,36,blue-collar,973,unknown,1,-1,unknown,no
1951,42,entrepreneur,324,cellular,3,-1,unknown,no
3818,64,self-employed,661,cellular,2,294,failure,yes
7080,34,blue-collar,577,unknown,1,-1,unknown,no
2482,36,services,4721,cellular,1,92,success,yes
6868,33,blue-collar,706,cellular,1,322,failure,no
7548,36,technician,368,unknown,2,-1,unknown,yes
6733,56,management,3287,cellular,1,-1,unknown,yes
7453,42,technician,-411,cellular,3,-1,unknown,no
7536,51,management,0,unknown,1,-1,unknown,yes
3923,34,technician,2047,cellular,5,-1,unknown,no
