,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,day,duration,previous,deposit
5183,26,management,390,no,no,cellular,aug,1,-1,unknown,single,tertiary,7,325,0,1
2919,35,management,533,no,no,cellular,aug,12,-1,unknown,married,secondary,6,221,0,0
3380,47,management,12026,yes,no,telephone,oct,1,-1,unknown,divorced,tertiary,27,251,0,1
3938,30,management,502,no,no,cellular,oct,3,95,success,single,tertiary,11,463,6,1
2497,45,admin.,256,no,no,cellular,nov,2,-1,unknown,married,secondary,21,135,0,0
2695,26,technician,4130,no,no,cellular,jan,2,-1,unknown,single,tertiary,28,104,0,0
5118,31,admin.,4198,no,no,cellular,nov,1,-1,unknown,single,secondary,25,234,0,1
2676,37,services,393,yes,yes,cellular,may,1,357,failure,married,secondary,13,95,1,0
2832,36,management,495,no,no,cellular,sep,1,37,success,married,tertiary,11,91,5,1
6188,45,blue-collar,6691,no,no,cellular,aug,2,-1,unknown,married,primary,13,211,0,0
2926,65,retired,744,no,no,cellular,jul,1,-1,unknown,divorced,secondary,5,182,0,0
1383,42,management,7702,no,no,cellular,feb,2,-1,unknown,divorced,unknown,16,138,0,1
4854,31,self-employed,1074,yes,no,unknown,may,2,-1,unknown,married,primary,23,1438,0,0
6852,46,management,3984,no,no,cellular,aug,2,-1,unknown,married,tertiary,13,77,0,0
898,43,blue-collar,0,no,no,unknown,may,3,-1,unknown,single,primary,9,71,0,0
4069,44,blue-collar,2657,yes,no,unknown,jun,2,-1,unknown,married,primary,20,202,0,0
6428,33,management,0,no,no,unknown,may,2,-1,unknown,single,secondary,20,190,0,0
5277,23,services,488,no,no,cellular,mar,1,92,other,single,secondary,30,236,2,1
212,31,technician,200,no,no,cellular,aug,2,-1,unknown,single,secondary,6,315,0,0
3979,29,management,572,no,no,cellular,dec,1,195,success,single,tertiary,16,314,1,1
1298,26,blue-collar,-84,yes,yes,cellular,jul,5,-1,unknown,single,secondary,29,63,0,0
4149,39,technician,25,yes,no,cellular,dec,1,210,success,single,tertiary,28,315,2,1
1157,37,management,2283,no,no,cellular,aug,2,92,success,married,tertiary,6,303,4,1
6222,55,management,2587,no,no,cellular,sep,2,94,success,married,primary,4,328,2,1
2209,34,admin.,1406,yes,no,cellular,aug,2,85,success,married,secondary,20,63,1,1
1992,35,technician,2144,yes,no,unknown,may,2,-1,unknown,single,secondary,13,188,0,0
2539,37,management,203,no,no,cellular,oct,1,90,success,married,tertiary,21,759,5,1
3726,32,housemaid,-613,yes,no,cellular,apr,2,-1,unknown,divorced,secondary,15,266,0,0
7337,25,student,154,no,no,cellular,sep,1,183,success,single,secondary,2,382,3,1
2416,48,admin.,1131,no,yes,cellular,may,1,-1,unknown,married,secondary,8,49,0,0
5273,36,management,928,yes,no,cellular,apr,1,-1,unknown,married,tertiary,20,239,0,0
3215,34,blue-collar,-1,yes,no,cellular,may,6,355,other,married,primary,18,1057,1,1
4855,46,management,16,yes,no,cellular,may,1,-1,unknown,married,tertiary,6,304,0,0
28,44,blue-collar,1025,yes,no,unknown,jun,1,-1,unknown,married,secondary,18,200,0,0
835,48,blue-collar,1405,yes,no,unknown,may,2,-1,unknown,married,secondary,14,629,0,1
615,36,technician,160,yes,no,unknown,may,1,-1,unknown,divorced,secondary,26,142,0,0
6668,28,management,171,no,no,cellular,jun,1,87,success,single,secondary,5,324,1,1
2025,52,management,189,no,no,cellular,aug,2,-1,unknown,married,secondary,22,90,0,0
1885,42,blue-collar,149,yes,no,telephone,jul,3,-1,unknown,married,unknown,23,329,0,0
4147,27,management,151,yes,no,cellular,jul,1,-1,unknown,single,tertiary,16,496,0,1
1591,44,housemaid,3706,no,no,unknown,jun,3,-1,unknown,married,primary,17,209,0,0
740,53,blue-collar,1777,yes,no,cellular,nov,5,154,failure,married,secondary,21,796,1,1
2869,34,management,0,yes,no,unknown,may,1,-1,unknown,married,tertiary,20,150,0,0
865,33,technician,221,yes,no,cellular,may,1,355,failure,married,secondary,13,669,4,1
239,53,technician,2557,no,no,cellular,jul,4,182,success,married,tertiary,29,95,7,0
4558,36,services,0,yes,no,cellular,may,6,-1,unknown,single,secondary,12,398,0,1
2053,52,self-employed,217,no,yes,cellular,jul,6,-1,unknown,single,primary,15,193,0,0
1042,34,management,2633,yes,no,cellular,nov,6,-1,unknown,single,tertiary,21,705,0,1
3311,59,retired,493,no,no,cellular,apr,1,-1,unknown,married,secondary,30,237,0,1
6751,26,self-employed,168,no,no,cellular,apr,1,-1,unknown,single,tertiary,30,394,0,1
608,32,admin.,35,no,no,cellular,dec,3,126,success,married,secondary,17,324,3,1
237,40,services,0,yes,yes,cellular,feb,2,-1,unknown,married,secondary,2,226,0,0
5966,57,entrepreneur,958,no,no,unknown,jun,2,-1,unknown,married,tertiary,6,250,0,0
3301,44,technician,643,no,no,cellular,oct,1,143,failure,single,tertiary,16,324,3,1
427,33,technician,133,no,no,cellular,nov,2,192,success,married,secondary,12,627,1,1
2515,28,management,320,yes,no,cellular,apr,1,-1,unknown,single,tertiary,30,239,0,0
4746,39,admin.,0,no,no,cellular,jan,1,436,failure,married,secondary,27,366,10,1
1313,32,self-employed,409,no,no,cellular,mar,2,-1,unknown,married,secondary,9,217,0,1
943,43,management,0,no,no,cellular,jul,3,-1,unknown,married,tertiary,14,1153,0,1
1665,34,technician,-259,yes,no,unknown,may,2,-1,unknown,married,secondary,27,124,0,0
3211,45,admin.,6971,no,no,cellular,may,1,-1,unknown,married,secondary,22,119,0,0
199,30,admin.,60,no,no,cellular,jan,2,-1,unknown,single,secondary,29,55,0,0
1559,52,housemaid,3283,no,no,unknown,jun,1,-1,unknown,married,primary,11,553,0,0
7180,60,blue-collar,414,no,no,cellular,feb,1,-1,unknown,married,secondary,4,147,0,0
112,44,management,4119,yes,yes,telephone,nov,1,-1,unknown,married,tertiary,21,1074,0,1
2229,74,retired,9480,no,no,cellular,apr,1,-1,unknown,married,secondary,21,211,0,1
4915,33,blue-collar,-416,yes,no,unknown,may,2,-1,unknown,single,secondary,16,767,0,1
970,32,blue-collar,-454,yes,yes,cellular,may,5,355,failure,married,primary,18,801,2,1
5828,32,self-employed,386,yes,no,cellular,nov,1,-1,unknown,single,tertiary,18,482,0,1
3296,30,technician,411,yes,no,cellular,apr,1,-1,unknown,single,secondary,16,948,0,0
6331,36,services,9713,yes,no,unknown,may,3,-1,unknown,single,secondary,27,72,0,0
2684,42,unemployed,1289,no,no,cellular,jul,4,415,failure,married,secondary,15,250,2,1
1937,38,blue-collar,-56,yes,yes,unknown,jun,2,-1,unknown,single,secondary,6,247,0,0
428,41,retired,-233,yes,no,unknown,may,2,-1,unknown,divorced,primary,15,1156,0,1
6935,33,management,1195,yes,no,telephone,may,4,-1,unknown,married,tertiary,13,355,0,0
5853,40,blue-collar,5060,no,no,cellular,feb,2,93,success,married,secondary,10,154,1,1
1321,40,admin.,419,yes,yes,cellular,may,1,369,failure,married,secondary,12,92,1,0
7120,26,admin.,5231,no,yes,cellular,jul,2,-1,unknown,married,secondary,17,222,0,0
7403,50,blue-collar,4108,yes,no,cellular,aug,2,-1,unknown,married,primary,7,526,0,1
381,48,management,313,no,no,cellular,may,1,-1,unknown,divorced,tertiary,8,208,0,0
6505,50,admin.,706,yes,no,cellular,aug,4,-1,unknown,married,secondary,6,1250,0,1
1756,33,blue-collar,1464,yes,no,unknown,may,3,-1,unknown,married,secondary,23,588,0,1
3096,57,technician,3105,yes,no,unknown,may,11,-1,unknown,divorced,secondary,14,173,0,0
78,45,services,0,no,no,unknown,jun,6,-1,unknown,married,secondary,4,153,0,0
609,46,admin.,660,no,no,cellular,aug,2,-1,unknown,married,secondary,6,740,0,1
3907,32,admin.,212,no,no,cellular,jul,5,-1,unknown,single,secondary,7,830,0,1
2672,35,management,397,yes,no,cellular,apr,1,-1,unknown,single,tertiary,17,594,0,1
6296,69,retired,2346,no,no,cellular,feb,2,-1,unknown,married,primary,11,354,0,1
6004,45,management,904,yes,yes,unknown,jun,9,-1,unknown,married,tertiary,20,14,0,0
5778,36,management,203,no,no,cellular,oct,1,-1,unknown,married,tertiary,29,139,0,1
4389,28,admin.,167,yes,yes,cellular,feb,2,-1,unknown,married,tertiary,18,126,0,0
6000,32,technician,287,yes,no,unknown,may,8,-1,unknown,single,secondary,21,59,0,0
2256,38,technician,565,no,no,cellular,aug,2,-1,unknown,married,secondary,20,93,0,0
3109,64,retired,630,no,no,cellular,aug,1,-1,unknown,divorced,secondary,21,97,0,0
7214,53,management,2152,no,no,cellular,feb,3,-1,unknown,divorced,tertiary,13,75,0,1
6723,21,student,794,no,no,cellular,jun,1,-1,unknown,single,secondary,5,191,0,1
1141,29,blue-collar,2870,yes,no,cellular,jul,1,-1,unknown,married,secondary,16,988,0,1
2791,30,unemployed,302,no,no,cellular,feb,3,-1,unknown,single,tertiary,11,528,0,1
4268,28,student,153,no,no,cellular,jul,2,-1,unknown,single,secondary,23,1124,0,1
2861,45,technician,586,no,yes,cellular,jul,3,-1,unknown,single,secondary,28,32,0,0
3070,40,blue-collar,137,no,yes,cellular,jul,1,-1,unknown,married,primary,10,214,0,0
507,51,management,-15,no,no,cellular,jul,2,-1,unknown,married,tertiary,25,212,0,0
1414,33,blue-collar,-14,yes,no,cellular,may,2,-1,unknown,single,secondary,14,223,0,0
5806,32,management,607,yes,no,unknown,jun,5,-1,unknown,married,tertiary,18,1060,0,1
5529,31,technician,205,yes,no,unknown,jun,2,-1,unknown,single,secondary,3,342,0,0
6663,33,management,1150,yes,no,telephone,may,2,-1,unknown,single,tertiary,12,109,0,0
201,33,technician,4790,yes,no,cellular,apr,1,272,failure,married,secondary,20,137,2,0
4607,54,technician,0,no,no,telephone,feb,3,-1,unknown,married,secondary,5,744,0,1
6009,31,admin.,0,yes,no,cellular,may,2,295,failure,single,secondary,7,895,2,1
1569,41,blue-collar,196,yes,no,unknown,may,1,-1,unknown,married,secondary,13,488,0,0
4736,53,services,3107,no,no,unknown,jun,1,-1,unknown,divorced,primary,5,152,0,0
4774,55,management,1498,no,no,cellular,aug,5,-1,unknown,single,tertiary,25,340,0,0
4019,65,retired,1004,no,no,cellular,oct,1,-1,unknown,married,primary,28,371,0,1
5729,22,blue-collar,682,no,no,cellular,jun,2,91,success,single,secondary,5,126,1,1
3091,47,services,0,yes,no,telephone,jul,1,-1,unknown,married,secondary,9,250,0,0
6171,38,management,1223,no,no,cellular,aug,5,-1,unknown,married,tertiary,12,1092,0,1
1420,29,blue-collar,104,yes,no,cellular,may,4,-1,unknown,married,secondary,18,903,0,1
7136,42,blue-collar,790,yes,no,unknown,may,2,-1,unknown,married,secondary,29,356,0,0
1622,56,management,0,no,no,cellular,oct,1,111,other,married,secondary,27,298,8,1
594,31,admin.,97,yes,no,unknown,may,1,-1,unknown,married,secondary,19,607,0,1
5058,32,technician,705,no,no,cellular,jun,1,-1,unknown,single,tertiary,17,544,0,1
5764,36,blue-collar,1165,yes,no,unknown,may,4,-1,unknown,married,secondary,13,1001,0,1
7149,31,management,1224,yes,yes,cellular,nov,2,119,success,married,tertiary,20,75,2,0
5629,60,blue-collar,0,no,yes,unknown,jun,1,-1,unknown,married,secondary,5,124,0,0
2674,34,services,-30,no,no,cellular,jul,3,-1,unknown,single,secondary,21,1360,0,1
3397,33,admin.,61,no,no,cellular,jul,4,-1,unknown,single,secondary,24,286,0,0
2843,33,management,990,yes,no,cellular,jul,2,-1,unknown,divorced,tertiary,24,1491,0,1
3127,52,retired,-309,yes,no,unknown,jun,2,-1,unknown,divorced,tertiary,19,500,0,1
486,30,admin.,983,yes,no,cellular,may,2,-1,unknown,single,secondary,27,189,0,1
1653,29,technician,309,yes,no,unknown,may,1,-1,unknown,single,secondary,13,214,0,0
5761,71,retired,5584,no,no,cellular,aug,3,-1,unknown,divorced,secondary,21,534,0,1
2722,32,technician,4654,yes,yes,cellular,nov,1,128,failure,married,tertiary,20,276,2,1
2277,62,retired,800,no,no,cellular,feb,1,-1,unknown,married,unknown,17,737,0,1
4294,45,admin.,205,no,no,cellular,feb,1,92,success,married,secondary,3,373,1,1
4232,78,unknown,2235,no,no,telephone,apr,3,-1,unknown,married,unknown,14,300,0,1
6117,27,admin.,5,yes,no,cellular,jul,2,-1,unknown,single,unknown,17,225,0,0
4398,40,blue-collar,746,yes,yes,cellular,feb,1,262,other,married,secondary,2,241,3,0
5495,29,admin.,163,yes,yes,unknown,may,1,-1,unknown,single,secondary,16,803,0,1
1266,28,management,223,yes,no,cellular,jun,1,278,success,single,tertiary,1,303,3,1
3871,36,admin.,994,no,no,cellular,aug,2,105,success,single,tertiary,13,185,3,0
3357,23,services,31,no,no,cellular,jun,1,-1,unknown,single,secondary,1,192,0,1
6094,33,management,369,no,no,cellular,feb,1,-1,unknown,married,secondary,11,446,0,1
4350,33,admin.,3160,no,no,unknown,jun,13,-1,unknown,single,secondary,18,719,0,0
5448,48,management,291,yes,no,telephone,jul,2,-1,unknown,married,tertiary,23,350,0,0
1125,53,technician,7984,yes,no,cellular,feb,1,-1,unknown,married,secondary,2,151,0,0
906,30,services,129,yes,no,unknown,may,7,-1,unknown,married,secondary,26,1446,0,1
602,29,blue-collar,455,no,no,telephone,apr,1,-1,unknown,single,tertiary,21,403,0,1
3923,28,blue-collar,1238,yes,no,unknown,may,1,-1,unknown,married,secondary,14,246,0,0
669,48,blue-collar,623,yes,no,cellular,feb,2,-1,unknown,single,primary,2,1425,0,1
2893,55,management,42,yes,no,telephone,may,2,-1,unknown,married,tertiary,11,386,0,0
1980,35,blue-collar,1949,yes,no,unknown,jun,3,-1,unknown,married,secondary,2,200,0,0
6982,51,management,1937,yes,no,cellular,nov,4,152,other,divorced,tertiary,18,185,11,0
4315,42,blue-collar,0,yes,yes,cellular,may,2,-1,unknown,married,primary,7,209,0,0
4649,34,technician,133,no,no,cellular,nov,2,187,success,married,secondary,15,401,5,1
4471,26,admin.,1595,no,no,cellular,jun,1,105,failure,married,secondary,15,155,1,1
55,32,self-employed,514,yes,no,cellular,jul,1,-1,unknown,married,secondary,11,812,0,1
2942,35,blue-collar,13,no,yes,cellular,jul,1,-1,unknown,divorced,primary,9,364,0,0
6269,37,admin.,1110,yes,no,telephone,jul,11,-1,unknown,married,secondary,22,802,0,1
4007,34,blue-collar,2308,yes,no,unknown,may,1,-1,unknown,married,secondary,7,1062,0,0
3909,51,housemaid,1337,no,no,telephone,jul,6,-1,unknown,married,primary,30,74,0,0
5596,35,management,-202,yes,no,unknown,may,3,-1,unknown,single,secondary,20,268,0,0
2589,33,management,55,no,no,cellular,apr,2,87,failure,married,tertiary,30,526,3,1
2807,34,admin.,88,yes,no,unknown,may,2,-1,unknown,single,secondary,27,169,0,0
5899,52,admin.,722,no,no,cellular,oct,2,185,failure,married,secondary,26,99,3,0
6603,64,retired,48,no,no,cellular,sep,3,92,success,married,primary,9,167,1,1
3638,56,technician,6619,yes,no,telephone,nov,1,-1,unknown,married,secondary,4,465,0,1
630,31,services,181,no,no,cellular,nov,2,93,success,single,secondary,13,239,2,1
7186,28,student,2351,no,no,telephone,oct,1,-1,unknown,single,secondary,22,157,0,1
4373,41,blue-collar,338,yes,no,unknown,may,1,-1,unknown,married,secondary,14,87,0,0
7255,35,blue-collar,40,yes,no,unknown,may,4,-1,unknown,single,secondary,9,617,0,1
1764,36,blue-collar,403,yes,no,unknown,jun,1,-1,unknown,married,primary,4,920,0,1
1503,49,technician,229,no,no,cellular,aug,2,-1,unknown,divorced,secondary,8,219,0,0
5467,30,self-employed,578,yes,no,unknown,jun,4,-1,unknown,single,tertiary,2,142,0,0
3717,32,entrepreneur,598,no,no,cellular,aug,6,-1,unknown,married,tertiary,18,135,0,0
815,57,admin.,3551,yes,no,cellular,may,1,-1,unknown,single,secondary,12,458,0,1
6460,32,technician,719,yes,no,unknown,may,6,-1,unknown,single,secondary,28,79,0,0
3470,39,technician,1,yes,no,unknown,may,2,-1,unknown,married,secondary,26,506,0,0
1839,43,admin.,-247,yes,yes,cellular,feb,2,76,failure,single,secondary,2,751,4,1
2236,50,entrepreneur,2410,no,no,cellular,nov,1,-1,unknown,married,tertiary,21,65,0,0
7085,28,technician,2000,no,no,telephone,feb,2,-1,unknown,single,secondary,3,226,0,0
5206,36,technician,12,no,no,cellular,aug,2,-1,unknown,single,secondary,12,587,0,1
3593,40,services,1293,yes,no,cellular,apr,3,-1,unknown,married,secondary,13,128,0,0
4227,54,blue-collar,1636,no,no,telephone,jul,2,-1,unknown,married,secondary,20,1008,0,1
6518,45,technician,1348,no,yes,cellular,apr,2,-1,unknown,married,secondary,1,358,0,1
2010,41,blue-collar,1250,yes,no,unknown,may,2,-1,unknown,married,primary,20,1392,0,1
3427,29,unemployed,67,no,no,cellular,jan,2,-1,unknown,single,unknown,28,330,0,0
6874,58,retired,4048,no,yes,cellular,jul,5,-1,unknown,married,tertiary,15,270,0,0
4517,38,blue-collar,1583,yes,no,cellular,may,1,-1,unknown,single,primary,15,386,0,0
2130,54,management,602,no,no,cellular,jul,2,-1,unknown,single,secondary,30,101,0,0
821,47,management,0,no,no,cellular,oct,1,-1,unknown,married,tertiary,27,508,0,1
326,47,blue-collar,2775,no,no,unknown,may,1,-1,unknown,married,secondary,14,262,0,0
3038,25,blue-collar,2483,no,no,cellular,jul,3,-1,unknown,single,primary,10,1499,0,1
5285,43,management,1258,no,no,unknown,oct,1,-1,unknown,married,tertiary,20,312,0,1
5343,56,management,6798,yes,no,cellular,nov,1,-1,unknown,married,tertiary,17,250,0,0
520,68,retired,445,no,no,cellular,feb,1,-1,unknown,married,secondary,18,475,0,1
2878,30,self-employed,2666,no,no,cellular,aug,2,93,success,married,tertiary,5,475,4,1
2478,38,blue-collar,0,yes,no,cellular,may,2,-1,unknown,divorced,primary,13,531,0,1
332,36,admin.,110,yes,no,telephone,feb,1,-1,unknown,married,secondary,4,185,0,0
2367,50,management,810,no,no,cellular,sep,1,103,success,divorced,tertiary,15,91,3,1
1080,31,technician,636,yes,no,cellular,may,4,-1,unknown,married,tertiary,4,352,0,1
6735,36,technician,1044,yes,no,cellular,aug,19,-1,unknown,single,secondary,20,15,0,0
3412,26,admin.,255,no,no,cellular,aug,2,106,success,single,secondary,14,209,2,1
3702,32,management,728,yes,no,unknown,may,1,-1,unknown,single,tertiary,21,125,0,0
2619,31,student,307,no,no,cellular,nov,2,-1,unknown,single,tertiary,20,597,0,0
3582,72,retired,0,no,no,cellular,dec,2,-1,unknown,married,primary,29,215,0,0
4107,44,unemployed,522,no,no,cellular,apr,1,-1,unknown,divorced,secondary,7,411,0,0
235,37,management,3236,no,no,cellular,may,2,202,other,married,tertiary,20,291,5,1
1658,45,blue-collar,-66,yes,no,unknown,may,2,-1,unknown,married,primary,6,263,0,0
73,36,student,172,no,no,unknown,jun,1,-1,unknown,single,unknown,12,81,0,0
5276,42,management,144,no,no,cellular,mar,1,87,failure,married,tertiary,4,148,4,1
1963,59,retired,217,yes,no,unknown,may,3,-1,unknown,divorced,primary,26,574,0,0
1024,31,admin.,-218,yes,no,unknown,jun,15,-1,unknown,single,tertiary,2,227,0,0
1327,21,entrepreneur,2077,no,no,cellular,aug,1,-1,unknown,single,tertiary,5,323,0,1
10,23,student,1234,no,no,cellular,feb,1,91,success,single,secondary,15,379,1,1
4054,46,admin.,2196,no,no,cellular,jul,5,-1,unknown,divorced,secondary,28,573,0,1
6208,33,services,170,no,no,cellular,jul,1,-1,unknown,single,secondary,7,782,0,1
1879,58,management,4152,yes,no,cellular,apr,2,164,other,married,tertiary,30,750,4,1
738,38,technician,1711,no,no,cellular,apr,3,202,success,single,secondary,20,379,1,1
2254,30,management,135,no,no,cellular,aug,2,-1,unknown,single,secondary,14,112,0,0
5177,32,management,537,no,no,unknown,may,3,-1,unknown,single,tertiary,29,187,0,0
1782,36,management,4,yes,no,cellular,jul,1,61,success,single,tertiary,7,529,3,0
3422,56,self-employed,411,no,no,unknown,jun,4,-1,unknown,married,tertiary,19,145,0,0
6355,36,admin.,1328,no,no,cellular,jul,9,-1,unknown,single,secondary,30,69,0,0
5112,57,retired,316,no,no,cellular,jan,2,-1,unknown,divorced,secondary,28,935,0,0
4144,29,blue-collar,79,yes,no,unknown,may,2,-1,unknown,married,primary,27,22,0,0
6797,49,blue-collar,1032,yes,no,unknown,jun,5,-1,unknown,married,primary,2,41,0,0
5912,30,services,-158,yes,no,cellular,may,1,370,failure,single,secondary,12,426,2,1
3421,70,retired,2575,no,no,telephone,apr,2,-1,unknown,married,secondary,20,216,0,1
716,56,technician,1181,no,no,cellular,jan,1,433,failure,married,tertiary,28,186,1,1
3549,20,student,215,no,no,cellular,aug,4,183,other,single,secondary,21,228,1,1
953,40,technician,1646,yes,no,cellular,feb,1,242,failure,single,tertiary,2,215,2,1
663,42,technician,2,no,no,unknown,may,2,-1,unknown,married,secondary,29,249,0,0
2289,40,self-employed,-94,yes,no,cellular,jul,1,-1,unknown,single,tertiary,16,90,0,0
4579,33,services,207,yes,no,cellular,may,4,-1,unknown,married,secondary,14,629,0,1
3644,46,entrepreneur,0,no,yes,cellular,jul,1,-1,unknown,married,secondary,18,115,0,0
7006,35,blue-collar,262,no,no,cellular,sep,1,75,failure,married,secondary,15,331,6,1
1528,32,blue-collar,902,yes,no,unknown,may,2,-1,unknown,married,primary,27,106,0,0
177,58,retired,0,no,no,cellular,aug,1,-1,unknown,married,primary,4,506,0,0
6506,51,blue-collar,568,yes,no,unknown,jun,1,-1,unknown,married,secondary,4,37,0,0
1068,27,blue-collar,567,no,no,cellular,nov,2,184,success,single,tertiary,25,238,1,1
1428,33,blue-collar,700,no,no,cellular,apr,1,80,success,single,tertiary,30,169,2,1
6365,47,self-employed,4420,yes,yes,cellular,nov,1,-1,unknown,married,secondary,20,454,0,1
3019,41,unknown,942,no,no,cellular,apr,1,-1,unknown,single,unknown,22,219,0,1
1304,32,admin.,344,no,no,cellular,may,2,-1,unknown,single,secondary,26,530,0,1
4287,46,management,2044,no,no,telephone,feb,1,-1,unknown,single,tertiary,4,25,0,0
562,43,entrepreneur,0,no,no,unknown,jun,7,-1,unknown,married,secondary,3,1025,0,1
1950,27,technician,3933,no,no,cellular,jul,3,-1,unknown,single,secondary,28,837,0,1
2143,31,blue-collar,292,yes,yes,unknown,may,18,-1,unknown,married,primary,30,30,0,0
6041,37,management,255,no,no,cellular,feb,2,183,success,married,tertiary,24,562,10,1
7251,39,admin.,260,yes,no,cellular,nov,1,94,success,married,secondary,13,226,4,1
1162,46,technician,4023,yes,no,cellular,aug,2,-1,unknown,married,secondary,7,131,0,0
3418,55,blue-collar,158,yes,no,unknown,may,18,-1,unknown,married,primary,15,176,0,0
215,43,management,1,yes,yes,unknown,jun,8,-1,unknown,divorced,tertiary,2,28,0,0
3340,43,services,1040,yes,no,unknown,may,3,-1,unknown,divorced,secondary,19,552,0,1
3590,31,management,166,no,no,cellular,aug,6,-1,unknown,married,tertiary,25,392,0,0
723,32,management,597,no,yes,cellular,jul,1,-1,unknown,single,tertiary,24,869,0,0
5904,51,retired,730,yes,no,unknown,nov,2,-1,unknown,single,tertiary,18,287,0,0
6141,33,student,2321,no,no,cellular,apr,2,381,failure,single,unknown,15,699,2,0
6778,42,technician,2625,no,no,cellular,jul,2,-1,unknown,single,tertiary,29,2516,0,1
2534,32,blue-collar,225,yes,no,cellular,apr,1,150,failure,married,secondary,17,574,1,1
6207,45,admin.,1206,no,no,telephone,feb,1,446,failure,married,secondary,8,309,3,1
4172,49,management,7007,no,no,cellular,nov,2,-1,unknown,married,tertiary,17,325,0,0
2326,60,retired,0,yes,no,unknown,may,4,-1,unknown,married,tertiary,13,34,0,0
2680,80,retired,997,no,no,cellular,jan,1,91,success,married,primary,28,151,3,1
2698,33,technician,177,yes,no,unknown,may,1,-1,unknown,single,secondary,23,293,0,0
2096,71,retired,653,no,no,telephone,sep,1,189,success,married,tertiary,3,471,1,1
531,39,technician,130,no,no,cellular,jul,2,-1,unknown,married,secondary,8,202,0,0
1518,42,technician,541,yes,no,cellular,feb,1,-1,unknown,single,secondary,5,656,0,1
6387,30,management,-181,yes,no,cellular,nov,2,-1,unknown,married,tertiary,19,621,0,0
7343,49,services,0,yes,no,cellular,may,2,166,failure,married,primary,6,445,3,1
1127,47,management,4189,yes,no,cellular,nov,3,-1,unknown,married,unknown,19,489,0,1
5259,39,admin.,728,yes,yes,cellular,oct,1,-1,unknown,divorced,secondary,18,222,0,1
1228,30,technician,606,yes,no,cellular,apr,1,-1,unknown,married,tertiary,30,551,0,0
6606,39,housemaid,2460,no,no,cellular,jul,3,-1,unknown,married,primary,11,194,0,0
3814,40,services,113,yes,no,unknown,jun,1,-1,unknown,married,secondary,4,126,0,0
4243,41,admin.,2002,yes,no,cellular,may,2,350,failure,single,secondary,15,172,1,0
5244,29,management,5359,no,no,cellular,feb,1,-1,unknown,single,tertiary,18,147,0,1
3240,29,admin.,266,yes,no,cellular,may,1,-1,unknown,single,secondary,6,540,0,1
3204,37,management,72,yes,yes,cellular,apr,5,150,failure,single,tertiary,20,885,7,1
1971,59,technician,316,no,no,cellular,aug,4,-1,unknown,married,secondary,14,200,0,0
3419,56,admin.,0,no,yes,cellular,jul,1,-1,unknown,divorced,primary,10,542,0,0
6512,37,management,6771,no,no,cellular,mar,1,-1,unknown,married,tertiary,5,319,0,1
5416,50,services,1321,no,no,unknown,jun,2,-1,unknown,married,secondary,17,271,0,0
4726,53,management,232,yes,no,telephone,jan,1,-1,unknown,married,tertiary,29,32,0,0
6733,33,blue-collar,0,yes,no,cellular,nov,2,-1,unknown,married,secondary,19,330,0,0
3699,55,management,1504,yes,no,cellular,may,2,-1,unknown,married,unknown,22,338,0,1
2882,46,management,-27,yes,no,cellular,may,1,-1,unknown,married,secondary,6,289,0,0
682,31,student,216,no,no,cellular,jun,1,-1,unknown,single,secondary,3,138,0,0
41,34,blue-collar,0,yes,no,cellular,may,1,-1,unknown,divorced,secondary,5,150,0,0
369,60,retired,439,no,yes,cellular,may,1,321,failure,divorced,tertiary,25,464,1,1
5886,41,admin.,985,yes,no,cellular,jun,2,391,success,single,secondary,30,274,11,1
2474,31,technician,373,no,no,cellular,aug,5,-1,unknown,single,secondary,22,346,0,0
5937,40,entrepreneur,3676,yes,yes,unknown,may,1,-1,unknown,married,primary,15,101,0,0
2321,46,technician,3308,no,no,cellular,jul,2,-1,unknown,married,unknown,28,219,0,1
4346,34,blue-collar,113,yes,no,cellular,may,2,-1,unknown,married,secondary,13,16,0,0
1898,41,management,0,no,no,cellular,aug,5,-1,unknown,married,tertiary,11,1242,0,1
5574,33,self-employed,61,no,no,cellular,aug,3,-1,unknown,single,tertiary,19,836,0,1
37,37,entrepreneur,555,no,no,cellular,jul,2,-1,unknown,married,tertiary,7,104,0,0
6072,42,admin.,445,yes,no,unknown,may,2,-1,unknown,married,secondary,7,202,0,0
113,37,services,1,no,no,unknown,may,2,-1,unknown,married,secondary,15,395,0,0
701,38,services,895,yes,no,cellular,may,1,-1,unknown,single,secondary,12,1531,0,1
2119,29,admin.,260,yes,no,cellular,feb,2,273,failure,single,secondary,4,453,2,0
145,45,admin.,0,yes,no,cellular,nov,5,-1,unknown,married,secondary,18,108,0,0
2115,46,blue-collar,1568,yes,no,cellular,jun,1,55,other,married,secondary,2,310,6,1
2678,43,technician,4056,no,no,cellular,may,6,89,failure,married,secondary,4,13,2,0
3990,34,admin.,601,no,no,cellular,nov,3,-1,unknown,single,secondary,17,184,0,0
6363,22,student,1232,no,no,cellular,jul,1,430,other,single,unknown,30,283,2,1
5809,40,entrepreneur,1238,yes,no,telephone,jul,2,-1,unknown,married,secondary,21,50,0,0
1077,30,services,1808,yes,no,cellular,may,2,-1,unknown,married,secondary,18,83,0,0
6098,59,unknown,1541,no,no,cellular,aug,1,-1,unknown,married,unknown,5,790,0,0
