,age,job,balance,housing,loan,contact,month,campaign,pdays,poutcome,marital,education,deposit
5852,49,entrepreneur,5802,no,no,cellular,aug,3,104,success,single,secondary,0
6939,28,blue-collar,115,yes,no,unknown,may,4,-1,unknown,married,primary,0
2413,34,services,258,yes,no,unknown,jun,2,-1,unknown,single,secondary,0
4198,35,technician,25,no,no,cellular,aug,2,-1,unknown,married,tertiary,0
3354,42,housemaid,4279,yes,no,cellular,jul,1,-1,unknown,married,primary,0
866,60,admin.,-444,no,yes,cellular,jul,1,-1,unknown,married,primary,0
3818,40,services,113,yes,no,unknown,jun,1,-1,unknown,married,secondary,0
5994,56,management,310,no,no,unknown,jun,4,-1,unknown,divorced,tertiary,0
4546,26,services,179,yes,yes,cellular,jul,4,-1,unknown,single,primary,0
563,43,entrepreneur,0,no,no,unknown,jun,7,-1,unknown,married,secondary,1
5091,46,management,0,no,no,cellular,aug,2,-1,unknown,single,tertiary,1
4205,56,technician,179,no,no,cellular,jul,1,-1,unknown,divorced,secondary,1
4604,59,admin.,3735,no,no,cellular,mar,4,121,failure,married,secondary,1
6856,44,management,1791,no,no,cellular,feb,1,190,success,married,tertiary,1
7122,36,management,9,no,no,cellular,aug,4,-1,unknown,married,tertiary,1
6837,47,blue-collar,292,no,no,cellular,feb,1,-1,unknown,married,secondary,1
1727,43,blue-collar,18,yes,no,cellular,may,2,370,other,married,primary,0
7104,20,blue-collar,423,yes,no,cellular,apr,1,-1,unknown,single,secondary,1
654,40,services,-9,yes,no,unknown,may,2,-1,unknown,married,primary,1
5437,40,management,2487,no,no,cellular,apr,1,-1,unknown,married,tertiary,0
3344,18,student,608,no,no,cellular,aug,1,-1,unknown,single,primary,1
1538,46,blue-collar,922,yes,no,telephone,nov,2,-1,unknown,married,secondary,0
3039,36,entrepreneur,3057,no,no,unknown,jun,4,-1,unknown,married,tertiary,1
3942,53,technician,476,yes,no,cellular,jan,1,-1,unknown,married,tertiary,0
1266,40,services,471,yes,no,cellular,apr,1,345,failure,divorced,primary,1
3259,30,management,4889,no,no,cellular,aug,2,-1,unknown,single,tertiary,1
6216,36,management,811,no,no,cellular,mar,1,-1,unknown,single,tertiary,1
87,28,technician,655,yes,no,unknown,may,2,-1,unknown,married,secondary,0
6696,38,entrepreneur,1110,yes,no,cellular,nov,2,183,failure,married,tertiary,1
5896,47,management,0,no,no,cellular,aug,2,-1,unknown,married,tertiary,0
5698,54,unemployed,1664,no,no,cellular,sep,1,105,success,divorced,secondary,1
4327,38,self-employed,2084,yes,no,cellular,apr,2,330,failure,married,tertiary,0
5369,32,self-employed,102,yes,no,cellular,jul,1,-1,unknown,married,primary,1
6027,37,self-employed,3396,no,no,cellular,aug,6,-1,unknown,married,secondary,0
3062,36,admin.,125,yes,no,unknown,may,1,-1,unknown,divorced,tertiary,0
1194,50,management,4527,yes,no,cellular,may,1,-1,unknown,single,secondary,0
4823,38,self-employed,30,no,no,unknown,jun,1,-1,unknown,married,secondary,0
1054,31,technician,147,yes,no,unknown,may,1,-1,unknown,single,secondary,0
2670,31,blue-collar,64,yes,no,cellular,jul,3,-1,unknown,married,secondary,0
2732,26,self-employed,492,yes,yes,cellular,may,4,-1,unknown,married,secondary,0
1956,31,technician,2807,no,no,unknown,nov,1,-1,unknown,single,tertiary,1
4772,53,admin.,0,yes,yes,cellular,aug,1,98,failure,divorced,secondary,1
341,36,services,526,yes,no,cellular,apr,2,324,other,married,secondary,0
547,55,retired,357,yes,no,cellular,aug,1,103,failure,married,tertiary,0
6734,37,management,8828,no,no,unknown,jun,3,-1,unknown,single,tertiary,1
6844,45,admin.,0,yes,no,cellular,nov,1,-1,unknown,divorced,secondary,0
5173,33,technician,3059,no,yes,cellular,aug,2,-1,unknown,single,secondary,1
19,48,services,2597,yes,no,cellular,may,2,355,failure,married,secondary,0
1018,47,housemaid,61,no,no,cellular,jul,5,-1,unknown,divorced,primary,0
1562,42,management,860,yes,no,unknown,may,3,-1,unknown,married,primary,0
2531,39,blue-collar,29,yes,no,unknown,may,2,-1,unknown,single,secondary,0
529,35,technician,2453,yes,no,cellular,aug,2,-1,unknown,single,tertiary,0
5675,59,technician,2595,yes,no,cellular,aug,2,-1,unknown,divorced,secondary,0
1691,54,management,1464,no,no,cellular,jun,1,-1,unknown,married,tertiary,1
1434,30,technician,4060,no,no,cellular,feb,1,93,other,single,tertiary,1
3537,52,unknown,5361,no,no,cellular,aug,3,-1,unknown,married,unknown,1
1405,43,blue-collar,14646,no,no,cellular,oct,1,-1,unknown,married,secondary,1
1137,31,management,1343,yes,yes,unknown,may,1,-1,unknown,married,tertiary,0
6128,32,management,4291,no,no,cellular,aug,9,-1,unknown,single,tertiary,1
3231,36,housemaid,2880,no,no,unknown,jun,1,-1,unknown,married,secondary,0
382,31,management,254,no,no,cellular,aug,8,-1,unknown,divorced,tertiary,1
3889,47,blue-collar,2,yes,yes,cellular,nov,4,190,failure,married,primary,0
3377,49,blue-collar,4830,yes,no,unknown,jun,1,-1,unknown,married,primary,0
3666,57,admin.,6005,yes,no,cellular,may,1,323,failure,married,secondary,1
3877,28,management,1414,yes,no,cellular,jul,1,521,failure,single,tertiary,1
7400,24,student,125,no,no,cellular,nov,1,90,failure,single,secondary,1
3745,41,self-employed,3123,yes,no,cellular,apr,2,135,failure,married,secondary,1
2905,24,blue-collar,327,yes,no,unknown,may,2,-1,unknown,single,secondary,0
1716,30,blue-collar,522,no,no,cellular,feb,3,-1,unknown,single,secondary,0
1297,28,blue-collar,708,yes,no,unknown,jun,5,-1,unknown,married,secondary,0
3495,26,technician,2002,no,no,cellular,jan,1,-1,unknown,single,secondary,1
4888,32,technician,211,yes,yes,unknown,may,4,-1,unknown,divorced,secondary,0
3994,36,technician,3,no,no,cellular,aug,4,-1,unknown,married,secondary,0
2507,42,blue-collar,1673,yes,no,cellular,apr,3,-1,unknown,married,primary,1
2064,34,management,13014,no,no,cellular,aug,1,-1,unknown,single,tertiary,1
2857,55,management,1504,yes,no,cellular,aug,3,101,success,married,unknown,1
5346,30,technician,0,yes,no,cellular,jun,2,-1,unknown,single,tertiary,1
6136,42,admin.,437,yes,no,cellular,aug,3,190,failure,married,secondary,0
4912,56,admin.,0,yes,no,cellular,apr,2,227,failure,married,primary,0
2018,53,admin.,1151,yes,no,unknown,may,1,-1,unknown,divorced,secondary,0
7238,47,admin.,1265,no,no,cellular,aug,2,-1,unknown,married,secondary,0
3395,32,management,393,no,no,cellular,jan,2,-1,unknown,married,tertiary,0
799,56,admin.,4118,no,no,telephone,may,1,-1,unknown,single,secondary,1
5317,30,admin.,265,yes,no,cellular,may,1,181,success,single,secondary,1
4756,39,admin.,2854,yes,no,unknown,jun,1,-1,unknown,single,secondary,0
114,49,services,2416,yes,no,cellular,apr,1,-1,unknown,married,secondary,1
1816,38,management,4174,no,no,cellular,oct,2,184,failure,married,tertiary,1
4997,31,management,5205,no,no,cellular,jun,2,-1,unknown,single,tertiary,1
6461,37,services,981,no,no,cellular,jul,2,386,success,married,secondary,1
1393,53,technician,988,no,no,cellular,aug,5,-1,unknown,married,tertiary,1
6740,46,technician,190,yes,no,cellular,aug,2,-1,unknown,married,secondary,0
3721,23,technician,-782,yes,yes,unknown,jun,10,-1,unknown,single,secondary,0
5691,30,technician,455,yes,no,cellular,nov,1,-1,unknown,married,secondary,1
4646,44,admin.,1248,yes,yes,cellular,may,3,-1,unknown,married,secondary,0
6041,61,retired,2557,yes,no,cellular,feb,2,92,success,married,tertiary,1
4835,30,management,136,yes,no,unknown,may,1,-1,unknown,single,tertiary,0
4313,62,retired,4692,yes,no,cellular,oct,1,-1,unknown,married,tertiary,0
6349,28,blue-collar,97,yes,no,unknown,may,1,-1,unknown,single,secondary,0
1673,35,blue-collar,293,yes,no,cellular,apr,1,325,other,married,secondary,1
4424,29,management,0,yes,no,unknown,may,12,-1,unknown,single,tertiary,1
2777,41,admin.,124,yes,no,cellular,may,3,-1,unknown,married,secondary,0
4862,58,admin.,247,no,yes,unknown,jun,6,-1,unknown,single,secondary,0
2837,63,technician,973,no,no,cellular,feb,1,388,success,married,secondary,1
3380,77,retired,639,no,no,telephone,apr,7,-1,unknown,divorced,primary,0
4529,52,unemployed,1724,no,no,cellular,jan,1,-1,unknown,married,primary,0
3873,50,management,6739,yes,no,cellular,jul,3,-1,unknown,married,tertiary,0
1535,35,technician,6,yes,no,cellular,nov,1,-1,unknown,married,tertiary,0
4260,55,admin.,865,yes,no,cellular,jul,1,82,failure,married,secondary,0
3866,29,blue-collar,294,yes,no,unknown,may,2,-1,unknown,married,secondary,0
2353,46,self-employed,21,no,no,cellular,jul,2,-1,unknown,divorced,tertiary,1
3686,37,management,16,yes,no,unknown,may,1,-1,unknown,divorced,secondary,1
1738,36,technician,376,no,no,cellular,sep,1,-1,unknown,married,tertiary,1
4009,58,services,-37,no,yes,telephone,feb,2,205,failure,married,secondary,0
3787,29,technician,590,no,no,cellular,may,1,-1,unknown,single,secondary,1
2903,33,self-employed,658,yes,no,cellular,apr,1,173,success,single,tertiary,0
3583,43,management,46,no,no,cellular,aug,8,-1,unknown,married,tertiary,0
4794,34,admin.,430,yes,no,cellular,jul,4,-1,unknown,married,secondary,0
3630,50,entrepreneur,230,no,no,telephone,jul,4,-1,unknown,married,tertiary,1
1813,30,management,640,no,no,cellular,feb,4,213,failure,single,tertiary,0
4610,30,blue-collar,0,yes,no,cellular,may,2,-1,unknown,married,primary,0
4790,43,technician,6835,no,no,unknown,jun,2,-1,unknown,divorced,secondary,0
5736,50,technician,103,yes,no,unknown,may,6,-1,unknown,married,secondary,0
6680,57,services,2225,yes,no,cellular,may,4,-1,unknown,divorced,primary,0
7229,25,student,10,yes,no,cellular,jul,4,-1,unknown,married,tertiary,1
1094,30,unemployed,0,yes,no,cellular,apr,1,-1,unknown,single,secondary,0
1351,32,technician,945,no,no,cellular,may,3,-1,unknown,single,secondary,0
280,25,blue-collar,97,yes,no,unknown,may,1,-1,unknown,married,secondary,1
1039,28,technician,2489,yes,no,telephone,feb,2,-1,unknown,single,tertiary,1
6398,43,admin.,733,yes,no,cellular,aug,1,88,success,single,secondary,1
4359,74,retired,935,no,no,cellular,may,1,99,failure,married,secondary,1
4254,35,technician,726,yes,no,cellular,may,1,-1,unknown,single,unknown,0
4574,33,management,387,no,no,cellular,feb,5,-1,unknown,divorced,tertiary,0
3309,44,technician,643,no,no,cellular,oct,1,143,failure,single,tertiary,1
4670,34,management,431,no,no,cellular,jul,1,-1,unknown,single,tertiary,0
453,58,management,50,yes,no,unknown,jun,4,-1,unknown,divorced,tertiary,0
201,32,management,20,no,no,cellular,aug,2,-1,unknown,single,tertiary,1
935,87,retired,6746,no,no,telephone,oct,1,-1,unknown,divorced,primary,1
946,29,management,53,yes,no,cellular,jul,17,-1,unknown,married,tertiary,0
6515,35,management,991,yes,no,cellular,may,3,-1,unknown,married,tertiary,1
5874,35,blue-collar,4963,yes,no,cellular,may,1,300,failure,single,secondary,1
5517,31,technician,279,yes,no,unknown,may,1,-1,unknown,single,tertiary,0
6272,34,blue-collar,39,no,no,cellular,may,2,299,failure,single,secondary,0
3458,35,blue-collar,0,yes,no,cellular,jul,1,-1,unknown,married,secondary,0
2530,52,blue-collar,5828,yes,no,telephone,may,2,-1,unknown,married,secondary,0
3265,31,technician,-367,yes,no,cellular,jul,2,-1,unknown,married,secondary,1
4129,56,management,6507,yes,yes,cellular,jan,1,196,failure,single,tertiary,0
2647,34,services,295,yes,yes,cellular,jul,1,-1,unknown,married,secondary,0
3033,33,technician,6,no,no,cellular,aug,2,-1,unknown,divorced,secondary,0
4267,28,blue-collar,173,no,no,cellular,jul,7,-1,unknown,married,secondary,1
6510,50,admin.,706,yes,no,cellular,aug,4,-1,unknown,married,secondary,1
5428,37,services,1045,no,no,cellular,mar,2,41,failure,single,secondary,1
655,55,management,-375,no,no,cellular,jul,2,-1,unknown,married,tertiary,1
7099,34,admin.,155,no,no,cellular,feb,2,-1,unknown,married,secondary,1
372,39,admin.,0,no,yes,unknown,jun,1,-1,unknown,single,secondary,0
3190,35,management,2957,yes,yes,cellular,aug,3,-1,unknown,married,tertiary,1
706,56,technician,23,no,no,cellular,nov,3,-1,unknown,married,secondary,1
1156,59,management,1585,no,no,telephone,aug,5,-1,unknown,married,tertiary,0
5928,59,admin.,1575,yes,no,cellular,may,3,263,success,married,secondary,0
6656,42,blue-collar,156,yes,no,telephone,may,4,371,failure,single,primary,0
6134,34,technician,1,no,no,cellular,aug,2,-1,unknown,married,secondary,1
1064,39,technician,2118,yes,no,cellular,apr,2,-1,unknown,married,primary,0
4708,38,services,1313,no,no,unknown,jun,2,-1,unknown,married,secondary,0
2901,43,services,43,yes,no,cellular,may,1,-1,unknown,married,secondary,0
3901,42,services,508,yes,no,unknown,may,1,-1,unknown,married,secondary,0
3693,24,student,474,no,no,cellular,apr,1,-1,unknown,single,primary,1
789,32,services,2378,no,no,cellular,nov,2,-1,unknown,single,unknown,1
3206,41,technician,585,yes,no,telephone,apr,1,-1,unknown,married,tertiary,0
2989,26,blue-collar,184,no,no,cellular,feb,2,6,other,single,secondary,0
1319,40,admin.,419,yes,yes,cellular,may,1,369,failure,married,secondary,0
184,37,management,0,no,no,cellular,jan,2,196,other,married,tertiary,1
6614,57,blue-collar,2887,no,no,cellular,aug,10,-1,unknown,married,secondary,1
5368,26,student,2503,no,no,cellular,apr,1,63,failure,single,unknown,0
2679,42,blue-collar,1297,yes,no,cellular,apr,2,-1,unknown,married,secondary,0
3341,46,technician,57,no,no,unknown,may,1,-1,unknown,married,secondary,1
6459,49,admin.,0,no,no,cellular,apr,1,-1,unknown,married,secondary,1
5947,26,student,132,no,no,cellular,jun,1,-1,unknown,single,secondary,1
361,28,blue-collar,3430,yes,no,unknown,jun,6,-1,unknown,single,secondary,0
2451,37,management,1276,no,no,cellular,aug,2,-1,unknown,married,tertiary,1
1494,58,management,5701,no,no,cellular,feb,1,-1,unknown,divorced,tertiary,1
7129,22,student,552,no,no,cellular,sep,1,-1,unknown,single,secondary,1
6343,53,technician,6839,yes,no,cellular,nov,1,-1,unknown,married,primary,0
889,39,admin.,-367,yes,no,cellular,apr,2,-1,unknown,married,secondary,0
4263,23,student,854,yes,no,unknown,may,2,-1,unknown,single,unknown,1
7261,54,blue-collar,215,yes,no,unknown,jun,5,-1,unknown,divorced,primary,0
2479,22,services,344,yes,no,cellular,may,1,-1,unknown,single,secondary,1
3636,35,admin.,777,no,yes,cellular,may,1,-1,unknown,single,tertiary,0
1131,26,services,12,no,no,cellular,jun,1,181,failure,single,tertiary,1
7265,27,student,39,no,no,cellular,may,1,258,other,single,tertiary,1
3327,36,services,760,no,no,unknown,jun,13,-1,unknown,single,secondary,0
1719,42,blue-collar,213,yes,no,cellular,jul,3,-1,unknown,divorced,primary,1
7291,40,blue-collar,0,no,no,cellular,jul,1,-1,unknown,married,primary,0
6088,47,unemployed,0,no,no,unknown,jun,1,-1,unknown,married,primary,0
1466,34,technician,1039,no,no,cellular,aug,3,-1,unknown,single,tertiary,0
514,57,blue-collar,773,yes,yes,unknown,jun,8,-1,unknown,married,secondary,0
972,36,management,254,no,no,cellular,feb,2,-1,unknown,married,tertiary,1
702,43,blue-collar,0,yes,no,unknown,may,1,-1,unknown,married,primary,0
7173,58,technician,589,yes,no,cellular,feb,3,183,success,married,secondary,1
4303,54,technician,0,no,no,telephone,aug,2,106,success,married,secondary,0
5128,57,admin.,2223,no,no,cellular,aug,1,-1,unknown,single,secondary,1
918,53,blue-collar,4641,no,no,unknown,jun,2,-1,unknown,married,primary,0
5743,40,admin.,27,no,no,cellular,aug,2,-1,unknown,single,tertiary,1
4944,52,management,48,no,no,unknown,jun,2,-1,unknown,married,primary,0
5474,30,self-employed,578,yes,no,unknown,jun,4,-1,unknown,single,tertiary,0
2430,32,blue-collar,2263,no,no,cellular,may,2,-1,unknown,married,secondary,0
4237,66,technician,0,no,no,cellular,feb,1,-1,unknown,married,secondary,1
6094,48,admin.,476,no,no,unknown,jun,3,-1,unknown,married,secondary,0
2196,32,admin.,281,yes,no,unknown,may,1,-1,unknown,married,tertiary,0
1406,57,technician,470,no,no,cellular,aug,3,-1,unknown,divorced,secondary,1
2269,24,management,867,yes,no,unknown,jun,10,-1,unknown,married,secondary,1
18,46,management,242,no,no,cellular,aug,2,96,success,married,tertiary,1
4183,38,management,676,no,no,cellular,may,3,-1,unknown,married,tertiary,0
4830,31,technician,1109,no,no,cellular,feb,1,167,failure,single,tertiary,1
845,36,management,81,no,yes,cellular,jul,1,-1,unknown,divorced,tertiary,1
2463,33,blue-collar,0,yes,no,telephone,jul,3,-1,unknown,married,secondary,0
2053,29,management,560,no,no,cellular,apr,1,307,failure,single,unknown,1
4635,35,blue-collar,154,yes,no,unknown,may,4,-1,unknown,married,secondary,0
6458,40,management,257,no,no,cellular,feb,1,209,failure,single,tertiary,0
4828,41,technician,501,yes,no,unknown,may,5,-1,unknown,married,secondary,1
7062,41,blue-collar,203,no,no,cellular,jul,2,-1,unknown,married,secondary,1
81,57,retired,427,no,no,cellular,jan,1,-1,unknown,married,secondary,0
2185,59,services,307,yes,yes,unknown,may,7,-1,unknown,married,secondary,0
88,32,technician,-114,no,no,cellular,aug,2,-1,unknown,single,secondary,0
1745,33,blue-collar,-191,yes,yes,cellular,jul,4,-1,unknown,married,primary,1
5741,56,management,0,no,yes,unknown,jun,1,-1,unknown,married,tertiary,1
2575,39,management,691,yes,yes,cellular,apr,1,255,failure,married,tertiary,0
7332,42,services,774,no,no,cellular,jan,1,-1,unknown,married,secondary,1
3123,60,retired,4243,no,no,cellular,oct,2,-1,unknown,divorced,secondary,1
293,55,management,12972,no,no,telephone,aug,1,-1,unknown,married,tertiary,1
4745,68,retired,476,no,no,telephone,jun,1,-1,unknown,divorced,primary,1
2380,42,blue-collar,1461,yes,no,cellular,may,2,170,failure,married,primary,1
162,43,blue-collar,625,yes,no,unknown,sep,1,-1,unknown,married,secondary,0
2824,29,admin.,464,no,no,cellular,nov,2,91,success,single,secondary,1
3125,40,management,8486,no,no,unknown,may,3,-1,unknown,married,secondary,0
3406,46,management,2904,yes,no,unknown,may,2,-1,unknown,single,tertiary,1
2221,29,student,67,no,no,cellular,feb,1,187,success,single,secondary,1
6262,35,entrepreneur,80,no,no,cellular,aug,5,-1,unknown,divorced,secondary,0
5568,65,management,587,no,no,cellular,apr,2,-1,unknown,married,secondary,1
7380,29,management,1026,no,no,cellular,feb,2,92,success,single,tertiary,1
2331,36,management,1898,yes,yes,unknown,may,1,-1,unknown,married,secondary,0
6334,36,services,9713,yes,no,unknown,may,3,-1,unknown,single,secondary,0
6388,40,housemaid,795,yes,no,unknown,may,3,-1,unknown,married,tertiary,0
708,37,admin.,1314,yes,no,cellular,feb,4,210,failure,married,secondary,1
6025,35,blue-collar,1084,yes,no,cellular,jul,1,-1,unknown,married,unknown,0
2620,42,management,-700,yes,no,unknown,may,1,-1,unknown,married,tertiary,0
7160,55,blue-collar,7378,no,no,unknown,may,3,-1,unknown,divorced,secondary,0
2993,54,blue-collar,1070,no,no,cellular,nov,4,-1,unknown,married,secondary,0
2464,59,management,296,no,yes,cellular,jul,3,-1,unknown,married,tertiary,1
2160,60,admin.,478,no,no,cellular,jul,2,311,failure,married,unknown,1
1663,41,admin.,2550,yes,no,cellular,may,2,347,failure,divorced,secondary,0
1295,36,technician,202,no,no,cellular,jan,1,120,failure,married,tertiary,1
5115,55,blue-collar,410,no,yes,cellular,jul,2,-1,unknown,divorced,primary,0
4206,27,blue-collar,535,no,no,cellular,may,1,87,success,single,secondary,1
4530,31,blue-collar,43,yes,no,unknown,may,3,-1,unknown,married,secondary,0
586,49,blue-collar,259,no,no,unknown,may,2,-1,unknown,divorced,secondary,0
239,50,management,1396,no,no,cellular,aug,6,-1,unknown,married,tertiary,1
4813,43,technician,7876,yes,no,cellular,aug,2,-1,unknown,married,secondary,0
1586,36,management,1400,yes,no,cellular,may,3,-1,unknown,single,tertiary,1
6413,27,management,802,no,no,cellular,sep,1,-1,unknown,married,tertiary,1
4876,28,blue-collar,75,no,no,unknown,jun,1,-1,unknown,single,secondary,0
6940,28,blue-collar,-30,yes,no,cellular,jul,5,-1,unknown,single,primary,0
1317,29,blue-collar,975,yes,no,unknown,may,2,-1,unknown,married,secondary,0
3550,40,services,65,yes,no,cellular,may,3,-1,unknown,single,secondary,0
284,32,technician,1279,yes,no,unknown,jun,3,-1,unknown,single,secondary,1
6126,34,technician,161,no,yes,cellular,aug,2,-1,unknown,single,secondary,0
6130,27,management,3104,yes,no,unknown,may,2,-1,unknown,single,tertiary,0
2782,65,retired,343,no,no,telephone,feb,2,-1,unknown,married,primary,0
6878,52,services,-336,no,yes,unknown,jun,8,-1,unknown,married,secondary,0
879,19,student,60,no,no,cellular,aug,1,-1,unknown,single,unknown,0
6292,30,services,292,yes,yes,cellular,apr,4,-1,unknown,married,secondary,0
2967,82,retired,243,no,no,cellular,jul,1,180,success,married,primary,1
2920,51,blue-collar,814,yes,no,cellular,may,8,-1,unknown,married,secondary,0
727,52,technician,0,no,no,cellular,jun,3,-1,unknown,married,secondary,1
6873,37,technician,0,yes,yes,cellular,jul,3,-1,unknown,married,secondary,0
3500,31,technician,180,no,no,cellular,may,1,70,success,married,secondary,0
3948,42,management,0,no,no,cellular,aug,2,-1,unknown,married,tertiary,0
2896,35,unemployed,415,no,no,cellular,may,2,89,success,single,tertiary,1
6925,32,blue-collar,-208,yes,yes,unknown,may,1,-1,unknown,married,secondary,0
6627,37,blue-collar,106,yes,no,cellular,aug,1,392,failure,married,primary,1
690,54,blue-collar,2933,yes,no,unknown,may,2,-1,unknown,married,primary,0
5891,41,admin.,985,yes,no,cellular,jun,2,391,success,single,secondary,1
3857,60,retired,545,yes,no,unknown,may,1,-1,unknown,divorced,secondary,1
1382,92,retired,775,no,no,cellular,jan,4,96,success,married,unknown,1
5353,52,blue-collar,1319,no,no,telephone,apr,2,-1,unknown,married,secondary,0
7052,33,technician,484,yes,no,cellular,aug,3,182,success,married,secondary,1
4657,35,blue-collar,142,yes,no,cellular,may,2,168,failure,single,secondary,0
3056,37,admin.,0,yes,no,cellular,dec,1,190,success,married,secondary,1
4107,34,management,0,no,no,cellular,apr,1,-1,unknown,married,tertiary,0
5272,44,management,13054,yes,no,cellular,may,2,174,other,married,secondary,0
3127,30,admin.,873,no,no,cellular,oct,1,216,failure,single,secondary,0
6862,43,management,2067,yes,no,unknown,may,1,-1,unknown,single,tertiary,1
2743,57,retired,0,yes,no,cellular,may,1,363,failure,married,secondary,0
7024,26,management,1027,no,no,cellular,sep,1,-1,unknown,single,tertiary,1
6104,38,services,1315,no,no,unknown,jun,12,-1,unknown,single,secondary,0
1004,71,retired,2887,no,no,cellular,jun,1,-1,unknown,married,tertiary,1
2482,37,management,3723,no,no,cellular,may,1,-1,unknown,married,tertiary,1
6478,51,blue-collar,1694,no,no,cellular,aug,2,-1,unknown,married,primary,0
3292,46,technician,3434,no,yes,cellular,feb,1,-1,unknown,married,secondary,1
4432,30,services,1599,no,no,cellular,feb,2,-1,unknown,single,secondary,1
4026,65,retired,1004,no,no,cellular,oct,1,-1,unknown,married,primary,1
3670,34,services,371,no,no,unknown,may,1,-1,unknown,single,tertiary,0
1312,37,self-employed,1549,yes,no,unknown,jun,7,-1,unknown,married,secondary,0
2974,54,technician,0,no,no,telephone,apr,3,84,success,married,secondary,1
2326,60,retired,0,yes,no,unknown,may,4,-1,unknown,married,tertiary,0
4159,39,technician,116,no,no,cellular,may,2,-1,unknown,married,secondary,1
3677,41,technician,2123,no,no,cellular,aug,2,-1,unknown,married,secondary,0
2991,39,management,93,yes,yes,cellular,may,2,331,failure,single,tertiary,0
3272,31,blue-collar,726,no,no,cellular,jul,2,-1,unknown,single,secondary,1
7354,32,blue-collar,1076,yes,no,unknown,may,1,-1,unknown,married,primary,0
4667,33,services,2881,no,no,cellular,may,1,328,success,single,secondary,1
4250,28,self-employed,-522,yes,yes,cellular,may,2,-1,unknown,married,secondary,1
4822,62,self-employed,0,yes,no,cellular,aug,1,-1,unknown,divorced,secondary,1
3656,33,technician,0,no,no,cellular,aug,8,-1,unknown,married,secondary,0
6195,40,blue-collar,1181,yes,no,cellular,feb,2,189,success,married,unknown,1
4788,33,technician,0,yes,yes,cellular,nov,2,-1,unknown,married,secondary,0
2809,66,retired,1948,no,no,cellular,oct,2,269,failure,married,tertiary,1
5570,26,blue-collar,-11,yes,yes,cellular,jul,3,-1,unknown,married,secondary,1
7108,33,technician,151,yes,no,cellular,apr,3,236,failure,single,secondary,0
691,29,management,1808,no,no,cellular,jul,2,433,success,single,tertiary,1
6346,44,management,0,no,no,unknown,jun,1,-1,unknown,divorced,tertiary,0
1011,56,management,830,yes,yes,unknown,may,1,-1,unknown,married,tertiary,1
4497,32,technician,540,no,yes,cellular,jan,1,-1,unknown,single,secondary,1
5196,39,technician,1104,no,no,cellular,aug,2,-1,unknown,single,secondary,1
6884,56,retired,1906,no,yes,unknown,jun,9,-1,unknown,married,primary,0
4142,33,blue-collar,285,no,yes,unknown,jul,1,-1,unknown,married,secondary,0
5715,27,management,616,yes,no,cellular,may,1,101,other,single,tertiary,1
5552,47,technician,2283,yes,no,cellular,nov,2,-1,unknown,married,secondary,0
262,53,management,720,yes,no,unknown,nov,1,-1,unknown,single,tertiary,0
2439,29,management,2753,no,no,cellular,apr,1,-1,unknown,single,tertiary,1
492,51,admin.,176,no,no,cellular,jan,1,183,failure,married,secondary,0
927,48,technician,479,no,no,unknown,may,5,-1,unknown,single,secondary,0
6502,44,management,-411,yes,no,unknown,jun,4,-1,unknown,divorced,tertiary,1
1078,41,management,5037,no,no,cellular,apr,9,185,other,divorced,tertiary,1
5352,42,admin.,534,yes,no,unknown,may,2,-1,unknown,married,secondary,0
210,45,blue-collar,594,yes,no,unknown,may,2,-1,unknown,divorced,primary,1
6399,43,blue-collar,318,yes,no,unknown,jun,2,-1,unknown,single,secondary,1
6411,33,management,322,yes,no,cellular,apr,3,-1,unknown,married,tertiary,0
2057,25,blue-collar,389,no,no,cellular,jun,1,-1,unknown,single,secondary,1
3349,29,management,293,yes,no,unknown,may,2,-1,unknown,single,secondary,0
4017,56,technician,146,yes,no,cellular,aug,3,-1,unknown,divorced,secondary,1
2731,40,services,49,no,yes,cellular,jul,1,-1,unknown,divorced,secondary,0
5963,31,services,371,yes,yes,cellular,apr,1,-1,unknown,married,secondary,0
504,43,management,-183,no,no,cellular,jul,1,-1,unknown,married,tertiary,0
1677,60,services,4256,yes,no,cellular,nov,1,92,success,married,tertiary,1
2567,55,blue-collar,49,yes,no,cellular,jul,4,-1,unknown,married,secondary,1
2733,49,services,1830,yes,no,cellular,feb,1,-1,unknown,married,primary,1
2350,31,student,64,no,no,cellular,jun,2,-1,unknown,single,tertiary,1
2762,51,management,-461,yes,no,unknown,may,2,-1,unknown,single,unknown,0
6395,40,blue-collar,82,yes,no,cellular,may,6,370,failure,single,secondary,0
1313,35,technician,2823,yes,no,cellular,feb,1,-1,unknown,divorced,secondary,0
1847,60,management,3401,no,no,cellular,oct,1,270,failure,married,tertiary,1
1048,53,services,367,yes,yes,cellular,jan,1,261,failure,married,secondary,0
3729,77,retired,7802,no,no,telephone,feb,2,-1,unknown,married,tertiary,1
3905,33,admin.,241,no,no,cellular,jul,1,-1,unknown,single,secondary,0
5748,55,management,179,no,no,unknown,jun,1,-1,unknown,married,unknown,0
6131,31,management,10884,no,no,cellular,aug,3,98,success,married,tertiary,1
5872,25,blue-collar,1857,yes,no,cellular,jul,2,91,success,single,secondary,1
860,26,services,-379,yes,yes,cellular,jul,7,-1,unknown,married,secondary,1
2859,44,management,709,yes,no,cellular,nov,1,-1,unknown,single,tertiary,0
