,job,balance,housing,loan,contact,campaign,poutcome,deposit
2770,self-employed,1815,no,no,telephone,1,unknown,yes
2057,retired,86,no,no,cellular,1,success,yes
5215,technician,0,yes,no,cellular,1,unknown,no
4485,blue-collar,1103,yes,yes,cellular,2,failure,no
5493,management,275,no,no,cellular,2,other,yes
2220,technician,1561,no,no,cellular,1,unknown,no
2988,student,1809,no,no,cellular,2,unknown,yes
850,management,2,yes,no,cellular,2,unknown,yes
7144,technician,18,no,no,cellular,2,unknown,no
6200,blue-collar,6691,no,no,cellular,2,unknown,no
5947,retired,1714,no,no,telephone,1,unknown,yes
687,admin.,350,no,yes,cellular,5,unknown,no
4379,management,312,no,no,cellular,1,failure,no
886,admin.,191,yes,no,cellular,7,unknown,no
4282,management,1741,yes,yes,telephone,1,unknown,no
489,management,0,yes,no,cellular,3,unknown,yes
3817,services,113,yes,no,unknown,1,unknown,no
7228,entrepreneur,2731,no,no,cellular,2,unknown,no
4752,admin.,-175,yes,no,telephone,9,unknown,no
7073,management,264,no,no,telephone,1,unknown,yes
3366,self-employed,2013,no,no,cellular,4,success,yes
588,management,325,yes,no,cellular,2,unknown,yes
5394,retired,5966,yes,no,cellular,1,unknown,yes
928,services,-475,yes,no,telephone,3,unknown,no
6982,blue-collar,1177,no,no,cellular,4,unknown,yes
6936,self-employed,1579,no,no,cellular,1,success,yes
178,technician,2403,no,no,cellular,1,unknown,no
52,unemployed,8725,no,no,cellular,2,unknown,no
1230,management,2007,yes,no,unknown,1,unknown,no
7357,admin.,377,no,no,cellular,1,unknown,yes
5395,student,5296,no,no,cellular,1,failure,yes
7321,admin.,726,yes,no,cellular,8,unknown,yes
1276,management,3426,no,no,cellular,2,failure,yes
1431,management,79,no,no,unknown,3,unknown,no
4614,services,302,no,no,cellular,1,unknown,yes
2056,management,0,no,no,cellular,4,unknown,no
1637,retired,451,no,no,cellular,1,unknown,yes
6508,technician,277,yes,no,unknown,2,unknown,no
1071,management,944,no,no,cellular,2,unknown,yes
4523,retired,158,no,yes,cellular,1,unknown,yes
6072,blue-collar,288,yes,no,cellular,6,unknown,no
3854,retired,720,no,no,telephone,4,unknown,yes
4697,blue-collar,910,yes,no,cellular,1,unknown,no
5523,management,2069,no,no,cellular,1,unknown,yes
1769,admin.,122,yes,no,cellular,2,unknown,yes
7234,management,3343,no,no,cellular,1,unknown,no
2610,unemployed,274,no,no,cellular,5,unknown,no
1293,admin.,-462,yes,no,cellular,5,unknown,no
4738,management,191,no,yes,cellular,4,failure,no
3345,housemaid,4279,yes,no,cellular,1,unknown,no
2249,entrepreneur,0,yes,no,cellular,1,failure,yes
1638,technician,396,no,no,unknown,2,unknown,yes
2410,admin.,1131,no,yes,cellular,1,unknown,no
4566,entrepreneur,30,no,no,cellular,1,unknown,yes
4077,blue-collar,495,yes,no,unknown,1,unknown,no
4038,blue-collar,118,no,no,cellular,1,unknown,yes
1359,services,550,yes,no,cellular,2,unknown,no
1648,technician,309,yes,no,unknown,1,unknown,no
7046,management,4831,no,no,cellular,3,success,yes
804,technician,311,no,no,cellular,2,unknown,yes
3842,unemployed,443,no,no,cellular,1,unknown,yes
5301,unemployed,594,no,no,cellular,2,unknown,no
3491,services,418,yes,yes,cellular,1,unknown,no
6194,blue-collar,93,no,yes,cellular,1,unknown,no
2035,management,983,yes,no,cellular,2,unknown,yes
5729,blue-collar,3576,yes,no,cellular,1,other,no
1188,management,0,no,no,cellular,8,unknown,no
5383,services,-7,yes,no,cellular,3,unknown,yes
3237,management,7290,yes,no,cellular,1,unknown,yes
7375,technician,0,yes,no,cellular,6,unknown,yes
213,management,247,no,no,cellular,2,failure,yes
107,services,4151,yes,yes,cellular,4,unknown,yes
2392,blue-collar,1064,yes,no,cellular,2,unknown,no
2510,management,1573,no,no,cellular,18,unknown,no
6289,unemployed,5,yes,no,cellular,1,unknown,no
5151,blue-collar,-210,yes,no,unknown,1,unknown,no
7108,blue-collar,423,yes,no,cellular,1,unknown,yes
3004,management,223,yes,no,unknown,1,unknown,no
7109,management,-292,yes,no,cellular,2,failure,no
3231,retired,2139,no,no,cellular,2,unknown,no
7028,management,1027,no,no,cellular,1,unknown,yes
2594,admin.,596,yes,no,cellular,3,unknown,no
3249,blue-collar,0,yes,no,cellular,1,unknown,yes
6934,management,3384,no,no,cellular,2,unknown,yes
2482,admin.,200,no,no,cellular,1,failure,yes
6809,admin.,869,no,no,cellular,8,unknown,no
4378,management,1200,no,no,cellular,3,unknown,yes
7092,technician,2000,no,no,telephone,2,unknown,no
3979,blue-collar,1613,yes,no,cellular,1,failure,yes
3536,management,3473,no,no,cellular,2,unknown,yes
1462,blue-collar,537,yes,no,cellular,1,other,no
1629,management,199,yes,yes,unknown,4,unknown,yes
1097,blue-collar,665,yes,no,unknown,4,unknown,no
3499,technician,1227,no,no,cellular,5,success,yes
457,services,167,no,yes,cellular,2,unknown,yes
2230,technician,256,yes,no,unknown,4,unknown,no
1519,management,46,no,no,cellular,3,unknown,no
5909,technician,4,no,no,cellular,1,unknown,yes
4158,management,6269,yes,no,cellular,2,unknown,no
1152,management,769,no,no,cellular,2,unknown,yes
537,management,2646,no,no,cellular,1,success,yes
2002,technician,2976,yes,no,cellular,2,other,no
6375,self-employed,4420,yes,yes,cellular,1,unknown,yes
5604,blue-collar,142,no,yes,cellular,4,unknown,no
1176,retired,0,no,no,cellular,1,success,yes
2439,technician,86,no,yes,cellular,2,unknown,no
5737,blue-collar,5603,no,no,cellular,6,unknown,yes
1895,admin.,26,yes,no,cellular,1,failure,no
442,technician,473,no,yes,cellular,1,failure,yes
491,management,0,yes,no,unknown,4,unknown,no
4383,unemployed,7968,no,no,cellular,1,success,yes
7070,blue-collar,10252,no,no,cellular,1,success,yes
2887,management,294,yes,no,cellular,1,success,yes
4249,self-employed,-522,yes,yes,cellular,2,unknown,yes
4980,technician,1270,yes,no,unknown,1,unknown,yes
229,services,1222,yes,no,unknown,2,unknown,no
860,blue-collar,360,yes,no,unknown,2,unknown,no
947,management,2667,yes,no,cellular,2,unknown,yes
5743,technician,103,yes,no,unknown,6,unknown,no
2490,management,506,no,no,cellular,2,unknown,yes
6352,management,0,no,no,unknown,1,unknown,no
6309,technician,0,no,no,unknown,1,unknown,no
1817,admin.,1437,yes,no,unknown,1,unknown,no
5414,entrepreneur,278,no,no,cellular,5,unknown,yes
4525,technician,3254,yes,no,unknown,1,unknown,yes
4481,technician,0,yes,no,cellular,2,failure,no
7225,blue-collar,414,yes,no,cellular,3,unknown,no
4159,retired,8603,no,no,cellular,3,success,yes
3455,blue-collar,0,yes,no,cellular,1,unknown,no
1416,housemaid,135,no,no,cellular,9,unknown,no
948,management,735,yes,no,unknown,3,unknown,no
3123,management,2640,no,no,cellular,4,unknown,yes
5290,admin.,900,yes,no,unknown,1,unknown,no
3166,services,0,no,no,cellular,12,unknown,no
1207,technician,84,yes,no,unknown,1,unknown,no
4372,blue-collar,360,no,no,unknown,2,unknown,no
2371,admin.,69,yes,no,cellular,1,unknown,yes
5466,blue-collar,3884,yes,no,cellular,5,unknown,no
4620,technician,816,yes,no,unknown,1,unknown,yes
453,admin.,14968,no,no,cellular,4,unknown,yes
1464,management,1,no,no,cellular,2,unknown,yes
668,management,0,no,no,cellular,2,unknown,no
2525,technician,3434,no,yes,cellular,2,success,yes
4533,management,93,yes,yes,cellular,1,unknown,no
1446,admin.,151,yes,no,cellular,1,other,yes
1896,management,621,no,no,cellular,3,unknown,no
5802,retired,293,no,no,unknown,1,unknown,yes
145,retired,2312,no,no,unknown,1,unknown,no
5050,management,105,yes,no,unknown,2,unknown,no
6077,services,1309,yes,no,unknown,2,unknown,no
6817,blue-collar,3851,no,no,cellular,1,unknown,no
3254,technician,-367,yes,no,cellular,2,unknown,yes
7036,blue-collar,622,yes,no,cellular,1,unknown,no
4862,admin.,247,no,yes,unknown,6,unknown,no
2305,admin.,1000,yes,no,cellular,1,success,yes
741,technician,1711,no,no,cellular,3,success,yes
3167,admin.,77,no,no,cellular,4,unknown,no
5090,admin.,-1,yes,no,unknown,1,unknown,no
2238,blue-collar,694,yes,yes,cellular,4,unknown,yes
6978,management,841,no,no,cellular,1,unknown,no
1315,retired,2,no,no,unknown,4,unknown,no
4737,technician,4922,yes,no,cellular,4,other,yes
3070,blue-collar,505,yes,no,unknown,1,unknown,no
1173,management,474,no,no,cellular,1,unknown,yes
4209,admin.,598,yes,no,unknown,1,unknown,no
463,retired,250,no,no,cellular,1,unknown,yes
1613,retired,2398,no,no,cellular,1,failure,no
6977,blue-collar,1098,yes,no,unknown,17,unknown,no
2353,technician,4596,yes,no,cellular,2,unknown,yes
1776,management,4,yes,no,cellular,1,success,no
6524,management,608,yes,no,cellular,2,unknown,no
4927,blue-collar,1946,no,no,cellular,1,unknown,yes
3787,retired,-47,yes,no,cellular,4,unknown,no
412,management,1030,no,no,cellular,2,unknown,yes
3102,management,351,yes,no,unknown,3,unknown,no
6014,technician,2156,yes,no,cellular,1,success,yes
2141,entrepreneur,283,yes,no,unknown,2,unknown,no
2837,technician,818,yes,yes,cellular,4,unknown,no
5894,blue-collar,2157,yes,no,unknown,2,unknown,no
2784,admin.,976,yes,no,unknown,3,unknown,no
911,retired,927,no,no,cellular,3,unknown,yes
1993,management,858,no,no,cellular,2,unknown,yes
7202,blue-collar,3311,yes,no,unknown,1,unknown,yes
3104,retired,630,no,no,cellular,1,unknown,no
4925,services,1279,yes,no,unknown,5,unknown,no
6385,blue-collar,7929,no,no,unknown,1,unknown,yes
5744,admin.,555,yes,yes,telephone,1,unknown,yes
7248,services,108,yes,no,unknown,12,unknown,no
6755,blue-collar,56,no,no,cellular,2,unknown,no
5847,management,1506,no,no,cellular,2,success,yes
4977,admin.,882,no,no,cellular,1,failure,yes
3596,technician,1363,no,no,cellular,1,unknown,yes
3535,services,162,yes,no,cellular,2,unknown,yes
4450,blue-collar,61,yes,no,cellular,1,unknown,yes
6130,unemployed,3754,no,no,cellular,2,unknown,yes
5422,technician,375,yes,no,cellular,1,other,no
2257,admin.,272,yes,no,cellular,2,unknown,no
2568,management,691,yes,yes,cellular,1,failure,no
192,technician,-1042,yes,no,unknown,2,unknown,yes
6266,management,1585,yes,no,cellular,2,unknown,no
5340,management,41,yes,no,cellular,2,unknown,no
223,management,1303,no,no,cellular,1,unknown,yes
4756,admin.,2854,yes,no,unknown,1,unknown,no
5566,technician,22,yes,no,unknown,3,unknown,yes
5283,retired,243,no,no,cellular,1,unknown,yes
1845,admin.,2195,yes,no,unknown,1,unknown,no
6261,services,4522,yes,no,cellular,4,unknown,no
1717,blue-collar,522,no,no,cellular,3,unknown,no
5387,retired,1241,no,no,cellular,2,unknown,yes
6528,technician,0,yes,yes,cellular,4,unknown,no
2794,admin.,1872,no,no,cellular,5,unknown,yes
4965,admin.,0,yes,no,cellular,2,unknown,no
326,admin.,171,yes,yes,cellular,1,failure,no
6095,admin.,-45,yes,no,unknown,2,unknown,no
6401,management,0,no,no,cellular,5,unknown,yes
1095,blue-collar,784,no,no,cellular,3,unknown,no
5342,technician,1012,yes,yes,telephone,1,unknown,yes
3052,technician,351,yes,no,telephone,2,unknown,no
795,admin.,497,yes,no,cellular,3,other,no
6892,admin.,305,no,no,cellular,1,success,yes
6808,retired,3783,yes,no,unknown,3,unknown,no
3328,management,364,no,no,cellular,2,unknown,yes
3106,services,146,yes,yes,cellular,4,failure,yes
2363,management,810,no,no,cellular,1,success,yes
1450,technician,-397,yes,yes,cellular,9,unknown,no
6991,retired,98,no,no,cellular,1,unknown,yes
6512,technician,124,yes,no,unknown,8,unknown,no
893,services,2956,no,no,cellular,2,unknown,yes
1929,technician,4388,no,no,cellular,3,unknown,no
4445,housemaid,212,no,no,cellular,4,unknown,no
5892,unemployed,890,no,no,cellular,4,unknown,no
3990,management,3663,no,no,cellular,3,unknown,yes
3861,blue-collar,1004,no,no,cellular,1,other,yes
830,management,1855,no,no,telephone,6,unknown,yes
2477,management,-151,yes,no,cellular,2,unknown,no
2642,management,243,no,no,cellular,1,unknown,yes
6350,blue-collar,343,no,no,unknown,1,unknown,no
3496,services,0,no,no,cellular,4,unknown,no
6166,technician,3288,yes,no,cellular,3,unknown,yes
4422,blue-collar,0,yes,no,unknown,4,unknown,no
3045,admin.,879,yes,no,unknown,7,unknown,no
1818,management,9756,yes,no,cellular,2,other,yes
6076,management,503,no,yes,unknown,7,unknown,yes
5011,retired,1058,no,no,cellular,2,success,yes
5183,retired,393,no,yes,cellular,1,failure,yes
203,retired,2223,no,no,telephone,1,unknown,yes
1633,blue-collar,953,yes,no,cellular,1,success,yes
2318,blue-collar,0,no,no,cellular,2,unknown,yes
2984,management,93,yes,yes,cellular,2,failure,no
3906,blue-collar,1730,yes,no,cellular,1,failure,yes
3029,blue-collar,1020,yes,no,unknown,1,unknown,no
2934,blue-collar,3832,yes,no,unknown,13,unknown,no
3313,admin.,817,yes,yes,cellular,1,unknown,no
283,blue-collar,-565,yes,no,unknown,3,unknown,no
211,management,276,no,no,cellular,5,unknown,no
2203,management,2454,yes,no,cellular,3,failure,yes
3444,management,2671,no,no,cellular,4,unknown,yes
3762,management,355,no,no,cellular,3,unknown,no
7411,unknown,179,no,no,cellular,8,unknown,no
92,management,131,yes,no,cellular,6,unknown,yes
3973,admin.,1954,yes,yes,cellular,2,failure,no
3510,services,322,yes,no,cellular,1,failure,no
6260,technician,4568,no,no,unknown,1,unknown,no
3334,management,124,no,no,cellular,2,unknown,no
1024,admin.,-218,yes,no,unknown,15,unknown,no
7173,management,866,no,no,cellular,2,unknown,yes
3649,blue-collar,-97,yes,no,unknown,2,unknown,no
1052,technician,147,yes,no,unknown,1,unknown,no
1113,management,3770,no,no,cellular,2,unknown,no
6519,self-employed,3676,no,no,cellular,1,unknown,yes
5165,blue-collar,3310,no,no,cellular,1,failure,no
4983,blue-collar,509,yes,no,cellular,1,unknown,no
7139,blue-collar,461,yes,no,unknown,2,unknown,no
7291,management,3696,no,no,unknown,3,unknown,no
5278,management,1624,no,no,cellular,3,success,yes
4848,admin.,0,yes,no,unknown,2,unknown,no
4012,student,302,no,no,cellular,1,unknown,yes
7344,technician,253,yes,no,cellular,1,failure,no
4710,management,393,yes,no,cellular,2,unknown,yes
2532,services,2925,yes,no,unknown,4,unknown,no
5668,student,6036,no,no,cellular,1,failure,yes
2757,management,-461,yes,no,unknown,2,unknown,no
6453,management,1744,no,no,unknown,1,unknown,no
1902,technician,1631,yes,no,cellular,2,unknown,no
6870,management,0,yes,yes,cellular,2,other,no
4328,housemaid,113,yes,no,cellular,2,unknown,yes
6703,retired,1388,no,no,cellular,3,success,no
7136,services,772,yes,no,cellular,2,success,no
3532,technician,629,yes,no,cellular,1,unknown,no
1384,admin.,0,no,no,cellular,1,unknown,no
4865,admin.,393,yes,no,unknown,1,unknown,no
2807,blue-collar,62,yes,no,cellular,3,unknown,yes
6461,technician,800,yes,no,unknown,4,unknown,no
1846,blue-collar,1156,yes,no,unknown,2,unknown,no
2736,blue-collar,-191,yes,no,unknown,7,unknown,yes
1649,technician,128,no,yes,cellular,1,other,no
3251,management,6659,yes,no,unknown,1,unknown,no
125,blue-collar,409,yes,no,cellular,2,unknown,yes
2778,services,130,yes,no,cellular,1,unknown,no
2669,blue-collar,-27,no,no,unknown,2,unknown,yes
3341,technician,360,no,no,cellular,2,unknown,yes
1538,technician,235,no,no,cellular,2,other,yes
4504,blue-collar,9328,yes,no,cellular,3,unknown,yes
3712,services,1934,no,no,cellular,1,unknown,yes
7056,technician,484,yes,no,cellular,3,success,yes
1226,services,504,yes,no,cellular,5,other,no
6807,management,229,yes,no,unknown,1,unknown,no
606,services,2678,no,no,cellular,2,success,yes
5520,blue-collar,-529,yes,no,cellular,4,unknown,no
2373,housemaid,0,no,no,cellular,1,failure,yes
1412,technician,1938,no,yes,cellular,3,unknown,yes
4871,admin.,1536,no,no,cellular,1,failure,yes
1579,services,109,yes,no,unknown,13,unknown,no
3991,blue-collar,443,yes,no,unknown,5,unknown,yes
4072,admin.,1235,yes,yes,unknown,3,unknown,no
5781,services,318,no,no,cellular,2,unknown,no
1338,services,1636,yes,no,cellular,1,failure,no
5868,admin.,1396,yes,no,cellular,2,unknown,no
2489,management,1058,yes,no,unknown,2,unknown,yes
801,retired,0,no,no,cellular,2,unknown,no
7391,services,775,no,no,cellular,2,unknown,yes
780,management,409,no,yes,cellular,5,unknown,yes
3946,technician,489,yes,no,cellular,4,unknown,yes
6357,retired,5769,no,no,unknown,3,unknown,no
5232,self-employed,0,no,no,cellular,4,unknown,no
1076,services,1808,yes,no,cellular,2,unknown,no
7058,technician,1165,no,no,cellular,2,success,yes
2836,technician,385,no,no,cellular,1,failure,yes
6120,entrepreneur,73,yes,no,cellular,1,failure,no
3540,management,1380,no,no,cellular,1,unknown,yes
2767,management,216,no,no,cellular,1,unknown,no
7098,technician,328,yes,yes,cellular,1,unknown,no
3576,technician,120,yes,no,cellular,1,unknown,no
2562,retired,6027,no,no,cellular,2,failure,yes
3028,blue-collar,6004,yes,no,cellular,6,unknown,no
6081,management,51,yes,no,cellular,8,unknown,no
1927,retired,203,no,no,cellular,1,unknown,yes
5404,management,1778,no,no,cellular,1,failure,yes
5141,services,221,no,yes,cellular,1,unknown,no
4107,unemployed,111,no,no,cellular,1,unknown,yes
5409,unemployed,209,no,no,unknown,1,unknown,no
2122,blue-collar,51,no,yes,telephone,1,unknown,no
3730,admin.,59,yes,no,cellular,8,unknown,yes
3309,retired,1542,yes,no,unknown,1,unknown,yes
4653,self-employed,0,no,yes,telephone,2,unknown,no
7083,entrepreneur,860,yes,yes,cellular,2,failure,no
5984,blue-collar,116,no,no,unknown,1,unknown,yes
6841,blue-collar,292,no,no,cellular,1,unknown,yes
674,management,596,no,no,cellular,4,unknown,no
1264,blue-collar,320,yes,no,cellular,1,success,yes
7388,services,4500,yes,no,cellular,2,unknown,yes
3864,admin.,1388,yes,no,cellular,5,unknown,no
2835,management,574,yes,no,cellular,3,unknown,no
4251,entrepreneur,606,yes,no,cellular,1,unknown,no
5705,unemployed,1664,no,no,cellular,1,success,yes
4873,self-employed,1074,yes,no,unknown,2,unknown,no
7183,services,1305,no,no,cellular,1,unknown,no
3517,services,386,no,no,cellular,1,success,yes
5306,technician,294,yes,no,cellular,1,success,yes
3929,blue-collar,1238,yes,no,unknown,1,unknown,no
5217,blue-collar,842,yes,no,telephone,1,unknown,yes
5592,management,0,no,no,cellular,2,unknown,no
3780,self-employed,746,no,no,unknown,3,unknown,no
1068,management,238,no,no,cellular,1,unknown,yes
616,blue-collar,-97,yes,no,cellular,4,failure,no
6152,admin.,46,yes,no,unknown,2,unknown,no
3031,entrepreneur,3057,no,no,unknown,4,unknown,yes
5916,student,2488,no,no,cellular,2,other,yes
7147,management,4069,no,no,cellular,1,unknown,yes
3457,management,3091,yes,no,unknown,4,unknown,no
1800,self-employed,42,yes,no,cellular,1,unknown,yes
580,management,1496,yes,no,cellular,4,unknown,no
1174,services,3536,no,no,cellular,6,unknown,no
511,housemaid,465,yes,no,cellular,3,unknown,yes
6037,technician,6843,no,no,cellular,1,other,yes
7322,unemployed,1291,no,no,cellular,1,success,yes
6469,services,1167,yes,yes,cellular,1,unknown,no
3763,admin.,-51,no,yes,cellular,1,unknown,no
3278,blue-collar,0,no,no,unknown,2,unknown,no
763,blue-collar,1730,yes,no,cellular,1,unknown,yes
7318,management,-63,no,yes,cellular,1,unknown,no
1471,entrepreneur,46,no,no,cellular,1,unknown,no
5474,retired,493,no,no,cellular,1,failure,no
4772,blue-collar,484,no,no,cellular,1,failure,yes
4926,services,466,yes,yes,cellular,1,unknown,yes
3337,admin.,3730,yes,no,cellular,1,unknown,yes
1844,entrepreneur,301,yes,no,cellular,1,unknown,no
3226,services,1820,yes,no,cellular,1,unknown,yes
7137,student,329,no,no,cellular,2,unknown,yes
1211,blue-collar,597,no,no,cellular,6,unknown,yes
6361,management,81,no,no,cellular,1,unknown,no
5951,entrepreneur,3676,yes,yes,unknown,1,unknown,no
6888,admin.,396,yes,no,cellular,3,failure,yes
646,admin.,6979,yes,no,cellular,5,unknown,no
5841,blue-collar,974,yes,no,unknown,2,unknown,no
1427,management,0,yes,no,cellular,1,unknown,no
4670,management,431,no,no,cellular,1,unknown,no
1101,blue-collar,7051,no,yes,cellular,13,unknown,no
645,management,49,no,yes,cellular,1,unknown,no
717,blue-collar,885,yes,no,cellular,6,unknown,yes
6442,technician,3350,yes,no,cellular,1,other,no
4852,admin.,144,no,yes,cellular,1,unknown,no
63,services,-327,yes,no,unknown,1,unknown,no
4230,management,417,yes,no,cellular,1,failure,yes
1396,technician,179,no,no,cellular,3,unknown,no
6051,management,792,yes,no,unknown,4,unknown,yes
4125,management,1609,no,no,cellular,2,unknown,yes
5559,technician,2283,yes,no,cellular,2,unknown,no
6041,management,0,no,no,cellular,4,unknown,no
2569,technician,751,yes,no,unknown,4,unknown,no
392,unemployed,236,no,no,cellular,1,failure,yes
3984,blue-collar,1513,no,yes,cellular,1,unknown,no
2339,admin.,8781,yes,no,cellular,1,success,yes
2517,technician,559,no,no,cellular,2,unknown,no
3840,blue-collar,700,yes,no,telephone,4,unknown,no
2403,blue-collar,262,no,no,cellular,2,success,yes
4267,blue-collar,640,yes,no,cellular,1,success,yes
1218,admin.,752,yes,no,cellular,2,failure,yes
5453,management,5397,no,no,cellular,1,success,yes
5100,management,6784,no,no,cellular,1,other,yes
2467,technician,1313,no,no,cellular,4,unknown,no
2729,technician,1855,no,no,cellular,2,other,yes
1194,retired,508,no,no,cellular,1,unknown,yes
3554,blue-collar,8,no,no,telephone,5,unknown,no
4917,admin.,1967,yes,no,cellular,1,failure,no
3756,blue-collar,7119,no,yes,telephone,3,unknown,yes
7237,management,736,yes,no,cellular,2,other,yes
4506,blue-collar,10984,no,no,unknown,18,unknown,no
3497,technician,180,no,no,cellular,1,success,no
1420,services,-291,yes,yes,unknown,1,unknown,yes
5865,blue-collar,185,no,no,unknown,1,unknown,no
703,blue-collar,0,yes,no,unknown,1,unknown,no
3454,self-employed,2305,no,no,cellular,2,unknown,no
1719,technician,4787,yes,no,cellular,1,failure,no
3589,technician,-50,no,no,cellular,12,unknown,no
2589,management,0,yes,no,cellular,1,unknown,no
4704,retired,6307,yes,no,unknown,1,unknown,no
5501,blue-collar,1348,yes,no,cellular,2,unknown,yes
802,admin.,96,no,no,cellular,1,failure,yes
924,technician,719,yes,no,cellular,2,failure,yes
5928,blue-collar,284,yes,yes,cellular,2,failure,no
3014,student,357,no,no,cellular,3,unknown,no
1287,student,108,no,no,cellular,1,success,yes
5938,self-employed,1249,yes,no,cellular,1,unknown,yes
6953,unemployed,270,yes,no,unknown,1,unknown,no
5747,management,0,no,yes,unknown,1,unknown,yes
1317,management,1720,no,no,cellular,1,success,yes
1012,retired,1861,no,no,telephone,2,unknown,no
2391,blue-collar,118,yes,no,cellular,1,unknown,yes
4109,management,17,no,no,cellular,4,unknown,no
619,technician,719,yes,no,cellular,1,failure,no
3064,entrepreneur,663,no,no,cellular,1,unknown,yes
5893,unemployed,817,no,no,cellular,3,success,yes
5000,student,1298,no,no,cellular,1,unknown,yes
13,technician,88,no,no,cellular,2,success,yes
289,admin.,0,no,no,cellular,6,unknown,no
6214,admin.,11,yes,no,cellular,4,unknown,no
7254,admin.,260,yes,no,cellular,1,success,yes
6564,self-employed,2666,no,no,cellular,1,unknown,yes
5590,management,76,no,no,cellular,1,unknown,yes
5511,admin.,163,yes,yes,unknown,1,unknown,yes
1469,services,454,yes,no,cellular,1,unknown,yes
734,admin.,556,yes,yes,unknown,3,unknown,yes
4717,technician,1221,yes,yes,cellular,7,unknown,no
75,blue-collar,157,yes,no,cellular,2,unknown,no
5309,technician,4389,no,no,telephone,2,success,yes
5992,blue-collar,0,no,no,cellular,1,unknown,no
3032,management,26,no,no,cellular,2,unknown,yes
6981,management,299,no,no,cellular,3,unknown,no
6650,management,11891,no,no,cellular,1,unknown,yes
1706,admin.,252,yes,no,cellular,1,unknown,no
2655,self-employed,11494,no,no,cellular,1,unknown,no
5107,technician,827,no,yes,unknown,2,unknown,no
4586,management,0,yes,no,telephone,1,failure,yes
366,retired,275,no,no,cellular,1,unknown,yes
3606,self-employed,84,no,no,cellular,4,unknown,no
4920,entrepreneur,-31,yes,no,cellular,2,unknown,no
946,management,53,yes,no,cellular,17,unknown,no
561,management,313,no,no,telephone,1,unknown,yes
71,services,1716,yes,no,cellular,1,unknown,no
6429,technician,27,yes,no,cellular,1,other,yes
3390,retired,-492,no,yes,unknown,1,unknown,no
2941,retired,279,no,no,cellular,3,unknown,yes
1192,student,235,no,no,cellular,1,success,yes
5689,management,2974,yes,no,cellular,1,failure,yes
669,admin.,616,yes,no,unknown,2,unknown,no
5026,services,983,yes,no,cellular,2,failure,yes
2088,admin.,2290,yes,no,cellular,1,unknown,yes
6530,unemployed,959,no,no,telephone,2,unknown,yes
4261,services,2166,yes,no,unknown,17,unknown,no
2814,technician,1855,yes,no,unknown,1,unknown,no
7170,management,474,no,no,cellular,5,other,yes
5551,self-employed,3560,no,no,unknown,2,unknown,no
5775,retired,6102,yes,yes,unknown,6,unknown,no
1044,services,313,yes,no,unknown,2,unknown,yes
5335,self-employed,1214,no,no,cellular,2,unknown,no
1925,admin.,15,no,yes,cellular,1,unknown,no
1213,management,1133,yes,no,cellular,1,unknown,no
1133,services,12,no,no,cellular,1,failure,yes
5219,blue-collar,-382,yes,no,cellular,2,unknown,no
2636,self-employed,290,no,yes,cellular,3,unknown,no
4147,technician,1011,yes,no,unknown,1,unknown,no
5872,technician,174,no,no,telephone,4,unknown,no
4657,admin.,221,yes,no,unknown,2,unknown,no
3077,services,2022,no,no,cellular,4,unknown,yes
3133,management,0,no,no,cellular,1,unknown,no
2268,student,294,no,no,cellular,1,success,yes
2486,admin.,437,yes,no,cellular,2,success,yes
6042,unemployed,582,yes,no,cellular,2,unknown,yes
7118,management,782,no,yes,cellular,2,unknown,no
6020,blue-collar,22,yes,no,unknown,1,unknown,no
5487,blue-collar,388,yes,no,cellular,2,unknown,no
2816,student,151,yes,no,unknown,1,unknown,no
141,management,175,yes,no,cellular,4,other,no
5156,management,2987,yes,no,cellular,1,unknown,yes
4878,management,2679,no,no,cellular,3,unknown,yes
1182,housemaid,352,no,yes,unknown,2,unknown,no
1081,technician,450,no,yes,cellular,4,unknown,no
1949,retired,1973,no,no,telephone,3,unknown,yes
1059,admin.,1872,no,no,cellular,2,failure,yes
2025,blue-collar,3140,yes,no,unknown,9,unknown,no
7398,management,465,yes,no,cellular,1,unknown,yes
3019,blue-collar,272,no,no,cellular,1,failure,yes
5643,management,205,no,no,cellular,1,unknown,no
4195,blue-collar,943,yes,no,unknown,3,unknown,no
6099,management,21,yes,no,cellular,2,unknown,no
1417,services,0,yes,no,cellular,1,unknown,no
824,technician,-938,yes,no,cellular,1,failure,no
1882,management,1387,yes,no,unknown,5,unknown,no
4190,admin.,1141,yes,no,cellular,1,failure,no
5677,blue-collar,751,yes,yes,cellular,1,unknown,yes
3845,student,1102,no,no,telephone,1,unknown,yes
1877,management,145,no,yes,unknown,1,unknown,no
5534,blue-collar,-276,yes,no,cellular,1,unknown,yes
1079,technician,636,yes,no,cellular,4,unknown,yes
1304,technician,883,no,no,cellular,3,unknown,no
2803,retired,-152,yes,yes,unknown,11,unknown,no
1562,self-employed,517,no,no,cellular,4,unknown,no
756,technician,788,no,no,unknown,7,unknown,no
3881,blue-collar,292,no,no,cellular,1,success,yes
27,blue-collar,1025,yes,no,unknown,1,unknown,no
436,blue-collar,1401,no,no,cellular,1,unknown,yes
1000,management,1510,yes,no,unknown,1,unknown,no
1813,entrepreneur,-456,yes,yes,unknown,7,unknown,no
4924,technician,84,yes,yes,cellular,1,unknown,yes
