,age,balance,contact,campaign,pdays,poutcome,deposit
2486,37,0,unknown,6,-1,unknown,yes
4653,55,73,unknown,2,-1,unknown,no
5552,23,691,cellular,1,178,success,yes
3215,42,1064,cellular,2,-1,unknown,no
6524,30,265,unknown,10,-1,unknown,no
3378,70,3782,cellular,1,-1,unknown,no
4060,48,606,cellular,6,-1,unknown,no
7230,55,797,cellular,2,-1,unknown,no
1519,49,598,cellular,6,-1,unknown,no
5368,46,0,cellular,2,-1,unknown,yes
5143,22,691,cellular,1,-1,unknown,yes
4641,60,14,cellular,4,178,failure,no
2679,31,355,cellular,1,-1,unknown,yes
6248,43,3578,cellular,2,-1,unknown,no
3792,43,0,unknown,12,-1,unknown,no
5548,30,655,cellular,2,-1,unknown,yes
5230,47,866,unknown,7,-1,unknown,no
3891,24,474,cellular,1,-1,unknown,yes
4247,60,514,cellular,2,213,success,yes
2052,54,284,telephone,5,-1,unknown,no
4389,49,1235,cellular,3,-1,unknown,yes
4255,24,9883,cellular,5,-1,unknown,yes
4101,38,4335,cellular,1,-1,unknown,no
5723,50,3654,cellular,2,78,other,yes
1588,29,-309,unknown,1,-1,unknown,no
1542,42,1301,cellular,6,-1,unknown,no
2369,36,-206,unknown,2,-1,unknown,no
2942,55,-40,unknown,2,-1,unknown,no
6625,35,377,cellular,13,-1,unknown,no
1496,29,104,cellular,4,-1,unknown,yes
5569,32,0,unknown,1,-1,unknown,no
1918,36,1354,cellular,1,356,success,yes
363,46,111,cellular,3,183,other,no
266,43,693,unknown,3,-1,unknown,no
1390,40,419,cellular,1,369,failure,no
1212,49,443,unknown,11,-1,unknown,no
5943,35,2779,cellular,2,-1,unknown,yes
4652,34,21,cellular,1,92,failure,no
6102,44,1818,cellular,1,92,failure,yes
1560,34,291,cellular,2,-1,unknown,no
6066,55,179,unknown,1,-1,unknown,no
3526,31,111,cellular,2,93,failure,yes
3145,45,603,cellular,1,-1,unknown,no
3364,95,2282,telephone,17,-1,unknown,yes
966,48,112,cellular,5,-1,unknown,no
2524,38,132,cellular,2,-1,unknown,no
4419,31,676,cellular,1,-1,unknown,yes
1629,39,186,unknown,3,-1,unknown,no
331,27,21,cellular,1,356,failure,no
3631,36,3579,cellular,2,-1,unknown,no
5692,40,160,cellular,3,-1,unknown,no
947,35,2452,unknown,2,-1,unknown,no
2433,32,-1,unknown,1,-1,unknown,yes
1256,24,235,cellular,1,92,success,yes
3599,33,1117,cellular,1,-1,unknown,yes
6936,32,937,cellular,1,94,failure,no
5501,56,444,unknown,1,-1,unknown,no
7324,39,270,unknown,1,-1,unknown,no
1853,36,403,unknown,1,-1,unknown,yes
1358,26,2786,cellular,2,72,success,yes
282,32,1504,cellular,2,-1,unknown,no
4985,23,665,unknown,1,-1,unknown,yes
3829,35,777,cellular,1,-1,unknown,no
6264,31,3540,cellular,1,-1,unknown,no
2148,31,46,cellular,1,-1,unknown,yes
1010,54,1664,cellular,3,-1,unknown,yes
5238,34,2733,cellular,1,-1,unknown,yes
7033,45,1794,unknown,2,-1,unknown,no
774,50,19,cellular,1,-1,unknown,no
1376,31,924,cellular,1,94,success,yes
5228,66,3701,telephone,1,-1,unknown,yes
2025,58,1636,cellular,1,-1,unknown,no
6495,20,755,cellular,1,-1,unknown,yes
6134,40,1238,telephone,2,-1,unknown,no
7749,33,-479,cellular,1,-1,unknown,no
3186,56,2087,unknown,1,-1,unknown,no
4597,33,3160,unknown,13,-1,unknown,no
4186,26,632,cellular,3,181,success,yes
5499,50,888,telephone,3,-1,unknown,no
1740,36,8564,unknown,1,-1,unknown,no
6653,29,2929,cellular,1,89,other,yes
6520,27,2855,cellular,1,301,failure,yes
1713,34,0,cellular,1,99,success,yes
2702,75,6027,cellular,2,94,failure,yes
5486,75,3324,cellular,1,-1,unknown,no
6409,36,-115,cellular,4,182,other,yes
7499,39,304,unknown,1,-1,unknown,no
789,76,4984,telephone,1,182,success,yes
5593,31,31868,telephone,6,-1,unknown,no
893,34,-374,cellular,1,-1,unknown,yes
5511,46,2551,cellular,2,-1,unknown,yes
3560,52,659,cellular,4,93,success,yes
1661,35,432,cellular,8,-1,unknown,no
173,52,475,cellular,3,-1,unknown,no
6814,54,11,cellular,10,-1,unknown,no
5136,28,-227,unknown,2,-1,unknown,no
185,43,860,telephone,1,-1,unknown,yes
432,24,1030,cellular,2,-1,unknown,yes
6954,44,191,cellular,1,-1,unknown,no
7081,57,123,cellular,2,-1,unknown,no
1792,36,-92,cellular,3,-1,unknown,no
4078,41,1468,cellular,3,-1,unknown,yes
3821,40,0,cellular,1,185,failure,no
3453,71,5715,cellular,2,-1,unknown,yes
6724,42,473,cellular,1,-1,unknown,no
7262,39,702,cellular,1,300,failure,no
7509,59,417,cellular,2,-1,unknown,no
1241,53,3591,cellular,2,181,other,yes
2879,48,1060,cellular,2,318,failure,no
1703,56,61,cellular,1,-1,unknown,no
1572,37,332,cellular,2,84,failure,no
2970,35,648,cellular,2,-1,unknown,no
2948,35,0,cellular,11,-1,unknown,no
3850,49,486,telephone,5,-1,unknown,no
697,26,144,cellular,1,-1,unknown,no
6243,62,6,cellular,1,183,success,yes
523,56,2037,cellular,1,91,failure,yes
972,48,479,unknown,5,-1,unknown,no
2358,29,123,cellular,1,184,success,yes
4906,25,1919,cellular,1,351,failure,no
7547,42,976,cellular,1,-1,unknown,yes
6456,42,187,cellular,1,-1,unknown,no
3476,57,1841,telephone,1,-1,unknown,yes
7506,55,3450,cellular,1,183,failure,yes
3898,32,6983,cellular,1,-1,unknown,yes
7618,39,0,cellular,3,-1,unknown,yes
3052,49,320,telephone,4,-1,unknown,yes
3512,46,0,cellular,2,259,failure,no
6458,57,3754,cellular,2,-1,unknown,yes
7166,52,2251,unknown,9,-1,unknown,no
6123,32,62,telephone,1,-1,unknown,no
4560,68,2820,cellular,1,97,failure,yes
6763,30,482,cellular,1,-1,unknown,no
7222,25,894,unknown,1,-1,unknown,no
977,37,2283,cellular,2,98,failure,yes
6924,29,0,cellular,2,-1,unknown,no
5682,37,6101,cellular,1,-1,unknown,yes
3993,40,1327,unknown,2,-1,unknown,no
6012,34,297,cellular,4,-1,unknown,no
2339,44,0,unknown,1,-1,unknown,no
2906,38,11,unknown,3,-1,unknown,no
1845,33,1464,unknown,3,-1,unknown,yes
1064,51,2323,cellular,10,-1,unknown,no
2786,25,543,cellular,1,-1,unknown,no
243,38,441,cellular,1,-1,unknown,no
4533,48,4415,cellular,3,141,failure,yes
3611,56,411,unknown,4,-1,unknown,no
5827,31,279,unknown,1,-1,unknown,no
7248,29,1445,cellular,2,143,success,yes
3638,39,4314,cellular,4,-1,unknown,no
6866,50,706,cellular,4,-1,unknown,yes
5671,29,-7,cellular,3,-1,unknown,yes
3295,43,2640,cellular,4,-1,unknown,yes
3881,60,517,unknown,3,-1,unknown,no
3357,41,79,telephone,1,390,success,yes
1254,33,2364,cellular,1,-1,unknown,yes
4527,38,0,cellular,2,-1,unknown,no
4966,33,925,cellular,3,-1,unknown,no
375,28,3430,unknown,6,-1,unknown,no
921,34,-745,cellular,2,-1,unknown,no
7760,45,2657,cellular,3,-1,unknown,yes
1208,49,1904,cellular,2,-1,unknown,no
389,59,5583,cellular,1,-1,unknown,yes
822,27,204,cellular,2,-1,unknown,yes
5210,42,625,unknown,3,-1,unknown,yes
2626,32,506,cellular,2,-1,unknown,yes
6453,24,1809,cellular,1,95,success,yes
4052,32,1102,telephone,1,-1,unknown,yes
168,53,100,cellular,4,-1,unknown,no
3895,46,781,unknown,1,-1,unknown,no
5003,67,443,cellular,1,-1,unknown,yes
3674,33,801,cellular,5,-1,unknown,yes
881,28,913,unknown,2,-1,unknown,no
4537,54,0,telephone,2,106,success,no
3924,47,643,unknown,6,-1,unknown,no
552,29,196,cellular,2,-1,unknown,yes
1413,29,5903,unknown,1,-1,unknown,no
3091,39,3832,unknown,13,-1,unknown,no
3413,48,1573,cellular,1,-1,unknown,no
3008,36,490,cellular,8,98,failure,yes
1427,28,558,cellular,1,-1,unknown,no
589,27,5169,cellular,1,466,success,yes
289,27,567,cellular,3,182,success,yes
6858,44,-411,unknown,4,-1,unknown,yes
2365,32,284,cellular,3,-1,unknown,yes
5697,46,70,cellular,2,-1,unknown,yes
292,34,200,unknown,6,-1,unknown,no
3181,24,4126,cellular,4,185,failure,yes
7216,45,0,cellular,1,-1,unknown,no
7670,63,661,cellular,2,-1,unknown,no
265,59,1035,cellular,1,-1,unknown,no
2405,66,4041,cellular,2,-1,unknown,yes
5816,33,-81,cellular,2,-1,unknown,no
2635,38,4023,unknown,2,-1,unknown,no
7619,24,736,cellular,2,246,other,yes
7057,55,240,cellular,3,277,success,yes
4424,35,25,cellular,2,-1,unknown,no
2594,60,2060,cellular,1,88,other,no
4902,59,6212,cellular,2,-1,unknown,no
3360,51,-467,unknown,5,-1,unknown,no
6369,43,519,cellular,6,-1,unknown,no
4545,46,38,cellular,1,-1,unknown,yes
515,50,0,unknown,4,-1,unknown,no
3317,30,119,cellular,1,-1,unknown,no
6976,35,2427,cellular,3,31,success,yes
171,42,154,telephone,5,372,other,no
338,39,7066,cellular,3,357,other,yes
482,28,3290,cellular,2,-1,unknown,yes
1067,40,732,cellular,1,139,success,no
7658,33,1514,cellular,1,728,failure,yes
2268,42,-466,telephone,15,-1,unknown,no
5566,26,2532,cellular,1,-1,unknown,yes
2024,53,480,unknown,2,-1,unknown,yes
7433,31,8629,cellular,1,184,failure,yes
2254,46,281,cellular,1,-1,unknown,no
4720,34,34,cellular,1,-1,unknown,no
3351,30,309,unknown,2,-1,unknown,yes
1553,42,46,cellular,1,-1,unknown,no
5920,29,191,cellular,1,-1,unknown,no
5471,35,520,cellular,3,17,failure,yes
5782,32,388,cellular,2,-1,unknown,no
5595,54,990,cellular,2,-1,unknown,yes
6288,31,477,cellular,1,-1,unknown,no
1141,62,3371,cellular,1,178,success,yes
4470,45,11,cellular,5,-1,unknown,yes
1074,46,461,cellular,2,-1,unknown,yes
216,33,177,cellular,8,-1,unknown,no
2336,29,67,cellular,1,187,success,yes
4332,44,-4,cellular,2,-1,unknown,yes
680,31,2194,cellular,2,357,other,no
1028,54,962,cellular,3,-1,unknown,yes
2423,33,3572,cellular,2,-1,unknown,no
315,29,224,cellular,2,81,failure,yes
1925,43,794,cellular,3,-1,unknown,no
7350,29,841,cellular,1,-1,unknown,no
4066,49,518,cellular,2,-1,unknown,yes
4396,24,8165,cellular,1,-1,unknown,yes
6039,33,3576,cellular,1,308,other,no
353,33,697,cellular,2,-1,unknown,yes
1189,33,275,cellular,1,-1,unknown,no
3396,40,1248,unknown,2,-1,unknown,yes
5197,33,0,cellular,1,-1,unknown,no
5113,46,272,cellular,4,-1,unknown,no
2495,31,1761,telephone,3,440,failure,yes
7570,44,6203,unknown,1,-1,unknown,no
7477,55,204,cellular,2,-1,unknown,yes
3129,20,215,cellular,1,95,success,yes
1598,37,597,cellular,1,-1,unknown,yes
5620,43,3,unknown,3,-1,unknown,yes
6921,26,245,unknown,2,-1,unknown,no
2316,30,1466,cellular,4,-1,unknown,no
4521,49,2146,cellular,2,353,other,yes
1965,47,8229,cellular,2,-1,unknown,yes
3835,31,53,cellular,1,-1,unknown,yes
6555,45,1206,telephone,1,446,failure,yes
1023,55,-473,unknown,1,-1,unknown,no
5386,25,52,unknown,2,-1,unknown,yes
4635,57,0,unknown,8,-1,unknown,no
6097,29,940,cellular,1,-1,unknown,yes
1942,32,291,telephone,6,275,other,no
539,24,-126,unknown,2,-1,unknown,no
3588,46,2904,unknown,2,-1,unknown,yes
3695,48,368,cellular,2,140,success,yes
6359,30,9,cellular,2,205,failure,no
1072,51,289,unknown,5,-1,unknown,no
514,51,176,cellular,1,183,failure,no
5199,22,254,cellular,2,-1,unknown,yes
5619,45,854,cellular,1,-1,unknown,yes
6169,45,2813,cellular,1,-1,unknown,no
2126,53,1151,unknown,1,-1,unknown,no
7094,42,-321,cellular,2,-1,unknown,no
2370,60,364,unknown,2,-1,unknown,no
3205,21,524,cellular,1,-1,unknown,yes
6828,36,3740,cellular,1,-1,unknown,no
7319,37,375,unknown,2,-1,unknown,no
18,31,863,cellular,1,263,success,no
2351,36,1049,cellular,4,-1,unknown,yes
3269,42,-68,unknown,1,-1,unknown,no
954,58,2920,unknown,1,-1,unknown,no
2264,39,324,cellular,2,312,failure,no
7390,30,103,cellular,2,317,other,no
3752,54,8295,cellular,2,119,success,yes
4014,47,295,unknown,2,-1,unknown,yes
4768,48,0,cellular,4,182,success,yes
843,26,96,cellular,1,70,failure,yes
732,44,244,cellular,4,-1,unknown,yes
4598,55,568,cellular,10,-1,unknown,yes
2439,39,562,cellular,2,-1,unknown,no
1868,60,957,cellular,1,184,success,yes
126,53,36,unknown,1,417,success,yes
6887,34,520,cellular,4,-1,unknown,yes
335,29,70,cellular,1,-1,unknown,yes
1004,42,478,cellular,1,-1,unknown,no
6642,39,323,cellular,2,188,failure,yes
6941,25,12,cellular,6,-1,unknown,yes
6209,36,17,cellular,1,-1,unknown,no
7078,77,0,cellular,1,-1,unknown,yes
6373,37,792,unknown,4,-1,unknown,yes
4398,42,314,cellular,22,-1,unknown,no
4933,34,1494,cellular,1,182,other,yes
3801,31,84,cellular,4,-1,unknown,no
435,32,660,cellular,2,490,failure,yes
6588,29,482,cellular,3,-1,unknown,yes
3420,53,252,cellular,4,-1,unknown,yes
1061,56,830,unknown,1,-1,unknown,yes
639,46,660,cellular,2,-1,unknown,yes
2123,26,141,cellular,4,349,other,no
897,55,517,cellular,3,263,failure,no
6402,34,-32,cellular,2,-1,unknown,yes
424,68,2469,telephone,2,-1,unknown,yes
5154,57,658,cellular,1,-1,unknown,yes
2610,34,1759,cellular,1,-1,unknown,yes
5890,29,25,unknown,2,-1,unknown,no
3852,41,1043,unknown,1,-1,unknown,no
3632,45,2671,cellular,4,-1,unknown,yes
5630,28,170,unknown,1,-1,unknown,no
4786,25,192,telephone,2,-1,unknown,no
2905,66,203,cellular,1,195,success,yes
6247,82,121,telephone,1,-1,unknown,yes
3905,50,4979,telephone,1,-1,unknown,yes
1111,21,123,telephone,1,91,success,yes
619,37,57,cellular,2,84,success,no
2271,35,0,cellular,3,280,other,no
6375,32,705,cellular,2,35,failure,yes
5323,36,973,unknown,1,-1,unknown,no
1951,42,324,cellular,3,-1,unknown,no
3818,64,661,cellular,2,294,failure,yes
7080,34,577,unknown,1,-1,unknown,no
2482,36,4721,cellular,1,92,success,yes
6868,33,706,cellular,1,322,failure,no
7548,36,368,unknown,2,-1,unknown,yes
6733,56,3287,cellular,1,-1,unknown,yes
7453,42,-411,cellular,3,-1,unknown,no
7536,51,0,unknown,1,-1,unknown,yes
3923,34,2047,cellular,5,-1,unknown,no
7382,48,1000,unknown,2,-1,unknown,yes
3772,38,633,cellular,3,-1,unknown,no
1407,40,2805,cellular,6,353,failure,no
6266,40,3676,unknown,1,-1,unknown,no
2105,30,1239,cellular,5,-1,unknown,no
1693,38,602,unknown,12,-1,unknown,no
2015,35,1224,cellular,1,-1,unknown,yes
4468,27,15161,cellular,1,120,success,yes
7151,40,4157,unknown,1,-1,unknown,no
4608,47,761,cellular,2,-1,unknown,no
3266,45,-11,cellular,1,-1,unknown,no
890,37,1506,cellular,3,80,success,no
2319,41,75,unknown,9,-1,unknown,yes
1478,35,0,cellular,4,-1,unknown,no
3717,40,79,cellular,1,135,failure,yes
1200,76,2991,cellular,1,183,success,yes
2240,48,1596,unknown,1,-1,unknown,yes
5220,62,780,cellular,2,-1,unknown,yes
2035,40,518,telephone,1,-1,unknown,no
4504,41,653,telephone,2,-1,unknown,no
4972,39,175,unknown,2,-1,unknown,no
1146,46,137,unknown,1,-1,unknown,no
612,34,0,cellular,1,-1,unknown,no
3769,30,120,cellular,1,-1,unknown,no
1191,40,-357,cellular,4,-1,unknown,yes
5253,54,-315,cellular,1,-1,unknown,yes
2672,35,2971,cellular,4,164,failure,yes
1566,46,488,unknown,1,-1,unknown,no
3845,32,4612,cellular,4,-1,unknown,no
4375,29,79,unknown,2,-1,unknown,no
6839,61,6016,cellular,3,-1,unknown,yes
6913,57,254,cellular,1,-1,unknown,yes
1516,73,2575,cellular,1,-1,unknown,no
237,33,5,cellular,2,-1,unknown,yes
6068,30,39,cellular,3,-1,unknown,no
1882,40,1509,cellular,1,58,failure,no
3253,42,1080,cellular,3,370,failure,yes
2544,38,1875,cellular,1,-1,unknown,no
3564,47,12026,telephone,1,-1,unknown,yes
3894,40,3652,unknown,2,-1,unknown,yes
545,30,141,cellular,2,-1,unknown,no
3737,37,197,unknown,3,-1,unknown,no
1969,36,-20,unknown,3,-1,unknown,no
6905,59,3648,telephone,2,126,success,yes
4335,60,-639,cellular,1,-1,unknown,yes
5051,24,1033,cellular,1,-1,unknown,no
2733,30,4,unknown,2,-1,unknown,no
7004,45,226,cellular,6,179,success,yes
6124,63,115,telephone,1,180,failure,yes
6125,53,111,unknown,3,-1,unknown,no
280,32,3166,cellular,3,-1,unknown,no
4155,27,25,unknown,1,-1,unknown,no
6052,26,222,cellular,1,120,success,yes
1653,42,803,unknown,2,-1,unknown,no
7510,68,2820,cellular,1,92,success,no
2704,39,291,cellular,2,-1,unknown,yes
2125,37,7620,telephone,1,176,failure,yes
6121,28,1584,cellular,2,-1,unknown,yes
7194,55,512,cellular,2,-1,unknown,yes
4449,42,3717,unknown,1,-1,unknown,no
2071,51,1869,unknown,3,-1,unknown,no
4709,43,2145,cellular,2,95,success,yes
997,33,8,cellular,2,-1,unknown,no
1998,41,0,cellular,5,-1,unknown,yes
1589,40,1077,cellular,2,-1,unknown,no
7028,56,5310,unknown,1,-1,unknown,no
7561,60,5,cellular,1,-1,unknown,yes
3859,34,2064,unknown,2,-1,unknown,no
855,50,816,cellular,1,-1,unknown,no
4866,27,771,cellular,1,302,other,yes
2637,42,1673,cellular,3,-1,unknown,yes
1840,54,390,cellular,5,-1,unknown,no
7264,27,643,telephone,1,93,success,yes
7110,39,902,cellular,2,180,failure,yes
7263,33,62,cellular,3,-1,unknown,yes
7159,39,2467,cellular,2,276,other,yes
5396,26,463,cellular,2,-1,unknown,yes
599,40,402,unknown,3,-1,unknown,no
6315,33,447,unknown,2,-1,unknown,no
1157,36,92,cellular,7,-1,unknown,yes
4683,39,398,cellular,1,-1,unknown,no
4872,33,369,cellular,10,-1,unknown,no
4373,48,201,cellular,1,-1,unknown,yes
7462,37,144,cellular,2,-1,unknown,no
7227,60,0,unknown,1,-1,unknown,no
730,27,2781,cellular,1,389,failure,yes
7022,34,-276,unknown,3,-1,unknown,no
2746,56,230,unknown,4,-1,unknown,no
931,26,255,cellular,1,80,success,yes
1663,54,0,cellular,1,98,failure,yes
5425,39,1363,cellular,3,-1,unknown,no
4594,46,4176,unknown,6,-1,unknown,no
3810,30,5359,cellular,1,98,success,yes
6919,30,2666,cellular,1,-1,unknown,yes
2749,30,-366,cellular,1,-1,unknown,yes
333,56,0,cellular,1,-1,unknown,no
5722,38,0,unknown,1,-1,unknown,no
5119,43,2682,cellular,8,-1,unknown,no
3758,35,1227,cellular,4,90,other,yes
1274,33,934,unknown,2,-1,unknown,no
357,34,1279,cellular,3,91,success,yes
2197,37,0,cellular,4,149,other,no
1858,33,7608,cellular,4,-1,unknown,yes
2660,53,5261,cellular,3,-1,unknown,no
7302,30,3384,cellular,2,-1,unknown,yes
1807,64,571,cellular,2,-1,unknown,yes
1289,36,-393,telephone,4,-1,unknown,no
2156,60,1690,cellular,11,-1,unknown,no
5526,33,5083,cellular,1,96,other,no
1856,32,-770,cellular,1,-1,unknown,yes
2754,42,-700,unknown,1,-1,unknown,no
983,41,-378,cellular,1,253,failure,no
781,34,384,cellular,2,-1,unknown,no
3871,58,2183,cellular,1,-1,unknown,no
4511,28,153,cellular,2,-1,unknown,yes
7388,46,716,cellular,1,172,failure,no
1795,32,14522,cellular,7,-1,unknown,no
6235,37,309,cellular,3,-1,unknown,no
2946,37,228,cellular,2,-1,unknown,no
2973,23,113,cellular,1,-1,unknown,yes
3873,54,316,cellular,1,-1,unknown,no
4759,36,3296,cellular,1,-1,unknown,no
241,40,1412,cellular,3,-1,unknown,no
5676,58,1241,cellular,2,-1,unknown,yes
2388,48,23495,cellular,8,-1,unknown,no
7411,32,0,cellular,4,-1,unknown,yes
2315,28,3,cellular,2,148,other,no
6417,46,-29,unknown,1,-1,unknown,no
7762,51,7816,unknown,2,-1,unknown,no
4725,26,1595,cellular,1,105,failure,yes
1253,57,0,cellular,1,-1,unknown,no
1194,34,978,cellular,1,-1,unknown,yes
297,43,107,telephone,1,-1,unknown,yes
5077,63,3904,telephone,2,187,success,yes
5966,42,-1386,cellular,4,-1,unknown,no
1541,23,486,cellular,1,-1,unknown,no
2758,41,188,telephone,25,-1,unknown,no
6360,33,250,cellular,6,-1,unknown,yes
5503,31,23,cellular,1,-1,unknown,no
6742,40,985,cellular,3,50,failure,yes
4110,36,1655,cellular,2,-1,unknown,no
20,48,2597,cellular,2,355,failure,no
1262,43,132,cellular,2,71,success,yes
2345,27,2486,unknown,1,-1,unknown,yes
6469,30,9645,cellular,10,-1,unknown,no
3715,39,2644,unknown,1,-1,unknown,no
4284,37,1543,cellular,1,10,failure,yes
1366,28,708,unknown,5,-1,unknown,no
3781,29,1026,cellular,1,92,other,yes
5182,41,0,unknown,2,-1,unknown,no
6040,40,750,cellular,1,281,failure,no
2987,58,3399,cellular,1,97,other,yes
4525,25,-375,cellular,2,-1,unknown,no
6797,66,2883,cellular,1,-1,unknown,yes
1779,50,383,telephone,2,-1,unknown,no
1375,34,883,cellular,3,-1,unknown,no
7111,37,141,cellular,1,364,failure,yes
5362,39,507,cellular,4,-1,unknown,no
869,35,4366,unknown,3,-1,unknown,no
7049,34,416,cellular,4,-1,unknown,no
4327,33,1240,cellular,1,-1,unknown,yes
3278,42,146,cellular,4,346,failure,yes
4035,37,1330,cellular,1,-1,unknown,yes
2743,37,240,cellular,1,370,other,no
5305,47,290,cellular,2,-1,unknown,yes
1055,29,16,unknown,3,-1,unknown,no
397,31,0,unknown,1,782,other,yes
2633,34,16,telephone,1,119,other,yes
6309,29,0,cellular,1,-1,unknown,no
2986,63,896,cellular,2,-1,unknown,yes
2019,42,7735,cellular,1,144,failure,no
5046,43,6835,unknown,2,-1,unknown,no
3780,28,3623,cellular,1,-1,unknown,yes
2853,81,9224,telephone,2,-1,unknown,no
1030,27,1,cellular,3,-1,unknown,no
2725,33,55,cellular,2,87,failure,yes
2616,57,29207,telephone,2,-1,unknown,no
3590,33,808,cellular,16,-1,unknown,no
2508,55,2038,cellular,1,-1,unknown,yes
4203,47,0,telephone,1,-1,unknown,no
7603,75,3881,cellular,3,-1,unknown,yes
4970,39,1577,unknown,15,-1,unknown,no
6037,20,336,cellular,1,-1,unknown,no
2233,38,262,cellular,2,180,failure,yes
7568,45,0,cellular,2,-1,unknown,no
5219,39,444,cellular,2,-1,unknown,no
3023,36,177,unknown,5,-1,unknown,no
5531,33,94,cellular,2,-1,unknown,yes
1839,77,29340,cellular,1,91,other,yes
6808,59,4412,cellular,2,-1,unknown,yes
7162,36,2700,cellular,3,-1,unknown,no
5083,49,178,cellular,2,-1,unknown,no
1716,24,782,cellular,7,91,other,no
329,42,105,unknown,4,-1,unknown,yes
2930,35,4348,cellular,3,217,failure,no
7113,32,26,cellular,6,-1,unknown,no
986,34,67,unknown,1,-1,unknown,no
2779,53,290,cellular,3,-1,unknown,no
1273,42,-165,unknown,3,-1,unknown,no
7330,60,523,cellular,1,182,success,yes
4307,45,524,cellular,1,-1,unknown,yes
6284,44,964,cellular,2,-1,unknown,no
922,41,0,cellular,3,-1,unknown,yes
4428,52,1625,cellular,2,-1,unknown,yes
2376,32,272,cellular,2,-1,unknown,no
3876,55,154,telephone,2,367,failure,no
4465,66,0,cellular,1,-1,unknown,yes
3507,38,1130,cellular,2,98,success,yes
485,44,1138,cellular,3,-1,unknown,yes
3888,52,-38,unknown,1,-1,unknown,no
6298,36,21,telephone,1,-1,unknown,no
3623,35,557,cellular,4,-1,unknown,no
5826,40,1694,cellular,6,-1,unknown,yes
936,36,538,cellular,1,183,success,yes
884,58,3109,cellular,1,287,success,yes
2513,54,2171,telephone,1,-1,unknown,yes
5891,35,126,cellular,2,-1,unknown,no
5473,57,734,cellular,4,-1,unknown,yes
5955,30,12857,cellular,1,-1,unknown,yes
6810,55,3848,cellular,2,-1,unknown,yes
5485,35,0,cellular,1,96,success,yes
6528,38,968,cellular,1,-1,unknown,no
5737,65,952,cellular,1,-1,unknown,yes
2584,39,-96,telephone,6,-1,unknown,no
5709,32,70,unknown,6,-1,unknown,no
3027,38,0,cellular,1,-1,unknown,no
4376,30,140,cellular,1,-1,unknown,yes
4124,56,9367,telephone,2,92,success,yes
5354,38,145,unknown,2,-1,unknown,no
677,37,49,cellular,1,-1,unknown,no
6703,60,1900,unknown,3,-1,unknown,no
4199,38,530,cellular,3,-1,unknown,no
6989,33,1974,cellular,2,191,failure,yes
13,53,341,cellular,2,-1,unknown,yes
346,49,1314,cellular,14,-1,unknown,yes
4344,37,3517,unknown,1,-1,unknown,no
849,39,517,unknown,1,-1,unknown,yes
1876,30,2424,cellular,1,95,success,yes
2109,50,810,cellular,3,-1,unknown,yes
7392,44,1945,unknown,1,-1,unknown,no
7582,30,2544,cellular,2,-1,unknown,yes
5661,37,197,cellular,1,91,success,yes
7702,37,1513,unknown,1,-1,unknown,no
6572,42,527,cellular,1,185,success,yes
1468,31,892,cellular,22,-1,unknown,no
2593,55,3334,cellular,4,-1,unknown,yes
1988,34,-78,unknown,1,-1,unknown,no
408,28,762,cellular,3,-1,unknown,yes
3627,35,526,cellular,2,-1,unknown,no
3187,34,23076,cellular,2,35,other,yes
2809,45,96,cellular,3,256,failure,yes
1749,34,-259,unknown,2,-1,unknown,no
1699,31,17924,cellular,3,-1,unknown,no
6892,36,332,cellular,7,-1,unknown,no
442,53,1796,telephone,1,91,success,yes
5914,45,5511,cellular,1,-1,unknown,yes
7320,47,545,cellular,3,-1,unknown,no
37,64,1612,cellular,1,89,failure,yes
604,56,191,cellular,3,-1,unknown,no
392,25,760,cellular,3,89,failure,yes
4885,46,336,cellular,3,457,other,yes
4041,40,7968,cellular,2,180,success,yes
2432,50,736,unknown,1,-1,unknown,no
4789,35,2646,cellular,1,182,success,yes
6570,55,2587,cellular,2,94,success,yes
3121,28,0,cellular,20,-1,unknown,yes
2341,21,682,cellular,1,-1,unknown,yes
2573,41,1076,cellular,2,391,other,no
3902,22,1,telephone,4,-1,unknown,no
7576,31,459,cellular,1,293,success,yes
6156,54,0,cellular,2,267,other,yes
1787,32,1942,unknown,9,-1,unknown,no
1681,35,771,cellular,5,-1,unknown,no
4954,58,0,unknown,4,-1,unknown,no
2118,42,83,cellular,5,358,failure,no
7728,33,644,cellular,2,271,failure,no
3503,35,410,cellular,2,-1,unknown,no
3506,33,294,cellular,1,-1,unknown,yes
6566,34,1006,cellular,3,195,other,yes
4605,27,0,cellular,3,-1,unknown,yes
1089,36,909,cellular,3,-1,unknown,no
3990,29,590,cellular,1,-1,unknown,yes
3738,55,3917,cellular,1,-1,unknown,yes
6286,60,553,cellular,1,210,success,no
3174,36,0,cellular,5,-1,unknown,no
4342,42,-556,cellular,3,347,failure,yes
4698,40,-839,cellular,2,-1,unknown,yes
2730,32,720,cellular,4,-1,unknown,no
7777,56,827,telephone,4,-1,unknown,yes
1927,29,-254,cellular,2,-1,unknown,yes
5686,31,-209,cellular,3,367,failure,no
7596,27,232,cellular,2,-1,unknown,yes
4236,49,-1965,telephone,2,-1,unknown,no
145,47,321,unknown,1,-1,unknown,no
2829,69,2473,cellular,3,-1,unknown,yes
7015,38,1478,cellular,4,-1,unknown,yes
2871,40,49,cellular,1,-1,unknown,no
1932,34,544,unknown,2,-1,unknown,no
