,age,job,balance,contact,month,campaign,pdays,poutcome,education,day,duration,previous,deposit
6069,41,blue-collar,664,cellular,jul,5,-1,unknown,primary,15,955,0,1
7149,31,management,1224,cellular,nov,2,119,success,tertiary,20,75,2,0
3142,32,technician,129,cellular,may,1,-1,unknown,secondary,7,213,0,0
2136,47,admin.,989,unknown,jun,1,-1,unknown,unknown,19,116,0,0
3778,38,self-employed,746,unknown,jun,3,-1,unknown,secondary,20,256,0,0
5633,39,management,-974,cellular,aug,4,-1,unknown,tertiary,13,130,0,0
115,29,blue-collar,162,cellular,jul,3,-1,unknown,secondary,15,126,0,0
4482,38,self-employed,2674,unknown,jun,2,-1,unknown,secondary,19,163,0,0
4588,49,admin.,168,unknown,may,1,-1,unknown,secondary,8,513,0,1
3475,38,technician,185,cellular,aug,16,-1,unknown,secondary,29,44,0,0
7127,34,management,611,cellular,jun,1,-1,unknown,tertiary,2,350,0,1
3704,39,technician,2266,cellular,feb,4,-1,unknown,secondary,18,208,0,1
2071,29,blue-collar,2806,cellular,oct,1,93,other,secondary,15,294,5,0
4940,24,blue-collar,833,cellular,may,1,-1,unknown,secondary,15,956,0,1
7098,36,technician,3158,cellular,jun,2,-1,unknown,secondary,3,144,0,1
6863,33,management,23,cellular,aug,3,-1,unknown,tertiary,20,216,0,0
645,34,admin.,6979,cellular,may,5,-1,unknown,secondary,15,14,0,0
3804,35,entrepreneur,2436,cellular,jul,3,-1,unknown,secondary,14,1397,0,1
1753,47,blue-collar,4040,cellular,aug,5,-1,unknown,primary,11,53,0,0
4902,39,management,224,cellular,apr,1,-1,unknown,tertiary,5,208,0,1
6432,48,technician,0,unknown,may,1,-1,unknown,secondary,30,682,0,1
6576,25,services,12,cellular,jun,6,-1,unknown,tertiary,12,126,0,1
5667,48,technician,178,unknown,jun,4,-1,unknown,secondary,17,320,0,0
6696,36,services,472,unknown,jun,1,-1,unknown,secondary,19,1017,0,0
5993,31,blue-collar,2137,unknown,may,1,-1,unknown,secondary,29,413,0,0
5390,40,services,160,cellular,jul,3,-1,unknown,secondary,14,123,0,0
382,31,management,254,cellular,aug,8,-1,unknown,tertiary,18,1576,0,1
2288,34,technician,47,cellular,aug,6,-1,unknown,secondary,25,132,0,0
1405,30,management,186,cellular,nov,3,-1,unknown,secondary,20,235,0,0
631,31,technician,1819,unknown,may,2,-1,unknown,secondary,15,226,0,0
571,70,retired,0,cellular,oct,1,92,success,secondary,27,258,5,1
4260,26,technician,515,cellular,may,1,-1,unknown,tertiary,31,775,0,1
3261,50,management,-516,unknown,may,2,-1,unknown,tertiary,15,226,0,0
3105,25,student,679,cellular,oct,5,94,other,secondary,25,297,6,1
1009,56,management,830,unknown,may,1,-1,unknown,tertiary,6,1201,0,1
2662,44,blue-collar,36,unknown,may,1,-1,unknown,secondary,8,712,0,0
6154,43,technician,3288,cellular,nov,3,-1,unknown,secondary,21,775,0,1
1936,26,student,620,cellular,may,1,94,success,secondary,22,223,1,1
3382,42,blue-collar,160,unknown,jun,1,-1,unknown,secondary,26,190,0,0
5322,43,blue-collar,3,unknown,may,3,-1,unknown,secondary,9,929,0,1
5303,39,technician,0,unknown,may,1,-1,unknown,secondary,5,203,0,0
2684,42,unemployed,1289,cellular,jul,4,415,failure,secondary,15,250,2,1
387,42,admin.,30,cellular,feb,1,266,failure,secondary,4,98,3,0
670,55,management,446,cellular,feb,1,-1,unknown,tertiary,2,159,0,0
41,34,blue-collar,0,cellular,may,1,-1,unknown,secondary,5,150,0,0
6095,48,blue-collar,214,cellular,may,1,177,failure,primary,14,307,2,1
2487,48,entrepreneur,318,cellular,feb,4,-1,unknown,tertiary,5,1017,0,1
1231,30,management,726,cellular,apr,1,342,failure,tertiary,16,39,3,0
4854,31,self-employed,1074,unknown,may,2,-1,unknown,primary,23,1438,0,0
6795,52,unemployed,2251,unknown,jun,9,-1,unknown,secondary,3,58,0,0
3574,27,student,1134,cellular,oct,1,183,success,tertiary,21,825,4,1
2654,58,technician,0,cellular,jul,1,-1,unknown,secondary,15,53,0,0
242,35,management,0,cellular,aug,5,-1,unknown,tertiary,18,276,0,0
2693,40,technician,103,unknown,may,2,-1,unknown,tertiary,8,135,0,0
2573,39,management,691,cellular,apr,1,255,failure,tertiary,16,517,1,0
3967,36,admin.,1954,cellular,nov,2,174,failure,secondary,20,158,3,0
1266,28,management,223,cellular,jun,1,278,success,tertiary,1,303,3,1
3881,76,retired,802,cellular,mar,1,181,success,primary,9,241,5,1
438,33,blue-collar,395,unknown,jun,1,-1,unknown,secondary,2,122,0,0
6406,30,admin.,482,cellular,apr,1,-1,unknown,secondary,23,86,0,0
6556,35,self-employed,353,cellular,aug,1,-1,unknown,tertiary,12,582,0,1
7073,58,admin.,1947,telephone,oct,1,-1,unknown,secondary,26,228,0,1
3901,48,blue-collar,1730,cellular,feb,1,178,failure,secondary,4,489,2,1
3510,39,services,322,cellular,may,1,350,failure,secondary,11,35,1,0
5139,39,admin.,22086,cellular,jun,1,-1,unknown,tertiary,4,160,0,1
4870,32,technician,211,unknown,may,4,-1,unknown,secondary,29,230,0,0
5028,36,technician,432,cellular,may,3,255,failure,secondary,11,61,2,0
441,26,technician,-67,cellular,may,1,-1,unknown,tertiary,15,637,0,1
4106,42,admin.,1451,cellular,may,4,-1,unknown,secondary,4,251,0,1
6237,28,management,939,unknown,may,1,-1,unknown,tertiary,27,740,0,1
5067,32,technician,3818,cellular,aug,4,-1,unknown,tertiary,18,100,0,0
4478,41,blue-collar,246,unknown,jun,3,-1,unknown,primary,19,683,0,1
4691,38,services,1313,unknown,jun,2,-1,unknown,secondary,17,33,0,0
6182,55,blue-collar,93,cellular,jan,1,-1,unknown,secondary,28,111,0,0
2052,29,technician,938,cellular,nov,1,-1,unknown,secondary,3,358,0,1
2107,66,retired,1948,cellular,jan,1,91,success,tertiary,28,216,4,1
6019,38,technician,4539,cellular,sep,1,-1,unknown,secondary,16,387,0,1
5912,30,services,-158,cellular,may,1,370,failure,secondary,12,426,2,1
4513,36,technician,3254,unknown,oct,1,-1,unknown,secondary,27,207,0,1
6261,52,housemaid,234,cellular,nov,1,-1,unknown,secondary,20,208,0,0
6821,33,services,210,cellular,may,2,-1,unknown,secondary,13,1207,0,1
1542,47,blue-collar,125,cellular,jul,2,-1,unknown,secondary,8,210,0,0
1304,32,admin.,344,cellular,may,2,-1,unknown,secondary,26,530,0,1
3759,23,student,2530,cellular,may,1,-1,unknown,unknown,12,411,0,1
2986,26,blue-collar,184,cellular,feb,2,6,other,secondary,3,110,1,0
442,42,admin.,281,unknown,may,1,-1,unknown,secondary,15,118,0,0
6421,35,technician,27,cellular,may,1,305,other,secondary,25,214,1,1
6120,40,services,316,unknown,jun,5,-1,unknown,secondary,11,122,0,0
1647,56,management,505,cellular,feb,2,199,other,tertiary,9,108,3,0
1195,73,retired,508,cellular,mar,1,-1,unknown,primary,9,176,0,1
288,27,blue-collar,419,unknown,jun,2,-1,unknown,secondary,4,1181,0,1
1822,60,admin.,4629,cellular,oct,1,-1,unknown,unknown,27,624,0,1
7344,37,management,108,cellular,jun,2,-1,unknown,tertiary,4,262,0,1
1501,58,management,5701,cellular,feb,1,-1,unknown,tertiary,2,521,0,1
6570,36,management,203,cellular,jan,1,88,success,tertiary,25,255,1,1
5108,33,admin.,82,cellular,jul,1,-1,unknown,secondary,25,735,0,1
2672,35,management,397,cellular,apr,1,-1,unknown,tertiary,17,594,0,1
2827,27,admin.,451,cellular,jul,1,-1,unknown,secondary,16,652,0,1
1876,75,retired,3771,telephone,oct,1,183,failure,secondary,16,186,1,1
405,31,blue-collar,-575,unknown,jun,9,-1,unknown,secondary,2,153,0,0
5157,35,technician,344,cellular,aug,16,-1,unknown,secondary,27,519,0,1
769,34,management,8,cellular,aug,4,-1,unknown,tertiary,25,169,0,0
7406,52,admin.,423,cellular,oct,2,96,failure,secondary,20,139,7,0
3747,30,management,0,cellular,aug,1,-1,unknown,tertiary,7,74,0,0
929,32,management,134,cellular,may,3,-1,unknown,secondary,15,532,0,1
2328,27,technician,931,cellular,feb,1,-1,unknown,tertiary,4,1078,0,1
817,30,management,1195,cellular,jul,2,-1,unknown,tertiary,18,146,0,0
2321,46,technician,3308,cellular,jul,2,-1,unknown,unknown,28,219,0,1
7327,77,retired,4659,cellular,apr,1,-1,unknown,tertiary,14,161,0,1
3908,56,retired,9367,telephone,nov,2,92,success,primary,13,271,4,1
2910,32,blue-collar,121,cellular,nov,1,-1,unknown,primary,20,758,0,1
3979,29,management,572,cellular,dec,1,195,success,tertiary,16,314,1,1
6073,42,unemployed,1713,unknown,may,2,-1,unknown,secondary,30,855,0,1
3175,32,management,927,cellular,oct,1,-1,unknown,tertiary,8,282,0,0
6001,33,admin.,272,cellular,sep,2,92,success,tertiary,1,293,3,1
6052,50,management,453,unknown,jul,1,-1,unknown,tertiary,4,608,0,0
6393,52,management,4675,cellular,feb,3,-1,unknown,tertiary,12,181,0,1
1756,33,blue-collar,1464,unknown,may,3,-1,unknown,secondary,23,588,0,1
5959,31,technician,477,cellular,apr,1,-1,unknown,secondary,30,146,0,0
3079,33,blue-collar,1402,cellular,nov,5,-1,unknown,secondary,20,63,0,0
5113,52,retired,3687,unknown,jun,4,-1,unknown,tertiary,16,741,0,1
1505,57,management,0,unknown,may,1,-1,unknown,unknown,13,95,0,0
923,40,admin.,274,cellular,jul,4,-1,unknown,secondary,25,53,0,0
7162,42,management,976,cellular,aug,1,-1,unknown,tertiary,19,164,0,1
7300,34,blue-collar,1464,cellular,aug,3,130,other,secondary,28,207,5,1
3606,51,management,1394,cellular,aug,1,-1,unknown,tertiary,5,115,0,0
2845,24,blue-collar,1222,cellular,apr,1,-1,unknown,secondary,20,369,0,0
477,33,services,804,unknown,may,1,-1,unknown,secondary,8,266,0,0
299,34,management,101,cellular,aug,5,-1,unknown,tertiary,13,209,0,0
7174,43,services,4216,cellular,dec,2,195,success,tertiary,24,150,2,1
2297,30,admin.,590,cellular,aug,3,-1,unknown,secondary,11,443,0,0
365,50,admin.,1138,cellular,jul,8,-1,unknown,secondary,31,73,0,0
3676,31,management,2384,cellular,apr,2,-1,unknown,tertiary,14,608,0,0
4825,27,services,167,cellular,jul,2,-1,unknown,secondary,8,606,0,0
1251,37,management,5016,cellular,aug,1,-1,unknown,tertiary,8,119,0,0
871,30,management,8535,cellular,jun,2,-1,unknown,tertiary,18,393,0,1
3737,32,blue-collar,4996,unknown,may,2,-1,unknown,secondary,20,205,0,0
6395,43,blue-collar,318,unknown,jun,2,-1,unknown,secondary,5,736,0,1
3948,56,technician,3499,unknown,may,3,-1,unknown,secondary,29,248,0,0
7270,37,management,355,cellular,aug,1,-1,unknown,tertiary,4,340,0,0
5764,36,blue-collar,1165,unknown,may,4,-1,unknown,secondary,13,1001,0,1
1486,88,retired,433,telephone,sep,1,274,failure,secondary,15,161,1,0
942,58,management,287,cellular,aug,8,-1,unknown,tertiary,21,676,0,0
2742,30,technician,526,unknown,jun,3,-1,unknown,tertiary,26,677,0,1
6388,30,management,115,cellular,aug,2,-1,unknown,tertiary,12,154,0,0
3780,34,admin.,-312,unknown,may,1,-1,unknown,secondary,9,232,0,0
6776,59,retired,0,cellular,aug,4,-1,unknown,unknown,25,213,0,0
360,28,blue-collar,3430,unknown,jun,6,-1,unknown,secondary,6,72,0,0
5638,59,admin.,4196,telephone,jul,2,-1,unknown,secondary,31,10,0,0
3254,52,blue-collar,0,cellular,jul,1,-1,unknown,unknown,9,1486,0,1
5126,27,services,221,cellular,jul,1,-1,unknown,secondary,7,554,0,0
1872,31,management,1164,cellular,jul,3,-1,unknown,tertiary,18,238,0,0
6659,32,blue-collar,-84,cellular,may,1,-1,unknown,secondary,11,426,0,0
5020,37,blue-collar,2188,unknown,may,8,-1,unknown,unknown,16,193,0,0
1312,59,services,2965,cellular,may,3,-1,unknown,secondary,13,1970,0,1
6088,40,technician,693,cellular,jan,1,-1,unknown,tertiary,30,427,0,0
3453,29,self-employed,2305,cellular,may,2,-1,unknown,tertiary,27,82,0,0
5809,40,entrepreneur,1238,telephone,jul,2,-1,unknown,secondary,21,50,0,0
5334,78,retired,240,cellular,apr,1,-1,unknown,primary,20,325,0,1
6229,60,blue-collar,4903,unknown,jun,1,-1,unknown,primary,9,290,0,0
1721,30,blue-collar,522,cellular,feb,3,-1,unknown,secondary,6,197,0,0
5387,51,management,346,cellular,nov,2,192,failure,tertiary,12,134,3,1
43,56,management,412,telephone,nov,6,-1,unknown,tertiary,20,179,0,0
4890,47,technician,1233,unknown,sep,1,100,other,secondary,11,91,2,1
3767,50,technician,2794,cellular,aug,2,-1,unknown,unknown,12,1336,0,1
1042,34,management,2633,cellular,nov,6,-1,unknown,tertiary,21,705,0,1
3614,32,blue-collar,-238,unknown,may,1,-1,unknown,secondary,27,427,0,0
3867,41,management,1468,cellular,mar,3,-1,unknown,tertiary,31,237,0,1
1256,29,management,1218,cellular,jan,2,-1,unknown,tertiary,30,258,0,0
3975,34,technician,0,cellular,aug,2,2,success,secondary,5,231,3,1
5744,37,technician,122,cellular,jun,2,318,other,tertiary,25,266,3,1
6791,36,entrepreneur,2700,cellular,feb,3,-1,unknown,tertiary,4,99,0,0
3528,30,management,552,cellular,aug,2,-1,unknown,tertiary,5,648,0,0
6602,36,management,3949,cellular,jan,2,-1,unknown,tertiary,28,130,0,1
64,31,services,-327,unknown,may,1,-1,unknown,secondary,28,408,0,0
71,40,management,193,cellular,aug,6,-1,unknown,tertiary,18,105,0,0
1113,43,management,7702,cellular,may,1,95,success,unknown,22,460,2,1
1331,38,admin.,0,cellular,jul,1,-1,unknown,secondary,21,93,0,0
497,36,blue-collar,828,cellular,may,1,345,failure,primary,13,1512,8,1
5742,31,management,3914,cellular,jan,1,-1,unknown,tertiary,29,266,0,0
5756,55,services,1539,unknown,jun,2,-1,unknown,secondary,20,65,0,0
5975,36,management,565,cellular,mar,1,-1,unknown,secondary,27,300,0,1
6078,51,unemployed,1801,cellular,apr,3,-1,unknown,tertiary,16,838,0,1
2096,71,retired,653,telephone,sep,1,189,success,tertiary,3,471,1,1
3839,47,blue-collar,113,unknown,may,1,-1,unknown,primary,13,276,0,0
2761,66,retired,203,cellular,jan,1,195,success,secondary,18,353,1,1
6699,42,technician,214,cellular,apr,1,-1,unknown,secondary,16,127,0,1
1478,30,management,850,cellular,aug,2,-1,unknown,secondary,12,507,0,1
2668,31,blue-collar,64,cellular,jul,3,-1,unknown,secondary,18,302,0,0
6996,45,technician,1412,cellular,may,4,-1,unknown,secondary,11,764,0,0
4787,36,services,1227,cellular,may,5,341,failure,secondary,4,775,3,1
1836,56,management,12356,cellular,may,1,551,other,tertiary,26,410,5,1
6518,45,technician,1348,cellular,apr,2,-1,unknown,secondary,1,358,0,1
1780,32,management,874,cellular,aug,6,-1,unknown,tertiary,12,1282,0,1
5996,57,retired,466,cellular,aug,2,-1,unknown,secondary,5,641,0,1
3295,38,services,92,unknown,may,3,-1,unknown,primary,29,118,0,0
6979,44,management,1850,cellular,may,1,-1,unknown,tertiary,6,274,0,0
5727,33,unemployed,157,unknown,may,5,-1,unknown,tertiary,26,897,0,0
3187,25,management,362,cellular,jun,2,-1,unknown,tertiary,3,617,0,1
5773,32,management,2213,cellular,jan,2,154,failure,tertiary,29,125,7,0
1762,43,blue-collar,245,cellular,apr,1,-1,unknown,unknown,16,829,0,0
1265,34,blue-collar,320,cellular,nov,1,92,success,secondary,12,413,3,1
7269,60,retired,935,cellular,jul,17,-1,unknown,secondary,31,8,0,0
5737,56,management,0,unknown,jun,1,-1,unknown,tertiary,20,422,0,1
3491,31,services,418,cellular,jul,1,-1,unknown,secondary,9,219,0,0
4146,42,blue-collar,413,cellular,aug,2,-1,unknown,secondary,11,589,0,1
5602,31,blue-collar,0,unknown,may,4,-1,unknown,primary,12,59,0,0
3454,35,blue-collar,0,cellular,jul,1,-1,unknown,secondary,9,277,0,0
5261,32,admin.,184,unknown,may,4,-1,unknown,secondary,8,230,0,0
6000,32,technician,287,unknown,may,8,-1,unknown,secondary,21,59,0,0
1365,31,technician,2916,cellular,aug,2,-1,unknown,secondary,14,174,0,0
376,25,admin.,760,cellular,may,3,89,failure,tertiary,27,223,2,1
3118,55,management,7803,cellular,jan,1,-1,unknown,tertiary,15,441,0,1
4013,44,management,-1636,cellular,may,1,-1,unknown,tertiary,11,257,0,0
4002,41,admin.,882,unknown,may,2,-1,unknown,secondary,28,145,0,0
556,35,unemployed,415,cellular,aug,1,92,success,tertiary,4,462,4,1
1994,57,retired,318,cellular,aug,4,-1,unknown,primary,22,371,0,0
5981,52,management,7192,cellular,aug,1,-1,unknown,tertiary,4,1486,0,1
3140,56,admin.,602,cellular,jun,1,130,success,secondary,14,458,8,1
3121,35,management,2326,cellular,sep,1,-1,unknown,unknown,16,319,0,1
2561,41,housemaid,879,unknown,jun,2,-1,unknown,secondary,5,1053,0,1
5361,53,blue-collar,4380,telephone,aug,7,-1,unknown,secondary,19,223,0,0
3412,26,admin.,255,cellular,aug,2,106,success,secondary,14,209,2,1
5766,51,services,242,cellular,jul,4,-1,unknown,secondary,14,1336,0,1
5814,53,management,75,cellular,aug,2,-1,unknown,tertiary,20,216,0,0
4790,82,retired,0,telephone,nov,1,-1,unknown,tertiary,12,226,0,1
5674,51,management,-3,cellular,aug,2,-1,unknown,tertiary,21,79,0,0
6184,59,admin.,1575,cellular,aug,11,-1,unknown,secondary,22,1241,0,1
1222,24,admin.,0,cellular,apr,1,-1,unknown,secondary,16,284,0,0
6475,30,student,324,cellular,aug,4,-1,unknown,tertiary,25,585,0,0
5444,42,technician,11115,cellular,apr,1,-1,unknown,unknown,30,328,0,1
3973,55,blue-collar,1613,cellular,apr,1,270,failure,secondary,3,296,3,1
4151,45,management,6269,cellular,jul,2,-1,unknown,tertiary,29,20,0,0
7168,32,blue-collar,400,cellular,may,3,-1,unknown,secondary,4,268,0,1
4973,49,management,755,cellular,jul,4,-1,unknown,tertiary,31,1212,0,1
6113,24,technician,726,cellular,sep,2,-1,unknown,secondary,8,445,0,1
3086,32,management,312,cellular,may,2,98,success,tertiary,26,208,2,1
86,28,technician,655,unknown,may,2,-1,unknown,secondary,9,179,0,0
5949,32,blue-collar,130,cellular,may,2,-1,unknown,secondary,6,302,0,0
2945,73,retired,279,cellular,jan,3,-1,unknown,primary,28,399,0,1
408,53,management,1624,cellular,aug,1,98,success,tertiary,6,107,6,1
2351,53,retired,2269,cellular,nov,2,150,success,tertiary,17,1091,1,1
5423,45,management,4831,cellular,jan,11,-1,unknown,tertiary,29,479,0,1
2024,35,management,2646,cellular,apr,8,183,success,tertiary,14,133,2,1
498,43,technician,451,cellular,aug,2,-1,unknown,secondary,12,289,0,1
1698,47,technician,1981,cellular,jul,2,-1,unknown,secondary,21,919,0,1
2749,27,admin.,1595,cellular,dec,2,197,success,secondary,29,196,2,1
3068,37,management,122,unknown,may,2,-1,unknown,tertiary,19,1622,0,1
6722,27,student,213,cellular,mar,1,-1,unknown,secondary,27,378,0,1
3183,19,student,608,cellular,may,1,180,success,primary,12,236,2,1
7389,37,services,775,cellular,aug,2,-1,unknown,secondary,14,150,0,1
1428,33,blue-collar,700,cellular,apr,1,80,success,tertiary,30,169,2,1
611,32,technician,12,cellular,aug,2,-1,unknown,secondary,7,173,0,0
3069,27,management,390,cellular,feb,2,104,failure,tertiary,9,120,2,1
1353,41,services,-19,unknown,may,1,-1,unknown,secondary,19,201,0,0
5828,32,self-employed,386,cellular,nov,1,-1,unknown,tertiary,18,482,0,1
6200,45,technician,879,cellular,jul,2,-1,unknown,secondary,7,621,0,1
5523,52,blue-collar,306,cellular,jan,1,-1,unknown,primary,28,223,0,1
4095,47,blue-collar,1230,cellular,apr,1,169,success,secondary,30,412,1,1
4030,71,technician,3020,telephone,jul,1,270,failure,secondary,30,304,3,1
4598,57,unemployed,2743,cellular,jan,1,-1,unknown,primary,29,89,0,0
10,23,student,1234,cellular,feb,1,91,success,secondary,15,379,1,1
4130,60,management,0,cellular,aug,3,-1,unknown,secondary,5,603,0,1
4522,32,management,937,cellular,may,1,190,failure,tertiary,26,61,1,0
3145,35,management,141,cellular,nov,1,-1,unknown,tertiary,20,728,0,1
390,28,admin.,762,cellular,sep,3,-1,unknown,secondary,18,115,0,1
1669,41,admin.,2550,cellular,may,2,347,failure,secondary,15,894,2,0
6534,30,technician,167,unknown,sep,1,-1,unknown,secondary,14,9,0,0
6044,40,unemployed,7968,cellular,jun,1,-1,unknown,tertiary,2,596,0,1
6026,30,services,9,cellular,jan,2,205,failure,secondary,29,194,2,0
2692,37,management,3141,cellular,may,2,-1,unknown,tertiary,4,384,0,1
5442,42,blue-collar,0,unknown,may,2,-1,unknown,unknown,26,270,0,0
6656,49,housemaid,198,unknown,may,3,-1,unknown,primary,13,205,0,0
6136,22,student,1215,cellular,feb,3,192,failure,unknown,19,145,1,1
2828,23,student,113,cellular,nov,1,-1,unknown,tertiary,17,266,0,1
1287,24,self-employed,931,unknown,may,4,-1,unknown,tertiary,28,200,0,0
6465,32,technician,267,cellular,may,1,-1,unknown,tertiary,26,128,0,0
6232,39,technician,506,cellular,jul,2,-1,unknown,secondary,7,718,0,1
1579,45,blue-collar,0,cellular,aug,2,472,success,secondary,5,374,1,1
3043,21,admin.,524,cellular,may,1,-1,unknown,secondary,26,185,0,1
5952,57,technician,96,cellular,aug,4,-1,unknown,tertiary,21,913,0,1
6342,44,management,0,unknown,jun,1,-1,unknown,tertiary,6,373,0,0
5780,44,technician,1818,cellular,feb,1,92,failure,tertiary,3,508,4,1
5713,27,technician,393,cellular,apr,2,-1,unknown,tertiary,1,165,0,1
6815,34,blue-collar,503,unknown,may,2,-1,unknown,primary,26,120,0,0
133,50,technician,797,unknown,may,1,-1,unknown,secondary,6,354,0,0
1993,48,self-employed,1559,cellular,feb,2,-1,unknown,secondary,4,130,0,0
2330,56,management,7747,unknown,jun,2,-1,unknown,primary,5,103,0,0
7245,52,services,108,unknown,may,12,-1,unknown,secondary,15,543,0,0
6807,30,admin.,0,cellular,feb,2,-1,unknown,tertiary,4,730,0,1
6018,60,management,366,cellular,jun,1,-1,unknown,tertiary,3,593,0,1
4268,28,student,153,cellular,jul,2,-1,unknown,secondary,23,1124,0,1
4564,28,management,1240,cellular,aug,1,-1,unknown,tertiary,4,849,0,1
6514,35,blue-collar,260,telephone,may,6,-1,unknown,secondary,13,155,0,0
7161,41,self-employed,1,cellular,aug,4,-1,unknown,secondary,19,55,0,0
3181,30,blue-collar,309,unknown,may,2,-1,unknown,secondary,7,1574,0,1
3091,47,services,0,telephone,jul,1,-1,unknown,secondary,9,250,0,0
4765,37,services,6089,cellular,may,2,-1,unknown,secondary,14,616,0,1
2013,45,management,786,cellular,sep,3,-1,unknown,tertiary,10,84,0,1
1377,25,student,1003,cellular,aug,1,-1,unknown,unknown,12,361,0,1
6916,48,self-employed,7,unknown,may,1,-1,unknown,tertiary,5,286,0,0
5320,59,unemployed,1625,cellular,aug,1,180,success,secondary,4,198,2,1
4350,33,admin.,3160,unknown,jun,13,-1,unknown,secondary,18,719,0,0
7215,43,unemployed,0,cellular,oct,1,94,success,tertiary,18,464,2,1
4788,47,unknown,194,cellular,aug,1,-1,unknown,unknown,4,108,0,0
5522,80,retired,155,telephone,may,1,53,success,primary,4,209,3,1
6430,37,technician,1580,cellular,aug,12,-1,unknown,secondary,22,92,0,0
6356,48,services,62,cellular,may,1,-1,unknown,secondary,8,561,0,0
1609,53,admin.,-372,unknown,may,1,-1,unknown,secondary,26,104,0,0
780,26,services,77,cellular,may,1,340,failure,secondary,15,619,4,1
2160,47,blue-collar,668,cellular,may,6,354,success,secondary,4,230,2,0
3171,38,admin.,77,cellular,nov,4,-1,unknown,secondary,20,441,0,0
4425,53,admin.,10541,cellular,feb,2,92,success,secondary,9,164,1,1
6066,23,services,1309,unknown,jun,2,-1,unknown,secondary,3,349,0,0
1141,29,blue-collar,2870,cellular,jul,1,-1,unknown,secondary,16,988,0,1
5394,50,management,72,cellular,aug,13,-1,unknown,tertiary,22,171,0,0
2191,48,management,0,unknown,jun,3,-1,unknown,tertiary,18,96,0,0
3576,32,admin.,0,cellular,jul,1,-1,unknown,secondary,25,209,0,0
1427,33,student,1536,cellular,feb,1,92,success,secondary,9,359,3,1
2189,47,blue-collar,126,unknown,jun,2,-1,unknown,primary,3,2456,0,1
3106,34,blue-collar,6718,cellular,jan,4,97,other,primary,13,278,1,0
1926,30,technician,317,cellular,jul,5,-1,unknown,tertiary,25,67,0,0
5375,37,management,427,unknown,may,1,-1,unknown,tertiary,20,121,0,0
5700,65,retired,828,cellular,jul,1,-1,unknown,secondary,13,305,0,1
4597,52,blue-collar,1409,unknown,jun,1,-1,unknown,primary,19,224,0,0
2516,51,management,1573,cellular,aug,18,-1,unknown,secondary,28,72,0,0
4185,44,management,282,cellular,mar,2,154,success,unknown,9,700,3,1
5847,49,entrepreneur,5802,cellular,aug,3,104,success,secondary,12,175,2,0
5089,68,retired,1146,cellular,mar,2,110,success,secondary,3,153,3,1
3718,34,technician,2047,cellular,jul,5,-1,unknown,tertiary,28,57,0,0
5307,28,management,12956,cellular,jul,1,399,success,tertiary,2,940,3,1
4726,53,management,232,telephone,jan,1,-1,unknown,tertiary,29,32,0,0
447,36,management,14930,cellular,jul,1,-1,unknown,tertiary,23,190,0,0
1481,32,technician,0,cellular,may,2,-1,unknown,tertiary,13,440,0,1
6830,42,services,2567,unknown,may,2,-1,unknown,primary,19,401,0,0
1537,36,admin.,2556,cellular,apr,1,-1,unknown,secondary,13,342,0,0
2244,63,technician,896,cellular,jan,3,91,other,secondary,28,115,4,0
6816,51,retired,67,unknown,jun,1,-1,unknown,primary,18,835,0,1
7290,40,blue-collar,0,cellular,jul,1,-1,unknown,primary,24,313,0,0
1587,60,admin.,3547,telephone,jun,6,-1,unknown,secondary,15,351,0,1
949,26,blue-collar,895,cellular,feb,3,-1,unknown,secondary,4,820,0,0
1593,30,self-employed,251,cellular,jul,1,-1,unknown,tertiary,12,537,0,1
1257,21,blue-collar,2265,cellular,may,4,99,success,secondary,27,156,2,0
6152,47,services,367,cellular,may,1,306,success,secondary,12,309,4,1
4178,34,technician,513,cellular,may,3,169,other,secondary,5,165,5,0
5704,28,student,67,cellular,aug,3,199,other,secondary,20,329,2,1
5899,52,admin.,722,cellular,oct,2,185,failure,secondary,26,99,3,0
2472,27,student,132,cellular,jul,1,-1,unknown,unknown,14,276,0,1
3779,36,management,673,cellular,jul,1,-1,unknown,tertiary,16,689,0,1
1793,39,management,45,cellular,aug,4,-1,unknown,tertiary,28,148,0,0
4761,36,management,242,cellular,may,1,-1,unknown,tertiary,14,20,0,0
5695,34,admin.,458,unknown,may,1,-1,unknown,tertiary,20,211,0,0
5575,36,unemployed,871,cellular,aug,3,-1,unknown,secondary,12,396,0,1
2387,55,admin.,2038,cellular,apr,1,-1,unknown,unknown,9,394,0,1
6045,40,entrepreneur,3571,unknown,jun,3,-1,unknown,tertiary,9,222,0,0
4360,39,admin.,14,unknown,may,9,-1,unknown,secondary,13,19,0,0
1512,46,housemaid,312,cellular,jul,7,-1,unknown,primary,25,137,0,0
2920,48,technician,-92,cellular,feb,1,-1,unknown,secondary,3,1393,0,1
1569,41,blue-collar,196,unknown,may,1,-1,unknown,secondary,13,488,0,0
5368,37,technician,0,cellular,apr,3,-1,unknown,secondary,22,1288,0,1
2446,41,admin.,1076,cellular,jun,2,391,other,secondary,3,77,2,0
3153,35,technician,13460,cellular,may,3,-1,unknown,tertiary,15,1068,0,1
7262,48,admin.,3756,cellular,aug,10,-1,unknown,unknown,14,65,0,0
6017,27,admin.,138,cellular,jun,2,-1,unknown,tertiary,15,89,0,1
3698,22,student,1,telephone,jun,4,-1,unknown,unknown,15,263,0,0
