,job,balance,housing,loan,contact,month,campaign,poutcome,deposit
4510,retired,474,no,no,cellular,jan,1,unknown,yes
5137,technician,521,no,no,cellular,oct,3,unknown,yes
3419,blue-collar,158,yes,no,unknown,may,18,unknown,no
163,management,1199,no,no,telephone,feb,2,unknown,no
3489,admin.,684,yes,no,cellular,may,3,unknown,yes
297,retired,514,no,no,cellular,may,6,success,yes
5473,blue-collar,247,no,yes,cellular,jul,1,unknown,no
5050,management,105,yes,no,unknown,may,2,unknown,no
7233,student,10,yes,no,cellular,jul,4,unknown,yes
5185,technician,2983,no,no,cellular,dec,1,unknown,yes
7111,technician,2734,no,no,cellular,nov,3,unknown,yes
633,blue-collar,106,yes,no,unknown,may,5,unknown,no
1030,blue-collar,712,yes,yes,cellular,apr,3,unknown,yes
6354,retired,438,no,no,cellular,feb,1,unknown,yes
1387,admin.,0,no,no,cellular,aug,2,unknown,no
4757,management,84,no,yes,unknown,jul,1,unknown,no
4099,technician,-242,yes,no,cellular,may,3,success,yes
5249,technician,5083,no,no,cellular,oct,1,other,no
2125,management,-55,yes,no,cellular,may,2,failure,no
6647,technician,654,yes,no,cellular,may,4,unknown,yes
19,management,4929,yes,no,telephone,jul,4,unknown,no
259,management,4374,yes,no,cellular,jul,3,unknown,no
4535,housemaid,302,yes,no,cellular,jul,2,unknown,no
4032,admin.,2227,no,no,cellular,feb,2,unknown,yes
5175,blue-collar,1193,no,no,cellular,oct,1,unknown,yes
1857,management,867,yes,no,cellular,nov,2,success,no
1243,retired,1760,no,no,cellular,aug,4,unknown,yes
6285,entrepreneur,7,no,no,cellular,jul,5,unknown,no
4068,services,3715,yes,no,telephone,may,2,failure,no
3046,retired,357,yes,no,cellular,apr,1,unknown,no
4411,technician,318,no,no,cellular,dec,1,unknown,yes
3990,management,3663,no,no,cellular,mar,3,unknown,yes
6176,services,531,yes,yes,cellular,feb,1,unknown,no
4128,management,589,no,no,cellular,apr,2,unknown,yes
6899,technician,276,yes,no,unknown,may,1,unknown,no
4454,management,1167,yes,yes,cellular,sep,1,success,yes
6917,blue-collar,-388,yes,yes,cellular,jul,1,unknown,no
3915,student,2614,no,no,cellular,apr,2,unknown,yes
2528,retired,1257,no,no,cellular,feb,1,unknown,yes
4811,technician,840,yes,no,cellular,jul,4,unknown,no
5775,retired,6102,yes,yes,unknown,may,6,unknown,no
930,technician,1270,yes,no,unknown,may,4,unknown,no
1648,technician,309,yes,no,unknown,may,1,unknown,no
1760,technician,-770,yes,no,cellular,may,1,unknown,yes
4582,admin.,1506,no,no,cellular,jul,4,unknown,yes
3215,admin.,729,yes,no,unknown,may,2,unknown,no
350,retired,2416,no,no,cellular,feb,2,unknown,yes
4773,blue-collar,2040,no,no,cellular,nov,1,failure,no
3995,services,-114,yes,no,cellular,jul,2,unknown,no
4708,services,1313,no,no,unknown,jun,2,unknown,no
7053,retired,723,no,no,telephone,sep,1,failure,yes
7209,housemaid,5275,no,no,cellular,aug,4,unknown,yes
1329,self-employed,658,yes,no,cellular,oct,1,success,yes
6853,services,1743,yes,no,cellular,apr,1,other,no
3325,technician,1130,no,no,cellular,jun,2,success,yes
6126,student,1809,no,no,cellular,oct,1,success,yes
145,retired,2312,no,no,unknown,jun,1,unknown,no
5156,management,2987,yes,no,cellular,aug,1,unknown,yes
4053,technician,3160,yes,no,cellular,nov,2,failure,yes
2614,management,-700,yes,no,unknown,may,1,unknown,no
4762,retired,1612,no,no,cellular,aug,2,unknown,yes
2216,management,1257,no,no,cellular,feb,9,other,no
664,entrepreneur,1859,yes,no,cellular,jul,2,unknown,no
339,services,526,yes,no,cellular,apr,2,other,no
569,technician,967,no,no,cellular,nov,3,unknown,no
1164,technician,133,no,no,cellular,may,1,unknown,yes
5798,technician,3278,no,no,cellular,aug,14,unknown,yes
3316,management,1218,yes,no,cellular,jul,6,unknown,no
1264,blue-collar,320,yes,no,cellular,nov,1,success,yes
6313,unemployed,588,no,no,cellular,mar,1,unknown,yes
956,technician,1646,yes,no,cellular,feb,1,failure,yes
4852,admin.,144,no,yes,cellular,jul,1,unknown,no
3036,admin.,182,yes,no,unknown,jun,1,unknown,no
3893,management,3872,no,no,cellular,oct,1,unknown,no
4690,blue-collar,1202,no,no,unknown,may,1,unknown,no
4345,admin.,3765,no,no,unknown,jun,3,unknown,yes
204,management,1,yes,no,cellular,apr,1,unknown,yes
4489,technician,2166,no,no,cellular,jan,2,unknown,yes
647,management,2143,no,no,cellular,mar,2,unknown,yes
2117,admin.,1070,yes,no,unknown,may,1,other,yes
3834,retired,7613,no,no,cellular,feb,3,unknown,yes
2128,blue-collar,0,no,no,cellular,jul,4,unknown,no
7068,retired,6888,no,no,telephone,nov,2,unknown,yes
2568,management,691,yes,yes,cellular,apr,1,failure,no
5051,retired,276,no,no,cellular,apr,1,unknown,yes
1850,blue-collar,129,yes,no,cellular,may,2,unknown,yes
2732,technician,4101,yes,no,cellular,feb,2,other,yes
4089,management,149,yes,no,unknown,jun,2,unknown,yes
6628,admin.,1005,yes,no,cellular,jul,1,unknown,no
7403,management,5381,no,no,cellular,nov,1,unknown,no
5900,admin.,66,yes,no,cellular,nov,1,unknown,yes
3640,management,9,no,no,cellular,jul,2,unknown,no
5443,blue-collar,816,yes,no,cellular,jul,7,unknown,no
6393,self-employed,2251,no,no,cellular,aug,8,unknown,no
5023,admin.,2,yes,yes,cellular,may,4,unknown,yes
1764,management,5112,no,no,telephone,nov,2,failure,yes
3206,admin.,6971,no,no,cellular,may,1,unknown,no
2725,services,49,no,yes,cellular,jul,1,unknown,no
5260,management,5359,no,no,cellular,feb,1,unknown,yes
6446,admin.,598,yes,no,cellular,apr,1,failure,no
5826,management,75,no,no,cellular,aug,2,unknown,no
2786,management,173,no,no,unknown,may,5,unknown,no
1851,entrepreneur,324,yes,no,cellular,jul,3,unknown,no
459,entrepreneur,1800,yes,no,unknown,jun,1,unknown,no
7293,blue-collar,0,no,no,cellular,jul,1,unknown,no
5899,admin.,985,yes,no,cellular,jun,2,success,yes
4296,services,394,no,no,cellular,aug,1,unknown,yes
1598,management,1720,no,no,cellular,nov,2,failure,yes
2191,management,0,no,no,unknown,jun,3,unknown,no
2845,technician,0,yes,no,cellular,sep,1,failure,yes
5964,admin.,235,yes,no,cellular,may,1,unknown,yes
6671,management,1150,yes,no,telephone,may,2,unknown,no
6969,management,365,no,no,cellular,nov,2,unknown,no
1274,self-employed,2857,no,no,cellular,jul,1,unknown,yes
4718,technician,175,no,yes,unknown,jun,2,unknown,no
5173,management,533,no,no,cellular,feb,1,success,yes
1988,technician,2144,yes,no,unknown,may,2,unknown,no
2169,management,5172,yes,no,unknown,may,3,unknown,no
542,student,14,no,no,cellular,aug,3,other,no
6040,housemaid,0,no,no,cellular,may,5,unknown,yes
3044,management,2240,no,no,cellular,sep,2,success,yes
6821,management,-633,yes,no,cellular,jul,1,unknown,no
3780,self-employed,746,no,no,unknown,jun,3,unknown,no
4885,management,278,no,yes,cellular,jan,1,unknown,no
677,technician,247,no,no,cellular,aug,6,unknown,yes
7375,technician,0,yes,no,cellular,jul,6,unknown,yes
5011,retired,1058,no,no,cellular,jul,2,success,yes
3711,housemaid,5774,yes,no,unknown,may,2,unknown,no
4843,services,981,no,no,unknown,jun,1,unknown,yes
5197,services,638,yes,yes,cellular,may,3,unknown,yes
5929,self-employed,6,yes,no,cellular,oct,1,success,yes
4102,blue-collar,292,no,no,unknown,sep,1,unknown,no
5258,student,61,yes,no,cellular,jul,8,unknown,no
6961,blue-collar,168,yes,no,cellular,apr,2,unknown,no
5953,services,1140,yes,no,cellular,feb,2,unknown,yes
6492,technician,1919,no,no,cellular,aug,1,unknown,yes
6273,management,9916,yes,no,cellular,nov,1,unknown,no
3070,blue-collar,505,yes,no,unknown,may,1,unknown,no
2,admin.,3025,no,no,cellular,may,1,other,yes
6859,blue-collar,498,no,no,cellular,apr,1,unknown,yes
537,management,2646,no,no,cellular,oct,1,success,yes
2059,blue-collar,29,yes,no,cellular,may,5,unknown,yes
1476,technician,0,yes,yes,cellular,may,2,unknown,yes
1375,unemployed,588,no,no,cellular,jul,3,unknown,no
770,admin.,1277,no,no,cellular,mar,1,unknown,yes
6584,blue-collar,1682,yes,yes,cellular,jul,3,unknown,no
4192,management,282,no,no,cellular,mar,2,success,yes
2328,management,1898,yes,yes,unknown,may,1,unknown,no
2101,technician,1347,yes,yes,cellular,feb,1,failure,yes
3138,technician,129,yes,no,cellular,may,1,unknown,no
5529,retired,1413,no,no,cellular,feb,2,unknown,yes
5621,management,71,yes,no,cellular,apr,2,unknown,no
5323,technician,464,no,no,cellular,feb,4,unknown,no
2074,retired,1468,no,no,cellular,jan,3,unknown,yes
672,blue-collar,623,yes,no,cellular,feb,2,unknown,yes
4015,services,268,no,no,unknown,jul,1,unknown,no
2552,entrepreneur,189,no,no,cellular,jun,2,unknown,yes
2848,management,697,no,no,cellular,apr,1,success,yes
5741,services,803,no,no,cellular,apr,1,unknown,no
4219,services,636,yes,no,telephone,may,1,unknown,no
765,self-employed,0,no,no,unknown,jun,1,unknown,no
7376,student,2488,no,no,cellular,oct,1,unknown,yes
1884,blue-collar,149,yes,no,telephone,jul,3,unknown,no
1753,management,0,no,no,cellular,oct,1,other,no
3947,management,0,no,no,cellular,aug,2,unknown,no
3459,technician,518,yes,no,cellular,apr,1,unknown,yes
5725,management,0,no,yes,cellular,jul,1,unknown,no
2965,blue-collar,2,yes,no,unknown,may,2,unknown,yes
2982,blue-collar,184,no,no,cellular,feb,2,other,no
5800,self-employed,0,yes,no,cellular,jul,1,unknown,no
5400,management,346,no,no,cellular,nov,2,failure,yes
1925,admin.,15,no,yes,cellular,jul,1,unknown,no
7218,management,73,yes,no,unknown,may,2,unknown,no
2271,blue-collar,1074,yes,no,cellular,may,2,unknown,no
1210,blue-collar,934,yes,no,unknown,jun,2,unknown,no
5806,unemployed,252,yes,no,cellular,jul,1,unknown,no
1254,services,2918,no,yes,cellular,nov,2,unknown,yes
562,entrepreneur,0,no,no,unknown,jun,7,unknown,yes
3388,management,393,no,no,cellular,jan,2,unknown,no
3115,self-employed,1579,no,no,cellular,oct,3,unknown,no
3760,unemployed,365,yes,no,cellular,jan,3,unknown,no
6363,management,1780,yes,no,cellular,oct,2,success,yes
93,management,93,no,no,cellular,jul,2,failure,yes
856,technician,517,yes,yes,cellular,feb,3,failure,no
1214,unemployed,94,no,no,cellular,apr,1,unknown,yes
2721,student,39,no,no,cellular,may,3,unknown,yes
3857,blue-collar,-232,no,yes,cellular,aug,2,unknown,no
3432,technician,10925,no,no,cellular,apr,1,unknown,yes
3159,management,68,yes,no,unknown,may,2,unknown,no
3391,management,1449,no,no,unknown,jun,1,unknown,no
7137,student,329,no,no,cellular,oct,2,unknown,yes
727,blue-collar,950,yes,no,unknown,may,2,unknown,no
879,blue-collar,-745,yes,yes,cellular,jul,2,unknown,no
3330,admin.,0,yes,yes,cellular,apr,2,failure,no
2380,admin.,616,no,no,cellular,sep,3,unknown,yes
5088,management,957,no,no,cellular,may,2,unknown,yes
663,self-employed,0,no,no,cellular,oct,2,unknown,yes
6567,management,363,yes,yes,cellular,jul,1,unknown,no
5429,unemployed,759,no,no,cellular,nov,3,unknown,no
6135,technician,161,no,yes,cellular,aug,2,unknown,no
1333,management,964,yes,no,telephone,may,3,unknown,no
3020,management,543,yes,no,unknown,may,3,unknown,no
1202,management,1373,yes,no,unknown,may,2,unknown,no
883,technician,300,yes,no,unknown,may,4,unknown,no
703,blue-collar,0,yes,no,unknown,may,1,unknown,no
1527,blue-collar,419,no,no,cellular,jul,3,unknown,no
6389,management,1746,yes,no,unknown,may,1,unknown,no
4048,blue-collar,2404,yes,no,telephone,nov,1,unknown,no
3730,admin.,59,yes,no,cellular,jul,8,unknown,yes
1990,retired,318,no,no,cellular,aug,4,unknown,no
1964,technician,4182,yes,no,cellular,may,2,unknown,yes
6750,management,26,no,no,cellular,aug,6,unknown,no
6903,technician,593,yes,no,unknown,may,1,unknown,no
5626,technician,181,no,no,cellular,apr,2,unknown,yes
5705,unemployed,1664,no,no,cellular,sep,1,success,yes
438,technician,-67,yes,no,cellular,may,1,unknown,yes
7148,blue-collar,6138,yes,no,unknown,may,1,unknown,no
1207,technician,84,yes,no,unknown,may,1,unknown,no
598,admin.,338,yes,no,unknown,may,1,unknown,no
5691,technician,5372,yes,no,cellular,jan,3,unknown,yes
225,management,2161,no,no,cellular,sep,3,unknown,yes
1084,admin.,2552,no,no,cellular,jun,1,failure,yes
6359,entrepreneur,776,no,yes,cellular,jul,3,unknown,yes
3078,management,0,yes,yes,cellular,nov,2,unknown,no
5130,technician,494,yes,no,cellular,feb,2,failure,no
7077,housemaid,0,no,no,unknown,jun,2,unknown,no
5198,management,390,no,no,cellular,aug,1,unknown,yes
6490,technician,2511,yes,no,cellular,apr,5,unknown,yes
4575,services,-140,no,yes,unknown,jun,1,unknown,no
1556,admin.,707,yes,no,cellular,may,1,unknown,yes
3120,admin.,1474,no,no,cellular,apr,2,unknown,yes
4966,management,985,yes,no,cellular,jul,2,unknown,yes
4507,management,525,no,no,cellular,aug,2,unknown,no
6793,technician,1685,yes,no,unknown,may,1,unknown,no
1405,technician,470,no,no,cellular,aug,3,unknown,yes
1194,retired,508,no,no,cellular,mar,1,unknown,yes
6077,services,1309,yes,no,unknown,jun,2,unknown,no
966,admin.,0,no,no,cellular,sep,3,unknown,yes
5949,admin.,3540,yes,no,cellular,nov,1,unknown,no
7321,admin.,726,yes,no,cellular,apr,8,unknown,yes
177,admin.,-213,yes,yes,unknown,may,1,unknown,yes
2636,self-employed,290,no,yes,cellular,jul,3,unknown,no
3398,student,100,no,no,cellular,may,1,unknown,yes
5811,management,62,yes,no,telephone,nov,1,unknown,no
5215,technician,0,yes,no,cellular,may,1,unknown,no
5379,retired,3237,no,no,telephone,oct,1,unknown,yes
6279,admin.,1110,yes,no,telephone,jul,11,unknown,yes
4165,technician,6835,no,no,cellular,nov,1,failure,no
2077,services,1182,yes,no,unknown,may,1,unknown,no
1975,management,859,yes,yes,cellular,aug,3,unknown,no
6252,admin.,535,no,no,unknown,may,3,unknown,no
1487,technician,3176,no,no,cellular,aug,1,unknown,yes
3756,blue-collar,7119,no,yes,telephone,nov,3,unknown,yes
6498,technician,1533,no,no,unknown,jun,2,unknown,no
5908,technician,3271,no,no,cellular,feb,1,other,yes
2545,unemployed,154,no,no,cellular,aug,7,unknown,yes
2276,blue-collar,509,no,no,cellular,mar,1,unknown,yes
253,retired,1035,yes,yes,cellular,aug,1,unknown,no
3583,retired,0,no,no,cellular,dec,2,unknown,no
4523,retired,158,no,yes,cellular,jul,1,unknown,yes
5301,unemployed,594,no,no,cellular,feb,2,unknown,no
1902,technician,1631,yes,no,cellular,aug,2,unknown,no
1443,retired,5313,no,no,cellular,dec,2,success,yes
3097,admin.,1046,yes,no,cellular,aug,1,unknown,yes
3439,blue-collar,526,yes,no,cellular,feb,2,unknown,no
7392,retired,2988,no,no,telephone,apr,1,unknown,yes
2792,management,1696,yes,no,cellular,aug,1,failure,yes
1713,housemaid,8278,no,no,cellular,nov,3,unknown,no
5378,management,71,no,no,cellular,feb,1,unknown,no
3680,blue-collar,-243,no,yes,cellular,jul,2,unknown,no
2430,technician,556,yes,no,cellular,feb,1,success,yes
1017,management,1441,yes,no,cellular,feb,2,unknown,yes
2180,services,628,no,no,cellular,jul,1,unknown,no
2202,blue-collar,75,yes,no,unknown,jul,9,unknown,yes
5847,management,1506,no,no,cellular,jun,2,success,yes
2593,admin.,4,no,no,unknown,jun,2,unknown,no
2777,retired,343,no,no,telephone,feb,2,unknown,no
54,self-employed,514,yes,no,cellular,jul,1,unknown,yes
25,admin.,204,no,no,cellular,aug,2,unknown,no
1005,management,10,yes,no,cellular,jul,7,unknown,no
5485,entrepreneur,0,no,no,unknown,jun,4,unknown,yes
2474,blue-collar,0,yes,no,cellular,may,2,unknown,yes
4142,blue-collar,3,yes,no,cellular,may,1,unknown,no
5552,blue-collar,388,no,no,telephone,jul,2,unknown,no
4729,admin.,949,no,no,cellular,aug,1,unknown,yes
1549,technician,0,yes,no,cellular,may,2,failure,yes
3273,retired,5715,no,no,cellular,nov,2,unknown,yes
211,management,276,no,no,cellular,aug,5,unknown,no
2073,blue-collar,1020,yes,no,unknown,may,1,unknown,no
4008,admin.,882,yes,yes,unknown,may,2,unknown,no
3636,blue-collar,-19,yes,no,cellular,may,1,failure,yes
55,technician,2688,no,no,cellular,oct,1,failure,yes
3372,retired,639,no,no,telephone,apr,7,unknown,no
3126,technician,3043,no,no,cellular,aug,2,unknown,yes
3271,blue-collar,1518,yes,no,telephone,feb,3,unknown,no
627,management,1438,no,no,cellular,apr,1,other,yes
617,admin.,0,no,no,cellular,aug,4,unknown,no
7131,management,2939,no,no,cellular,jan,2,unknown,yes
3249,blue-collar,0,yes,no,cellular,jul,1,unknown,yes
2582,retired,2123,no,no,telephone,feb,4,unknown,no
505,management,-15,no,no,cellular,jul,2,unknown,no
4829,technician,1109,no,no,cellular,feb,1,failure,yes
4327,services,6904,no,no,telephone,nov,2,unknown,no
6615,housemaid,2460,no,no,cellular,jul,3,unknown,no
2129,management,602,no,no,cellular,jul,2,unknown,no
2860,retired,5632,yes,no,cellular,jul,7,unknown,no
4483,blue-collar,306,yes,no,telephone,may,1,failure,no
298,management,101,yes,no,cellular,aug,5,unknown,no
5,admin.,4803,no,no,cellular,jan,2,unknown,yes
2437,blue-collar,766,yes,no,unknown,jun,3,unknown,no
1054,retired,2027,no,no,cellular,jun,2,success,yes
1137,student,372,no,no,telephone,jul,3,unknown,yes
1885,management,974,yes,no,unknown,jun,1,unknown,no
5692,self-employed,2094,no,no,cellular,jun,6,unknown,yes
816,admin.,3551,yes,no,cellular,may,1,unknown,yes
7129,technician,3450,no,no,cellular,feb,1,failure,yes
4715,technician,3549,yes,no,cellular,aug,4,unknown,no
262,blue-collar,741,yes,no,cellular,apr,1,unknown,no
3708,blue-collar,1954,no,no,cellular,nov,1,success,no
2408,services,258,yes,no,unknown,jun,2,unknown,no
1032,management,92,no,no,cellular,jun,1,success,no
3324,admin.,294,yes,no,cellular,may,1,unknown,yes
1204,technician,68,yes,yes,unknown,jun,3,unknown,no
6513,admin.,706,yes,no,cellular,aug,4,unknown,yes
6930,blue-collar,-208,yes,yes,unknown,may,1,unknown,no
3285,blue-collar,11,no,no,unknown,jun,2,unknown,no
6277,admin.,3854,yes,no,cellular,may,1,unknown,no
5952,blue-collar,977,no,yes,telephone,feb,3,unknown,yes
3306,technician,264,yes,yes,cellular,jul,5,unknown,yes
1226,services,504,yes,no,cellular,may,5,other,no
198,technician,4790,yes,no,cellular,apr,1,failure,no
5610,management,-202,yes,no,unknown,may,3,unknown,no
6604,management,141,yes,no,cellular,may,2,other,no
1253,unemployed,2094,no,no,cellular,jun,2,unknown,no
2327,management,7747,no,no,unknown,jun,2,unknown,no
4640,technician,549,no,no,cellular,mar,1,unknown,yes
1110,retired,11,no,no,cellular,sep,1,success,yes
111,services,1,no,no,unknown,may,2,unknown,no
2321,blue-collar,172,yes,no,cellular,apr,1,unknown,yes
6572,services,0,yes,no,unknown,may,1,unknown,no
3896,blue-collar,761,no,no,telephone,nov,2,unknown,yes
2458,blue-collar,0,yes,no,telephone,jul,3,unknown,no
4513,blue-collar,5,no,no,cellular,dec,1,success,yes
7007,entrepreneur,2543,no,no,cellular,nov,3,success,yes
5125,management,637,yes,no,cellular,feb,1,unknown,no
289,admin.,0,no,no,cellular,jul,6,unknown,no
6733,technician,-321,no,no,cellular,jan,2,unknown,no
2094,technician,2044,yes,no,cellular,may,3,unknown,yes
1265,management,223,yes,no,cellular,jun,1,success,yes
6744,services,1595,no,no,unknown,jun,1,unknown,yes
3738,management,3,no,no,cellular,feb,2,unknown,no
3961,blue-collar,-354,no,yes,cellular,jul,1,unknown,no
5309,technician,4389,no,no,telephone,jul,2,success,yes
6520,admin.,404,yes,no,unknown,may,1,unknown,yes
3818,unemployed,2812,yes,no,cellular,apr,1,unknown,yes
2371,admin.,69,yes,no,cellular,apr,1,unknown,yes
392,unemployed,236,no,no,cellular,may,1,failure,yes
3698,blue-collar,199,yes,no,cellular,jul,1,unknown,no
4443,admin.,224,yes,no,cellular,may,8,unknown,no
3259,management,0,yes,no,unknown,may,1,unknown,no
4763,services,130,yes,no,unknown,may,2,unknown,no
749,student,864,yes,no,cellular,may,1,unknown,yes
7269,admin.,190,no,no,cellular,apr,1,unknown,yes
3647,admin.,602,no,no,cellular,mar,2,unknown,yes
491,management,0,yes,no,unknown,may,4,unknown,no
6815,admin.,197,yes,no,cellular,apr,1,failure,yes
3015,blue-collar,3,no,yes,unknown,jul,1,unknown,no
2237,blue-collar,22,yes,no,cellular,may,2,other,yes
473,unemployed,48,no,no,cellular,jul,10,unknown,no
2862,management,792,no,no,cellular,aug,14,unknown,yes
3770,management,580,yes,no,cellular,jul,1,unknown,no
6186,admin.,2855,no,no,cellular,jan,1,failure,yes
1297,technician,313,yes,no,cellular,aug,2,unknown,no
7063,technician,2485,no,no,telephone,jul,6,unknown,no
2357,management,588,yes,no,cellular,may,5,unknown,no
2595,services,895,yes,no,unknown,jun,1,unknown,no
1944,admin.,3735,no,no,cellular,mar,1,success,yes
4122,blue-collar,2791,no,no,unknown,jun,1,unknown,no
7159,blue-collar,750,no,no,cellular,feb,2,other,no
2947,blue-collar,182,no,no,cellular,aug,2,unknown,yes
556,unemployed,415,no,no,cellular,aug,1,success,yes
73,student,1234,no,no,cellular,jul,1,success,yes
1134,blue-collar,955,no,yes,cellular,jun,2,success,yes
5882,blue-collar,4963,yes,no,cellular,may,1,failure,yes
279,admin.,-249,yes,no,cellular,jul,3,unknown,no
5922,services,257,yes,no,unknown,may,2,unknown,no
6136,admin.,1694,yes,no,telephone,nov,1,unknown,no
4310,technician,386,no,no,cellular,apr,1,unknown,yes
2061,management,1147,no,no,cellular,aug,1,success,yes
5827,management,114,yes,no,cellular,may,1,unknown,yes
606,services,2678,no,no,cellular,sep,2,success,yes
1496,management,5701,no,no,cellular,feb,1,unknown,yes
2945,technician,157,yes,no,unknown,may,2,unknown,no
136,retired,4189,no,no,telephone,jul,2,unknown,yes
902,management,1778,no,no,cellular,may,1,success,no
3914,housemaid,1337,no,no,telephone,jul,6,unknown,no
1317,management,1720,no,no,cellular,jun,1,success,yes
2069,blue-collar,665,yes,no,cellular,jul,1,unknown,yes
3882,technician,-236,yes,no,unknown,may,2,unknown,no
6217,blue-collar,1598,yes,yes,cellular,apr,2,unknown,yes
4943,admin.,1022,yes,no,unknown,may,2,unknown,no
4278,technician,994,yes,yes,cellular,may,1,unknown,no
5052,management,73,no,no,cellular,feb,2,unknown,yes
5393,technician,6101,no,no,cellular,feb,1,unknown,yes
1842,management,561,no,no,cellular,apr,1,unknown,no
3054,self-employed,0,yes,no,cellular,nov,1,unknown,yes
4264,services,1626,no,no,unknown,jul,1,unknown,no
6193,services,968,yes,no,cellular,apr,1,unknown,no
2689,technician,103,yes,no,unknown,may,2,unknown,no
5746,blue-collar,201,yes,no,cellular,jul,2,unknown,yes
7366,management,1637,no,yes,cellular,aug,1,unknown,no
7393,admin.,602,no,no,cellular,jun,3,success,yes
1310,self-employed,409,no,no,cellular,mar,2,unknown,yes
1485,technician,294,yes,no,cellular,jun,3,unknown,yes
1141,blue-collar,2870,yes,no,cellular,jul,1,unknown,yes
3604,blue-collar,2433,no,no,cellular,aug,2,unknown,no
2605,management,131,yes,no,cellular,oct,3,failure,yes
2834,retired,11254,no,no,cellular,jul,2,unknown,no
4549,management,730,yes,no,cellular,mar,1,unknown,yes
3237,management,7290,yes,no,cellular,may,1,unknown,yes
4838,entrepreneur,159,yes,no,unknown,may,3,unknown,no
4081,technician,2133,no,no,cellular,nov,1,unknown,no
2953,admin.,6981,yes,no,cellular,jun,1,failure,no
6509,unemployed,0,no,no,cellular,apr,1,success,yes
2943,management,619,yes,no,unknown,jun,4,unknown,yes
2184,blue-collar,1265,no,yes,cellular,jul,1,unknown,yes
4484,admin.,89,no,no,unknown,may,3,unknown,no
1576,admin.,0,no,no,cellular,jan,1,failure,yes
3589,technician,-50,no,no,cellular,aug,12,unknown,no
7248,services,108,yes,no,unknown,may,12,unknown,no
1469,services,454,yes,no,cellular,jul,1,unknown,yes
701,unemployed,324,no,no,cellular,nov,2,unknown,yes
2625,admin.,1417,yes,no,unknown,jun,3,unknown,no
7136,services,772,yes,no,cellular,jan,2,success,no
2324,blue-collar,219,yes,no,cellular,nov,1,unknown,yes
6760,management,9421,no,no,cellular,nov,1,unknown,yes
5851,blue-collar,80,yes,yes,cellular,may,1,failure,no
846,services,244,yes,no,cellular,may,1,unknown,no
3997,technician,253,no,no,cellular,jan,1,unknown,no
5002,management,7067,no,no,unknown,jun,3,unknown,no
2445,management,1882,no,no,cellular,aug,5,unknown,yes
1754,technician,652,yes,yes,cellular,jul,4,unknown,no
6469,services,1167,yes,yes,cellular,nov,1,unknown,no
5874,entrepreneur,145,yes,no,cellular,jul,2,unknown,yes
2042,retired,7802,no,no,telephone,may,1,success,yes
2712,entrepreneur,78,no,no,telephone,jun,1,unknown,no
1418,management,366,yes,no,unknown,may,1,unknown,no
3243,retired,2193,no,no,telephone,apr,4,unknown,yes
2818,technician,511,no,yes,cellular,aug,4,unknown,no
4922,retired,1230,no,no,cellular,may,1,failure,yes
4069,management,109,no,yes,cellular,aug,2,unknown,no
3001,blue-collar,947,yes,no,cellular,may,2,unknown,no
820,management,2707,no,no,cellular,feb,1,unknown,yes
1114,management,7702,no,no,cellular,may,1,success,yes
5682,technician,2595,yes,no,cellular,aug,2,unknown,no
3384,management,690,yes,no,unknown,may,1,unknown,no
6085,blue-collar,1529,yes,no,cellular,apr,1,unknown,yes
5894,blue-collar,2157,yes,no,unknown,may,2,unknown,no
2341,self-employed,3343,no,no,cellular,jun,1,unknown,yes
6592,blue-collar,1432,no,no,cellular,jul,1,unknown,no
2133,management,2351,no,no,cellular,sep,1,success,yes
6395,admin.,985,yes,no,cellular,jun,3,failure,yes
3605,blue-collar,714,yes,no,unknown,may,3,unknown,no
3715,services,466,no,no,cellular,jan,1,unknown,no
6220,blue-collar,1797,yes,yes,cellular,nov,1,failure,no
4671,services,943,yes,no,unknown,jun,3,unknown,no
6147,technician,94,no,no,cellular,aug,2,unknown,no
7344,technician,253,yes,no,cellular,nov,1,failure,no
7130,services,239,yes,no,unknown,may,2,unknown,no
6410,management,943,no,no,cellular,apr,1,unknown,yes
1738,technician,4580,yes,no,unknown,may,2,unknown,yes
2583,technician,1097,yes,no,unknown,may,2,unknown,no
6602,services,820,yes,no,cellular,feb,2,unknown,no
5304,management,271,yes,no,cellular,aug,1,unknown,yes
6322,technician,332,yes,no,unknown,may,1,unknown,yes
1872,management,261,no,no,cellular,aug,2,unknown,no
6877,management,3944,yes,no,cellular,may,2,unknown,yes
2746,technician,8417,yes,no,unknown,may,1,unknown,no
397,technician,1109,no,no,cellular,aug,2,unknown,no
7206,admin.,292,yes,yes,cellular,jul,6,unknown,no
560,blue-collar,2605,no,no,cellular,jan,2,unknown,no
707,technician,23,no,no,cellular,nov,3,unknown,yes
6480,services,0,no,yes,cellular,jul,2,unknown,no
5118,blue-collar,410,no,yes,cellular,jul,2,unknown,no
6809,admin.,869,no,no,cellular,jul,8,unknown,no
3,services,-87,yes,no,cellular,may,1,unknown,no
3621,admin.,125,no,no,cellular,jul,1,failure,no
1641,technician,-463,yes,no,unknown,may,1,unknown,no
3158,blue-collar,331,no,no,cellular,aug,4,unknown,no
7374,blue-collar,7816,yes,no,unknown,may,2,unknown,no
3966,services,65,no,yes,cellular,jul,1,unknown,yes
2698,retired,3140,yes,yes,cellular,aug,4,unknown,yes
2960,management,2885,no,no,cellular,aug,3,other,yes
